time	vel
0	-0.0062566
0.001	-0.0077692
0.002	-0.026641
0.003	-0.011385
0.004	-0.014525
0.005	-0.016959
0.006	-0.019383
0.007	-0.022854
0.008	-0.042417
0.009	-0.028037
0.01	-0.030907
0.011	-0.050796
0.012	-0.036954
0.013	-0.039767
0.014	-0.06201
0.015	-0.047109
0.016	-0.067457
0.017	-0.052728
0.018	-0.074172
0.019	-0.074068
0.02	-0.061035
0.021	-0.081695
0.022	-0.066313
0.023	-0.086349
0.024	-0.09076
0.025	-0.090982
0.026	-0.096558
0.027	-0.080894
0.028	-0.11911
0.029	-0.087256
0.03	-0.10647
0.031	-0.11082
0.032	-0.11189
0.033	-0.11695
0.034	-0.11843
0.035	-0.12217
0.036	-0.14256
0.037	-0.12585
0.038	-0.13258
0.039	-0.13233
0.04	-0.13673
0.041	-0.15699
0.042	-0.14008
0.043	-0.14508
0.044	-0.16551
0.045	-0.14906
0.046	-0.15305
0.047	-0.17334
0.048	-0.15833
0.049	-0.17784
0.05	-0.16429
0.051	-0.18377
0.052	-0.18603
0.053	-0.17104
0.054	-0.19186
0.055	-0.19496
0.056	-0.17995
0.057	-0.20095
0.058	-0.20374
0.059	-0.20644
0.06	-0.19088
0.061	-0.21251
0.062	-0.21618
0.063	-0.21823
0.064	-0.22057
0.065	-0.22387
0.066	-0.2258
0.067	-0.22886
0.068	-0.23067
0.069	-0.23413
0.07	-0.23563
0.071	-0.23963
0.072	-0.26002
0.073	-0.24445
0.074	-0.24819
0.075	-0.24975
0.076	-0.26932
0.077	-0.25482
0.078	-0.25752
0.079	-0.27904
0.08	-0.26182
0.081	-0.28186
0.082	-0.26905
0.083	-0.27027
0.084	-0.29146
0.085	-0.293
0.086	-0.27791
0.087	-0.29738
0.088	-0.28389
0.089	-0.30303
0.09	-0.28812
0.091	-0.31068
0.092	-0.31048
0.093	-0.31616
0.094	-0.31541
0.095	-0.30112
0.096	-0.32223
0.097	-0.32433
0.098	-0.32668
0.099	-0.32977
0.1	-0.33301
0.101	-0.33524
0.102	-0.33817
0.103	-0.34047
0.104	-0.34439
0.105	-0.34584
0.106	-0.3476
0.107	-0.35013
0.108	-0.35322
0.109	-0.35504
0.11	-0.37493
0.111	-0.35921
0.112	-0.36058
0.113	-0.36365
0.114	-0.38358
0.115	-0.36896
0.116	-0.37016
0.117	-0.39323
0.118	-0.37658
0.119	-0.39711
0.12	-0.37948
0.121	-0.39919
0.122	-0.38002
0.123	-0.38463
0.124	-0.4063
0.125	-0.40925
0.126	-0.3924
0.127	-0.41422
0.128	-0.39731
0.129	-0.41777
0.13	-0.41911
0.131	-0.40231
0.132	-0.42268
0.133	-0.42531
0.134	-0.42739
0.135	-0.4096
0.136	-0.43208
0.137	-0.43307
0.138	-0.43252
0.139	-0.43657
0.14	-0.43893
0.141	-0.42245
0.142	-0.44359
0.143	-0.44417
0.144	-0.44668
0.145	-0.45033
0.146	-0.45156
0.147	-0.45255
0.148	-0.45253
0.149	-0.45615
0.15	-0.45629
0.151	-0.45758
0.152	-0.47844
0.153	-0.4593
0.154	-0.46307
0.155	-0.46322
0.156	-0.46696
