t	velX	velY
0.002381	-0.004383	0.001111
0.003905	-0.009495	0.001270
0.005429	-0.015549	0.001524
0.006952	-0.021612	0.001524
0.008476	-0.027681	0.001524
0.010000	-0.033743	0.001524
0.011667	-0.039776	0.001524
0.013333	-0.046367	0.001667
0.015000	-0.052948	0.001667
0.016667	-0.059553	0.001667
0.018333	-0.066106	0.001667
0.020000	-0.072653	0.001667
0.021667	-0.079135	0.001667
0.023333	-0.085688	0.001667
0.025000	-0.092223	0.001667
0.026667	-0.098687	0.001667
0.028333	-0.105094	0.001667
0.030000	-0.111614	0.001667
0.031667	-0.118000	0.001667
0.033333	-0.124510	0.001667
0.035000	-0.130923	0.001667
0.036667	-0.137219	0.001667
0.038333	-0.143699	0.001667
0.040000	-0.149951	0.001667
0.041429	-0.156415	0.001667
0.042857	-0.161680	0.001429
0.044286	-0.167242	0.001429
0.045714	-0.172542	0.001429
0.047143	-0.178099	0.001429
0.048095	-0.183354	0.001429
0.049048	-0.186947	0.000952
0.050000	-0.190484	0.000952
0.051000	-0.194210	0.000952
0.052125	-0.198041	0.001000
0.053250	-0.202206	0.001125
0.054375	-0.206553	0.001125
0.055500	-0.210700	0.001125
0.056625	-0.215075	0.001125
0.057750	-0.219233	0.001125
0.058875	-0.223548	0.001125
0.059437	-0.227722	0.001125
0.060000	-0.229711	0.000562
0.060667	-0.231849	0.000562
0.061385	-0.234395	0.000667
0.062168	-0.237222	0.000718
0.063038	-0.240183	0.000783
0.063908	-0.243341	0.000870
0.064779	-0.246700	0.000870
0.065649	-0.249986	0.000870
0.066519	-0.253268	0.000870
0.067389	-0.256502	0.000870
0.068260	-0.259591	0.000870
0.069130	-0.262986	0.000870
0.070000	-0.266077	0.000870
0.070909	-0.269420	0.000870
0.071818	-0.272607	0.000909
0.072727	-0.276173	0.000909
0.073636	-0.279281	0.000909
0.074432	-0.282752	0.000909
0.075227	-0.285403	0.000795
0.076023	-0.288524	0.000795
0.076818	-0.291353	0.000795
0.077614	-0.294346	0.000795
0.078409	-0.297213	0.000795
0.079205	-0.300290	0.000795
0.080000	-0.303187	0.000795
0.080769	-0.306177	0.000795
0.081538	-0.308947	0.000769
0.082308	-0.311784	0.000769
0.083077	-0.314617	0.000769
0.083846	-0.317298	0.000769
0.084615	-0.320217	0.000769
0.085385	-0.322768	0.000769
0.086154	-0.325681	0.000769
0.086923	-0.328361	0.000769
0.087692	-0.331251	0.000769
0.088462	-0.333894	0.000769
0.089231	-0.336743	0.000769
0.089615	-0.339377	0.000769
0.090000	-0.340373	0.000385
0.090455	-0.341464	0.000385
0.090957	-0.343135	0.000455
0.091522	-0.344860	0.000502
0.092128	-0.346614	0.000565
0.092784	-0.348795	0.000606
0.093440	-0.350968	0.000656
0.094096	-0.352956	0.000656
0.094752	-0.355023	0.000656
0.095408	-0.356833	0.000656
0.096064	-0.359020	0.000656
0.096720	-0.360722	0.000656
0.097376	-0.362951	0.000656
0.098032	-0.364669	0.000656
0.098688	-0.366854	0.000656
0.099344	-0.368744	0.000656
0.100000	-0.370860	0.000656
0.100667	-0.372714	0.000656
0.101333	-0.375038	0.000667
0.102000	-0.376931	0.000667
0.102667	-0.379432	0.000667
0.103333	-0.381309	0.000667
0.104000	-0.383657	0.000667
0.104600	-0.385631	0.000667
0.105200	-0.387736	0.000600
0.105800	-0.389482	0.000600
0.106400	-0.391707	0.000600
0.107000	-0.393650	0.000600
0.107600	-0.395775	0.000600
0.108200	-0.397939	0.000600
0.108800	-0.400002	0.000600
0.109400	-0.402201	0.000600
0.110000	-0.404339	0.000600
0.110588	-0.406487	0.000600
0.111176	-0.408519	0.000588
0.111765	-0.410627	0.000588
0.112353	-0.412595	0.000588
0.112899	-0.414769	0.000588
0.113491	-0.416370	0.000546
0.114083	-0.418635	0.000592
0.114674	-0.420512	0.000592
0.115266	-0.422633	0.000592
0.115858	-0.424462	0.000592
0.116450	-0.426624	0.000592
0.116957	-0.428403	0.000592
0.117464	-0.430099	0.000507
0.117971	-0.431589	0.000507
0.118478	-0.433547	0.000507
0.118986	-0.435020	0.000507
0.119493	-0.436977	0.000507
0.120000	-0.438608	0.000507
0.120556	-0.440341	0.000507
0.121111	-0.442315	0.000556
0.121667	-0.444096	0.000556
0.122222	-0.446073	0.000556
0.122778	-0.447954	0.000556
0.123294	-0.449932	0.000556
0.123853	-0.451427	0.000516
0.124411	-0.453337	0.000559
0.124919	-0.455045	0.000559
0.125427	-0.456709	0.000508
0.125936	-0.458003	0.000508
0.126444	-0.459794	0.000508
0.126952	-0.460969	0.000508
0.127460	-0.462710	0.000508
0.127968	-0.463860	0.000508
0.128476	-0.465553	0.000508
0.128984	-0.466749	0.000508
0.129492	-0.468357	0.000508
0.130000	-0.469568	0.000508
0.130526	-0.471198	0.000508
0.131053	-0.472562	0.000526
0.131579	-0.474220	0.000526
0.132105	-0.475577	0.000526
0.132632	-0.477321	0.000526
0.133123	-0.478657	0.000526
0.133614	-0.480153	0.000491
0.134105	-0.481533	0.000491
0.134596	-0.483215	0.000491
0.135088	-0.484905	0.000491
0.135579	-0.486585	0.000491
0.136070	-0.488496	0.000491
0.136561	-0.490477	0.000491
0.137053	-0.492566	0.000491
0.137544	-0.494596	0.000491
0.138035	-0.496338	0.000491
0.138526	-0.497936	0.000491
0.139018	-0.499579	0.000491
0.139509	-0.501157	0.000491
0.140000	-0.502813	0.000491
0.140500	-0.504053	0.000491
0.141000	-0.505825	0.000500
0.141500	-0.507013	0.000500
0.141972	-0.508779	0.000500
0.142474	-0.509821	0.000472
0.142976	-0.511584	0.000502
0.143444	-0.512811	0.000502
0.143912	-0.514327	0.000468
0.144381	-0.515452	0.000468
0.144813	-0.517121	0.000468
0.145245	-0.517732	0.000432
0.145721	-0.519294	0.000432
0.146149	-0.520385	0.000475
0.146576	-0.521757	0.000428
0.147004	-0.522556	0.000428
0.147432	-0.524103	0.000428
0.147860	-0.525312	0.000428
0.148288	-0.526711	0.000428
0.148716	-0.528030	0.000428
0.149144	-0.529012	0.000428
0.149572	-0.530464	0.000428
0.150000	-0.531336	0.000428
0.150455	-0.532897	0.000428
0.150909	-0.534038	0.000455
0.151342	-0.535604	0.000455
0.151798	-0.536375	0.000433
0.152229	-0.537955	0.000456
0.152661	-0.538718	0.000432
0.153093	-0.540212	0.000432
0.153524	-0.541165	0.000432
0.153956	-0.542634	0.000432
0.154388	-0.543889	0.000432
0.154820	-0.545053	0.000432
0.155251	-0.546315	0.000432
0.155647	-0.547358	0.000432
0.156082	-0.548424	0.000396
0.156518	-0.549553	0.000435
0.156953	-0.550882	0.000435
0.157388	-0.551972	0.000435
0.157761	-0.553313	0.000435
0.158134	-0.553820	0.000373
0.158508	-0.555111	0.000373
0.158881	-0.555854	0.000373
0.159254	-0.556942	0.000373
0.159627	-0.558065	0.000373
0.160000	-0.558841	0.000373
0.160400	-0.560050	0.000373
0.160800	-0.560850	0.000400
0.161218	-0.562190	0.000400
0.161636	-0.563260	0.000418
0.162055	-0.564610	0.000418
0.162433	-0.565551	0.000418
