t	velX	velY
0.002381	-0.004239	0.001111
0.003905	-0.009118	0.001270
0.005429	-0.014959	0.001524
0.006952	-0.020777	0.001524
0.008476	-0.026572	0.001524
0.010000	-0.032336	0.001524
0.011667	-0.038065	0.001524
0.013333	-0.044298	0.001667
0.015000	-0.050505	0.001667
0.016667	-0.056687	0.001667
0.018333	-0.062831	0.001667
0.020000	-0.068963	0.001667
0.022000	-0.075056	0.001667
0.024000	-0.082338	0.002000
0.026000	-0.089594	0.002000
0.028000	-0.096786	0.002000
0.030000	-0.103944	0.002000
0.032000	-0.111052	0.002000
0.034000	-0.118137	0.002000
0.036000	-0.125163	0.002000
0.038000	-0.132147	0.002000
0.040000	-0.139072	0.002000
0.041667	-0.146002	0.002000
0.043333	-0.151672	0.001667
0.045000	-0.157372	0.001667
0.046667	-0.163081	0.001667
0.048333	-0.168728	0.001667
0.049167	-0.174339	0.001667
0.050000	-0.176972	0.000833
0.050909	-0.179812	0.000833
0.051919	-0.182878	0.000909
0.053074	-0.186301	0.001010
0.054228	-0.190231	0.001154
0.055382	-0.194067	0.001154
0.056537	-0.197917	0.001154
0.057691	-0.201730	0.001154
0.058846	-0.205551	0.001154
0.060000	-0.209373	0.001154
0.061250	-0.213157	0.001154
0.062500	-0.217243	0.001250
0.063750	-0.221290	0.001250
0.065000	-0.225342	0.001250
0.066000	-0.229355	0.001250
0.067000	-0.232497	0.001000
0.068000	-0.235692	0.001000
0.069000	-0.238900	0.001000
0.070000	-0.242057	0.001000
0.071111	-0.245259	0.001000
0.072222	-0.248845	0.001111
0.073333	-0.252339	0.001111
0.074286	-0.255816	0.001111
0.075238	-0.258755	0.000952
0.076190	-0.261700	0.000952
0.077143	-0.264664	0.000952
0.078095	-0.267620	0.000952
0.079048	-0.270583	0.000952
0.080000	-0.273527	0.000952
0.081000	-0.276419	0.000952
0.082000	-0.279531	0.001000
0.083000	-0.282594	0.001000
0.083875	-0.285610	0.001000
0.084750	-0.288202	0.000875
0.085625	-0.290835	0.000875
0.086500	-0.293466	0.000875
0.087375	-0.296121	0.000875
0.088250	-0.298752	0.000875
0.089125	-0.301304	0.000875
0.090000	-0.303955	0.000875
0.090909	-0.306568	0.000875
0.091818	-0.309219	0.000909
0.092636	-0.311933	0.000909
0.093455	-0.314295	0.000818
0.094273	-0.316646	0.000818
0.095091	-0.319044	0.000818
0.095909	-0.321440	0.000818
0.096727	-0.323754	0.000818
0.097545	-0.326158	0.000818
0.098364	-0.328539	0.000818
0.099182	-0.330815	0.000818
0.100000	-0.333196	0.000818
0.100833	-0.335532	0.000818
0.101667	-0.337857	0.000833
