time	vel
0.000	      -0.010323
0.001	      -0.012183
0.002	      -0.014547
0.003	      -0.015095
0.004	      -0.038191
0.005	      -0.040717
0.006	      -0.027184
0.007	      -0.029399
0.008	      -0.036124
0.009	      -0.042173
0.010	      -0.068936
0.011	      -0.075735
0.012	      -0.060351
0.013	       -0.09019
0.014	      -0.094653
0.015	      -0.080152
0.016	       -0.10917
0.017	       -0.11208
0.018	       -0.12104
0.019	       -0.12662
0.020	       -0.13537
0.021	       -0.15501
0.022	       -0.14197
0.023	       -0.14751
0.024	       -0.17438
0.025	       -0.16166
0.026	       -0.18624
0.027	       -0.19336
0.028	       -0.18084
0.029	       -0.20606
0.030	       -0.21218
0.031	       -0.21871
0.032	       -0.22471
0.033	       -0.23111
0.034	         -0.237
0.035	        -0.2625
0.036	        -0.2512
0.037	       -0.25547
0.038	       -0.26169
0.039	       -0.26972
0.040	       -0.31416
0.041	       -0.28126
0.042	       -0.28794
0.043	       -0.33367
0.044	       -0.30062
0.045	       -0.32585
0.046	       -0.33295
0.047	       -0.33998
0.048	       -0.34523
0.049	       -0.37348
0.050	       -0.33891
0.051	       -0.38694
0.052	       -0.39026
0.053	       -0.35669
0.054	         -0.403
0.055	        -0.4079
0.056	       -0.41406
0.057	       -0.40292
0.058	       -0.40658
0.059	       -0.43308
0.060	       -0.43905
0.061	       -0.44445
0.062	       -0.45208
0.063	       -0.45824
0.064	       -0.48531
0.065	       -0.47205
0.066	       -0.47585
0.067	       -0.48128
0.068	       -0.50772
0.069	       -0.49458
0.070	       -0.52119
0.071	       -0.52579
0.072	       -0.51122
0.073	       -0.53906
0.074	       -0.54311
0.075	       -0.55176
0.076	        -0.5582
0.077	       -0.56234
0.078	       -0.56625
0.079	       -0.57186
0.080	       -0.57878
0.081	       -0.58447
0.082	       -0.59143
0.083	       -0.61483
0.084	       -0.60027
0.085	       -0.61018
0.086	       -0.63359
0.087	       -0.64133
0.088	       -0.64682
0.089	       -0.65179
0.090	       -0.63742
0.091	        -0.6456
0.092	       -0.66626
0.093	       -0.66646
0.094	       -0.67562
0.095	       -0.68384
0.096	       -0.68684
0.097	       -0.73107
0.098	       -0.70031
0.099	       -0.70239
0.100	       -0.70849
0.101	       -0.71279
0.102	       -0.71394
0.103	       -0.75872
0.104	       -0.72529
0.105	       -0.73439
0.106	       -0.77944
0.107	       -0.74313
0.108	       -0.74956
0.109	        -0.7922
0.110	       -0.75657
0.111	       -0.80428
0.112	       -0.76851
0.113	       -0.81354
0.114	       -0.77669
0.115	       -0.82096
0.116	       -0.80657
0.117	       -0.81231
0.118	       -0.84132
0.119	        -0.8237
0.120	       -0.82148
0.121	       -0.84662
0.122	       -0.85249
0.123	       -0.81799
0.124	       -0.86342
0.125	         -0.869
0.126	       -0.87474
0.127	       -0.87949
0.128	       -0.88583
0.129	        -0.8923
0.130	       -0.89427
0.131	       -0.90138
0.132	       -0.90417
0.133	       -0.91036
0.134	       -0.91113
0.135	       -0.91852
0.136	       -0.91848
0.137	       -0.92251
0.138	       -0.92783
0.139	       -0.95317
0.140	       -0.91884
0.141	       -0.95953
0.142	       -0.95517
0.143	       -0.97695
0.144	        -0.9553
0.145	        -0.9807
0.146	       -0.96098
0.147	       -0.98253
0.148	        -0.9736
0.149	       -0.99732
0.150	        -1.0054
0.151	       -0.98869
0.152	        -1.0079
0.153	        -1.0207
0.154	        -1.0217
0.155	        -1.0503
0.156	        -1.0266
0.157	        -1.0409
0.158	        -1.0309
0.159	        -1.0378
0.160	        -1.0627
0.161	        -1.0365
0.162	        -1.0208
0.163	        -1.0643
0.164	        -1.0522
0.165	        -1.0547
0.166	        -1.0738
0.167	        -1.0577
0.168	        -1.0746
0.169	        -1.0848
0.170	        -1.0695
0.171	         -1.093
0.172	        -1.0967
0.173	         -1.067
0.174	        -1.0982
0.175	        -1.1105
0.176	        -1.1289
0.177	        -1.1331
0.178	        -1.1349
0.179	        -1.1324
0.180	        -1.1315
0.181	        -1.1452
0.182	        -1.1447
0.183	        -1.1437
0.184	        -1.1568
0.185	        -1.1415
0.186	        -1.1719
0.187	        -1.1577
0.188	        -1.1555
0.189	        -1.1551
0.190	        -1.1555
0.191	         -1.182
0.192	        -1.1839
0.193	        -1.1711
0.194	        -1.2033
0.195	        -1.1815
0.196	        -1.2009
0.197	         -1.208
0.198	        -1.1901
0.199	        -1.2054
0.200	        -1.2139
0.201	        -1.2297
0.202	        -1.1924
0.203	        -1.2185
0.204	        -1.2239
0.205	        -1.2255
0.206	        -1.2256
0.207	        -1.2228
0.208	        -1.2265
0.209	        -1.2168
0.210	         -1.257
0.211	        -1.2059
0.212	        -1.2469
0.213	        -1.1914
0.214	        -1.2728
0.215	         -1.291
0.216	       -0.24947
0.217	        0.88212
0.218	        0.83542
0.219	        0.79666
0.220	        0.75408
0.221	         0.7344
0.222	        0.75437
0.223	        0.75371
0.224	        0.71885
0.225	        0.71111
0.226	        0.72379
0.227	        0.69396
0.228	         0.6762
0.229	        0.65651
0.230	        0.62327
0.231	        0.63189
0.232	        0.62086
0.233	        0.59093
0.234	        0.58272
0.235	         0.5703
0.236	        0.56418
0.237	         0.5545
0.238	        0.54803
0.239	         0.5391
0.240	        0.50786
0.241	        0.51923
0.242	        0.49487
0.243	        0.51071
0.244	        0.48614
0.245	        0.49781
0.246	        0.46931
0.247	        0.45751
0.248	        0.44929
0.249	        0.44231
0.250	        0.43513
0.251	        0.40757
0.252	        0.41816
0.253	        0.39243
0.254	        0.40646
0.255	        0.39863
0.256	        0.37046
0.257	        0.36406
0.258	        0.37597
0.259	        0.33075
0.260	        0.36229
0.261	        0.31778
0.262	        0.34919
0.263	        0.30301
0.264	        0.31294
0.265	        0.30619
0.266	        0.28165
0.267	        0.29155
0.268	        0.26639
0.269	        0.27861
0.270	        0.25194
0.271	        0.24639
0.272	        0.23955
0.273	        0.23107
0.274	        0.22371
0.275	        0.21421
0.276	        0.20701
0.277	        0.19933
0.278	        0.19207
0.279	        0.16578
0.280	        0.15948
0.281	        0.17389
0.282	        0.14819
0.283	        0.16048
0.284	        0.13488
0.285	        0.12623
0.286	        0.12084
0.287	        0.11217
0.288	        0.10761
0.289	       0.098698
0.290	       0.092932
0.291	       0.065587
0.292	       0.079582
0.293	        0.07384
0.294	       0.044765
0.295	       0.058082
0.296	       0.032221
0.297	       0.026815
0.298	       0.040398
0.299	       0.012519
0.300	      0.0064415
0.301	      0.0011495
0.302	      -0.006616
0.303	      -0.013082
0.304	      -0.040173
0.305	      -0.025844
0.306	      -0.032768
0.307	      -0.058514
0.308	      -0.044454
0.309	      -0.072816
0.310	      -0.078672
0.311	      -0.063556
0.312	      -0.093369
0.313	      -0.096568
0.314	      -0.084811
0.315	       -0.13026
0.316	       -0.11775
0.317	       -0.12242
0.318	       -0.13112
0.319	       -0.13493
0.320	       -0.16325
0.321	       -0.14878
0.322	       -0.15246
0.323	        -0.1807
0.324	       -0.18512
0.325	       -0.19156
0.326	       -0.18031
0.327	       -0.20544
0.328	       -0.19406
0.329	       -0.22197
0.330	       -0.24783
0.331	        -0.2359
0.332	       -0.24091
0.333	       -0.24595
0.334	       -0.27203
0.335	       -0.25843
0.336	       -0.26374
0.337	       -0.28989
0.338	       -0.29768
0.339	       -0.28237
0.340	       -0.28966
0.341	       -0.33686
0.342	       -0.30248
0.343	       -0.32832
0.344	       -0.33336
0.345	        -0.3415
0.346	       -0.34524
0.347	       -0.37257
0.348	       -0.33767
0.349	       -0.38593
0.350	       -0.39097
0.351	       -0.37682
0.352	       -0.38433
0.353	       -0.40987
0.354	       -0.41692
0.355	        -0.4019
0.356	       -0.42738
0.357	       -0.43385
0.358	       -0.44423
0.359	       -0.45184
0.360	       -0.45818
0.361	       -0.46378
0.362	       -0.46563
0.363	       -0.48846
0.364	       -0.47519
0.365	       -0.48301
0.366	       -0.49128
0.367	       -0.51495
0.368	       -0.52059
0.369	       -0.50701
0.370	       -0.53362
0.371	       -0.54021
0.372	       -0.52362
0.373	       -0.55016
0.374	       -0.55432
0.375	       -0.56321
0.376	       -0.56449
0.377	         -0.575
0.378	       -0.58018
0.379	       -0.61107
0.380	       -0.59514
0.381	       -0.59445
0.382	       -0.61834
0.383	       -0.60664
0.384	       -0.63299
0.385	       -0.62816
0.386	       -0.61539
0.387	       -0.63473
0.388	       -0.66472
0.389	       -0.69594
0.390	       -0.70375
0.391	       -0.71031
