t	velX	velY
0.002381	-0.008395	0.001111
0.003905	-0.018034	0.001270
0.005429	-0.029636	0.001524
0.006952	-0.041261	0.001524
0.008476	-0.052833	0.001524
0.010000	-0.064451	0.001524
0.011667	-0.076029	0.001524
0.013333	-0.088663	0.001667
0.015000	-0.101311	0.001667
0.016667	-0.113911	0.001667
0.018333	-0.126568	0.001667
0.019167	-0.139069	0.001667
0.020000	-0.145404	0.000833
0.020909	-0.151768	0.000833
0.021919	-0.158623	0.000909
0.022929	-0.166269	0.001010
0.023939	-0.173991	0.001010
0.024949	-0.181574	0.001010
0.025960	-0.189207	0.001010
0.026970	-0.196908	0.001010
0.027980	-0.204511	0.001010
0.028990	-0.212196	0.001010
0.030000	-0.219772	0.001010
0.031000	-0.227470	0.001010
0.032000	-0.235097	0.001000
0.033000	-0.242634	0.001000
0.033875	-0.250277	0.001000
0.034750	-0.256815	0.000875
0.035625	-0.263546	0.000875
0.036500	-0.270158	0.000875
0.037375	-0.276931	0.000875
0.038031	-0.283455	0.000875
0.038687	-0.288471	0.000656
0.039344	-0.293321	0.000656
0.040000	-0.298381	0.000656
0.040714	-0.303364	0.000656
0.041488	-0.308655	0.000714
0.042262	-0.314626	0.000774
0.042965	-0.320365	0.000774
0.043747	-0.325731	0.000703
0.044529	-0.331571	0.000782
0.045310	-0.337577	0.000782
0.046092	-0.343354	0.000782
0.046873	-0.349360	0.000782
0.047655	-0.355139	0.000782
0.048437	-0.361085	0.000782
0.049218	-0.366762	0.000782
0.050000	-0.372386	0.000782
0.050833	-0.378185	0.000782
0.051750	-0.384335	0.000833
0.052667	-0.391248	0.000917
0.053583	-0.397878	0.000917
0.054500	-0.404601	0.000917
0.055286	-0.411294	0.000917
0.056071	-0.417116	0.000786
0.056857	-0.422740	0.000786
0.057643	-0.428586	0.000786
0.058429	-0.434675	0.000786
0.059214	-0.440539	0.000786
0.060000	-0.446286	0.000786
0.060769	-0.452442	0.000786
0.061538	-0.458097	0.000769
0.062308	-0.463751	0.000769
0.063077	-0.469519	0.000769
0.063846	-0.475394	0.000769
0.064615	-0.481003	0.000769
0.065288	-0.486521	0.000769
0.065962	-0.491548	0.000673
0.066635	-0.496551	0.000673
0.067308	-0.501466	0.000673
0.067981	-0.506533	0.000673
0.068654	-0.511484	0.000673
0.069327	-0.516383	0.000673
0.070000	-0.521358	0.000673
0.070667	-0.526431	0.000673
0.071333	-0.531087	0.000667
0.072000	-0.535795	0.000667
