t	velX	velY
0.002381	-0.008811	0.001111
0.003905	-0.018898	0.001270
0.005429	-0.030992	0.001524
0.006952	-0.043059	0.001524
0.008476	-0.055100	0.001524
0.010000	-0.067117	0.001524
0.011667	-0.079090	0.001524
0.013333	-0.092170	0.001667
0.015000	-0.105220	0.001667
0.016667	-0.118240	0.001667
0.018333	-0.131220	0.001667
0.020000	-0.144178	0.001667
0.021667	-0.157085	0.001667
0.023333	-0.169936	0.001667
0.024667	-0.182794	0.001667
0.026000	-0.192996	0.001333
0.027333	-0.203214	0.001333
0.028667	-0.213428	0.001333
0.029333	-0.223604	0.001333
0.030000	-0.228556	0.000667
0.030769	-0.233667	0.000667
0.031608	-0.239529	0.000769
0.032541	-0.245940	0.000839
0.033473	-0.253041	0.000932
0.034406	-0.260104	0.000932
0.035338	-0.267144	0.000932
0.036270	-0.274213	0.000932
0.037203	-0.281228	0.000932
0.038135	-0.288234	0.000932
0.039068	-0.295249	0.000932
0.040000	-0.302233	0.000932
0.040909	-0.309186	0.000932
0.041818	-0.316008	0.000909
0.042636	-0.322763	0.000909
0.043455	-0.328798	0.000818
0.044273	-0.334899	0.000818
0.045091	-0.340973	0.000818
0.045909	-0.347020	0.000818
0.046727	-0.353075	0.000818
0.047382	-0.359129	0.000818
0.048036	-0.363871	0.000655
0.048691	-0.368665	0.000655
0.049345	-0.373500	0.000655
0.050000	-0.378268	0.000655
0.050714	-0.383100	0.000655
0.051429	-0.388346	0.000714
0.052143	-0.393535	0.000714
0.052857	-0.398779	0.000714
0.053571	-0.403974	0.000714
0.054214	-0.409149	0.000714
0.054857	-0.413778	0.000643
0.055500	-0.418443	0.000643
0.056143	-0.423068	0.000643
0.056786	-0.427704	0.000643
0.057429	-0.432355	0.000643
0.058071	-0.436943	0.000643
0.058714	-0.441531	0.000643
0.059357	-0.446175	0.000643
0.060000	-0.450763	0.000643
0.060625	-0.455296	0.000643
0.061250	-0.459759	0.000625
0.061875	-0.464230	0.000625
0.062455	-0.468649	0.000625
0.063036	-0.472686	0.000580
0.063616	-0.476855	0.000580
0.064196	-0.480944	0.000580
0.064777	-0.484996	0.000580
0.065357	-0.489117	0.000580
0.065937	-0.493195	0.000580
0.066518	-0.497252	0.000580
0.067015	-0.501300	0.000580
0.067513	-0.504730	0.000497
0.068010	-0.508191	0.000497
0.068508	-0.511661	0.000497
0.069005	-0.515131	0.000497
0.069503	-0.518562	0.000497
0.070000	-0.522036	0.000497
0.070526	-0.525490	0.000497
0.071053	-0.529117	0.000526
0.071579	-0.532795	0.000526
0.072105	-0.536427	0.000526
0.072632	-0.540042	0.000526
0.073158	-0.543653	0.000526
0.073684	-0.547279	0.000526
0.074211	-0.550870	0.000526
0.074693	-0.554441	0.000526
0.075175	-0.557722	0.000482
0.075658	-0.560996	0.000482
0.076140	-0.564238	0.000482
0.076623	-0.567537	0.000482
0.077105	-0.570830	0.000482
0.077588	-0.574098	0.000482
0.078070	-0.577369	0.000482
0.078553	-0.580650	0.000482
0.079035	-0.583875	0.000482
0.079518	-0.587083	0.000482
0.080000	-0.590379	0.000482
0.080476	-0.593608	0.000482
0.080952	-0.596729	0.000476
0.081429	-0.599947	0.000476
0.081905	-0.603150	0.000476
0.082381	-0.606313	0.000476
0.082857	-0.609438	0.000476
0.083333	-0.612653	0.000476
0.083778	-0.615776	0.000476
0.084222	-0.618628	0.000444
0.084667	-0.621573	0.000444
0.085111	-0.624543	0.000444
0.085556	-0.627455	0.000444
0.086000	-0.630382	0.000444
0.086444	-0.633323	0.000444
0.086889	-0.636199	0.000444
0.087333	-0.639054	0.000444
0.087778	-0.642033	0.000444
0.088222	-0.644925	0.000444
0.088667	-0.647762	0.000444
0.089111	-0.650678	0.000444
0.089556	-0.653603	0.000444
0.090000	-0.656437	0.000444
0.090435	-0.659243	0.000444
0.090870	-0.662089	0.000435
0.091304	-0.664900	0.000435
0.091739	-0.667678	0.000435
0.092152	-0.670420	0.000435
0.092565	-0.673081	0.000413
0.092978	-0.675714	0.000413
0.093391	-0.678288	0.000413
0.093804	-0.680984	0.000413
0.094217	-0.683605	0.000413
0.094630	-0.686188	0.000413
0.095043	-0.688848	0.000413
0.095457	-0.691496	0.000413
0.095870	-0.694080	0.000413
0.096283	-0.696622	0.000413
0.096696	-0.699306	0.000413
0.097109	-0.701896	0.000413
0.097522	-0.704443	0.000413
0.097876	-0.707049	0.000413
0.098230	-0.709160	0.000354
0.098584	-0.711359	0.000354
0.098938	-0.713578	0.000354
0.099292	-0.715773	0.000354
0.099646	-0.717922	0.000354
0.100000	-0.720177	0.000354
0.100385	-0.722355	0.000354
0.100769	-0.724731	0.000385
0.101171	-0.727206	0.000385
0.101554	-0.729720	0.000401
0.101938	-0.732022	0.000384
0.102322	-0.734408	0.000384
0.102706	-0.736795	0.000384
0.103090	-0.739113	0.000384
0.103474	-0.741384	0.000384
