eta1	eta2	eta3	eta4
1.39923	-1.10616	0.930499	0.501393
1.60868	-0.771905	0.790816	0.624667
1.78418	-0.373205	0.666949	0.492073
1.90792	0.0710771	0.602841	0.177775
1.95965	0.538971	0.610304	-0.209615
1.91915	1.00546	0.683297	-0.536071
1.7651	1.44552	0.785724	-0.680366
1.50433	1.838	0.835123	-0.561279
1.17094	2.18348	0.72122	-0.176417
0.777296	2.46888	0.351251	0.443357
0.298393	2.65353	-0.328755	1.22588
-0.284234	2.63862	-1.27474	1.9543
-0.874847	2.38969	-2.35333	2.26665
-1.31871	2.02708	-3.27426	1.85181
-1.59229	1.68953	-3.71256	0.738164
-1.78776	1.34433	-3.55673	-0.614708
-1.92198	0.895656	-3.01897	-1.73075
-1.90364	0.338699	-2.34124	-2.46971
-1.695	-0.223347	-1.58911	-2.86762
-1.34609	-0.700059	-0.809262	-2.93378
-0.932178	-1.04952	-0.085193	-2.70777
-0.51984	-1.27562	0.522072	-2.28223
-0.14471	-1.40804	0.998415	-1.76289
0.198177	-1.47795	1.3599	-1.19487
0.537666	-1.49346	1.6208	-0.576475
0.871666	-1.4003	1.7523	0.0585086
1.14682	-1.15741	1.70143	0.596884
1.35248	-0.832192	1.45849	0.903616
1.53717	-0.509057	1.10228	0.916759
1.75017	-0.182791	0.723685	0.690599
1.95002	0.198495	0.380128	0.321979
2.06602	0.667526	0.104562	-0.110402
2.04521	1.22966	-0.0735274	-0.534161
1.8465	1.85448	-0.152196	-0.862679
1.43206	2.47217	-0.148201	-1.02877
0.807065	2.97606	-0.0881527	-0.960327
0.0381502	3.24837	-0.0172163	-0.572805
-0.748368	3.2023	-0.0126466	0.146819
-1.40185	2.88839	-0.172579	1.05634
-1.81562	2.45066	-0.545219	1.90787
-2.05655	1.97428	-1.1096	2.43909
-2.21341	1.47762	-1.78174	2.4615
-2.33477	0.977485	-2.4052	1.91532
-2.41304	0.488369	-2.78849	0.892133
-2.44791	0.0301503	-2.81979	-0.344328
-2.4681	-0.393812	-2.49275	-1.4645
-2.46845	-0.812053	-1.96155	-2.24613
-2.41721	-1.21334	-1.39284	-2.74685
-2.27905	-1.59401	-0.786003	-2.90906
-2.01542	-1.94928	-0.193621	-2.64234
-1.62264	-2.23877	0.297784	-2.12284
-1.15239	-2.43103	0.659571	-1.49145
-0.658645	-2.52509	0.890089	-0.843834
-0.178441	-2.5258	0.989604	-0.219651
0.264077	-2.43057	0.965662	0.343587
0.650166	-2.23913	0.831882	0.781337
0.987692	-1.95607	0.617992	1.02393
1.29388	-1.58085	0.311428	1.03717
1.54621	-1.06947	-0.159885	0.753032
1.70506	-0.541018	-0.560456	0.188541
1.77341	-0.12561	-0.675801	-0.447793
1.78293	0.133612	-0.479713	-1.01695
1.7863	0.260303	-0.0659562	-1.332
1.79345	0.379503	0.369721	-1.3792
1.77311	0.526254	0.745135	-1.2481
1.71115	0.651588	1.03949	-0.983737
1.6134	0.727123	1.23106	-0.640505
1.4651	0.770157	1.33085	-0.265319
1.28327	0.818095	1.3493	0.136058
1.07166	0.897262	1.28327	0.526407
0.782227	1.04047	1.15847	0.848617
0.364682	1.26538	0.993884	1.09206
-0.231773	1.56029	0.785233	1.25081
-0.894466	1.69255	0.511507	1.29708
-1.44941	1.50898	0.151248	1.27055
-1.90049	1.05904	-0.304106	1.24708
-2.29537	0.446154	-0.837811	1.20857
-2.51284	-0.198409	-1.30373	1.03698
-2.47804	-0.782115	-1.56358	0.729506
-2.26419	-1.25294	-1.62059	0.409244
-1.96579	-1.5811	-1.53405	0.155439
-1.64899	-1.81197	-1.38634	0.0546523
-1.35732	-1.99444	-1.27789	0.179611
-1.10386	-2.06678	-1.19577	0.497032
-0.899081	-2.0522	-1.19018	0.894279
-0.708579	-1.95294	-1.23341	1.24054
-0.44717	-1.74781	-1.25385	1.43111
-0.0423678	-1.44688	-1.24188	1.44109
0.514511	-1.12319	-1.2648	1.28008
1.0549	-0.828939	-1.31716	0.946038
1.27195	-0.502157	-1.29304	0.533459
1.19632	-0.179821	-1.15667	0.123339
1.01624	0.108547	-0.931416	-0.238673
0.787485	0.370248	-0.649552	-0.508698
0.499999	0.592728	-0.333245	-0.659011
0.177338	0.758254	-0.0204396	-0.673681
-0.146211	0.853283	0.250398	-0.540863
-0.44224	0.866292	0.458656	-0.287226
-0.706286	0.808656	0.57887	0.00661593
-0.947886	0.708201	0.604477	0.245321
-1.16351	0.574052	0.570206	0.364932
-1.33203	0.403712	0.527593	0.339623
-1.44446	0.194629	0.505672	0.18956
-1.48339	-0.0481365	0.514698	-0.0482889
-1.44888	-0.309189	0.56538	-0.319647
-1.34409	-0.566077	0.671353	-0.547641
-1.16989	-0.794812	0.819867	-0.641799
-0.924689	-0.983998	0.962769	-0.540396
-0.607774	-1.12574	1.04906	-0.242739
-0.240328	-1.17722	1.05197	0.198763
0.128986	-1.08447	0.956561	0.679677
