eta1	eta2	eta1exp	eta2exp	eta9	eta10	eta15	eta16	eta9exp	eta10exp
125.827	-134.074	-74.09293362	168.1359013	6.66836	-32.559	3.96182	-15.4112	11.57607824	33.20916083
94.8713	-156.978	-34.85382008	178.4366358	26.0042	-26.7939	16.6812	-5.56241	8.144936593	32.36671688
57.0969	-172.622	4.116186497	177.8225954	40.0981	-18.2198	21.0301	9.05449	-1.603452851	34.14765381
15.2394	-178.17	40.77620494	175.0474825	46.7452	-9.40522	14.3854	19.7974	-11.25588432	28.65144442
-26.8443	-171.74	77.13620944	167.0184144	48.0225	-2.01553	1.28693	19.984	-17.05726841	17.75591126
-66.723	-153.765	110.7676475	151.4301106	46.3961	5.32287	-11.1559	10.7385	-15.52223561	2.840394254
-102.71	-127.351	138.3295844	127.5808959	41.4236	13.153	-18.9825	-2.08277	-17.36151693	-6.115460297
-132.345	-97.5303	164.9011639	101.2634543	33.0053	17.9969	-21.3464	-13.9353	-11.48904949	-8.421253226
-155.915	-65.4233	184.2643332	70.03374944	22.7193	19.6812	-18.3198	-24.2025	-0.272096903	-23.36524796
-172.978	-30.3195	196.0690088	31.42824148	12.0012	17.8136	-8.74653	-32.8601	2.787183246	-13.56210902
-182.415	8.33336	198.4347872	-13.47704164	4.67768	12.6619	6.97853	-35.7867	7.593151459	-25.16944001
-183.03	46.9404	194.7176524	-61.52935736	4.34819	4.23197	22.8561	-26.4383	0.991206202	-7.646726374
-176.191	82.4081	173.9901897	-105.0937515	10.3317	-3.69069	31.0181	-6.53262	-2.001912825	-9.728564653
-163.07	115.549	144.071783	-146.2676036	17.1156	-7.7854	30.5635	13.3877	-7.79999656	-7.712476044
-143.067	148.129	110.6764932	-176.8161392	19.5669	-9.28285	25.4594	26.5143	-16.97929068	15.04323124
-114.875	178.707	63.62789047	-195.2730299	15.9591	-10.3466	18.4623	32.8872	-12.79844749	1.749106867
-78.1405	205.126	15.06777699	-202.922105	9.65734	-12.8783	11.6659	31.3707	-11.99376316	-0.264662139
-34.9082	224.017	-27.92715055	-198.6168315	4.43254	-14.2891	8.04628	23.9304	-12.87589683	7.869223202
10.2731	232.775	-76.17075558	-192.4577688	-0.265827	-10.7124	8.80628	14.8596	-8.062299919	-6.100634676
54.4924	231.55	-119.6754056	-175.0129449	-7.37992	-3.40784	12.0707	9.11527	-0.666739662	-6.034784465
98.0359	222.099	-158.4695315	-143.6473239	-17.5237	1.99626	12.4595	9.51058	4.439962378	-0.113383876
141.097	204.272	-188.8603056	-98.84825537	-28.123	2.50857	6.01125	12.8903	8.235972057	13.24210276
181.57	177.78	-205.8210185	-52.3457126	-33.3665	1.30968	-5.94124	14.2002	10.30820745	24.8570861
216.448	143.148	-211.0443782	-2.864108309	-31.4161	1.98191	-17.7425	10.5884	8.578129902	36.89664717
243.331	101.024	-208.7458715	47.92570434	-26.0367	4.69762	-23.3939	3.04551	10.99197153	25.82028103
259.962	54.6665	-191.2325018	97.00494263	-20.2898	9.62572	-20.2056	-5.59299	7.679140757	35.83773091
264.94	5.16461	-166.5779633	141.4337598	-14.7146	14.4676	-9.4663	-11.6886	4.412997404	33.67512339
257.229	-45.6172	-131.3045239	177.9373401	-7.54436	17.3223	5.25183	-12.5159	2.825225755	30.82660046
236.822	-94.5283	-89.9342845	206.9091818	1.14705	17.43	18.28	-6.13487	3.073373607	9.69246282
205.402	-137.854	-42.11522083	218.9501227	9.53604	15.3444	22.6976	5.40161	3.533601866	-0.236422668
166.002	-173.129	3.264526504	223.0264927	16.0903	11.9502	15.008	14.7921	6.669670139	-9.762352904
122.412	-198.905	53.27694439	218.3428548	20.3402	8.15514	0.411201	14.4361	13.00137907	-21.37811877
77.0505	-215.937	106.1633269	195.2694848	23.5579	4.13562	-10.5701	4.23471	12.99521186	-27.12611191
29.4238	-226.034	153.7046927	165.2819517	27.4714	-0.841633	-12.8411	-7.74282	13.63981502	-27.98206833
-21.7176	-229.435	188.0534293	128.7228709	31.0449	-6.80048	-11.0426	-16.0794	18.11088973	-29.2749589
-74.8459	-225.117	214.6831944	84.17936868	31.1918	-9.4476	-6.90947	-23.1117	17.10372297	-18.6247034
-127.131	-210.417	226.4650486	30.78588981	25.8008	-3.89613	2.88228	-28.0864	14.94247693	-18.44429664
-173.504	-183.317	228.9046479	-24.7434585	15.7451	8.45585	17.2662	-26.944	6.136548805	-1.223532534
-210.505	-145.77	219.5487993	-79.68268854	4.38512	22.9632	29.3917	-15.2807	1.772239773	2.967080627
-238.217	-100.602	195.1074865	-131.5964528	-5.88242	36.1343	31.4282	4.4906	0.45135748	-6.973513177
-255.505	-49.1103	162.1492202	-176.9200202	-14.4959	43.2483	20.5293	22.8681	-0.965460513	-9.464759157
-260.408	6.04472	122.0377679	-214.7970013	-21.4883	40.8797	0.402405	30.9005	-14.62765543	13.26529068
-251.934	62.3034	67.14570661	-238.4015333	-26.3419	30.8423	-19.6168	24.4971	-7.497777742	-10.49948037
-229.6	116.169	7.877983793	-246.2862843	-27.733	15.7615	-31.6423	8.44467	-2.388949029	-20.71765848
-194.937	164.218	-52.26974894	-244.530249	-24.9475	-0.749746	-34.0462	-9.35093	6.623710557	-29.27245527
-150.064	203.845	-105.8060471	-223.7630929	-18.3226	-13.1085	-28.3025	-22.4948	15.74540774	-26.59895345
-96.9511	232.609	-151.4751658	-194.9701258	-9.08505	-16.5267	-17.4848	-27.0178	17.14471664	-20.65752427
-38.4906	248.349	-192.4801107	-159.0147182	0.784409	-10.2749	-6.14442	-21.4464	24.68738838	-9.504676391
21.1633	249.473	-222.9727726	-113.5423253	8.63338	2.61503	0.552814	-7.9455	25.18376611	3.484110783
77.3322	235.39	-235.4780299	-64.20377699	12.2189	17.4542	-0.208807	8.14506	13.46100684	26.99521676
125.953	210.15	-240.4986244	-10.42577688	11.2541	32.3718	-8.47033	21.0743	3.568379166	24.75624983
166.145	176.96	-228.826774	42.59591139	4.29312	43.9508	-22.0193	25.0602	-14.22179666	32.43968036
198.561	135.22	-204.9478611	96.07166283	-9.1012	47.6071	-34.0871	16.5611	-33.36548045	34.82725161
222.402	87.2227	-177.3851865	142.5444246	-25.5242	43.4686	-35.9188	-2.85675	-41.5305098	30.74380411
236.41	36.124	-146.6087524	179.0439236	-40.8583	32.8304	-22.598	-25.204	-42.68596937	23.59706857
239.268	-14.652	-105.5819362	207.9020335	-52.0713	18.4785	2.63313	-40.1134	-44.07569923	9.811002346
231.077	-63.8966	-65.37083971	226.8915062	-59.0766	1.7505	30.7699	-39.744	-35.74265503	1.910949518
212.557	-111.758	-17.58785776	236.2903307	-64.1129	-17.5813	50.5558	-23.2041	-28.93024737	3.667769012
183.446	-155.576	31.0984811	236.8140451	-68.7734	-37.1759	53.8261	2.34866	-17.61310217	-3.116263046
144.255	-192.36	78.87435789	228.0503131	-71.6179	-52.9875	39.4204	26.8901	-3.554108154	-25.7737126
97.1448	-220.517	125.3137859	209.5491631	-71.8517	-62.6329	13.0943	41.0975	13.53336823	-38.43495733
44.664	-238.005	168.4396992	179.5284529	-68.9109	-64.4249	-15.5828	40.1858	30.00730723	-48.07939191
-10.7972	-243.072	203.1352145	138.6157579	-63.5487	-57.8778	-37.0827	24.8461	46.33427585	-49.29362735
-66.1343	-235.275	226.9489176	89.07329078	-56.8527	-44.2226	-43.5359	0.50878	50.68003599	-34.94641856
-117.983	-215.685	244.1685801	42.48614181	-49.3167	-26.1024	-32.0784	-23.2367	50.33665352	-12.03467043
-163.381	-187.187	242.7300817	-5.918888393	-42.4763	-7.39209	-7.41207	-37.0354	45.98093662	-13.81338245
-201.136	-150.77	235.5030546	-53.33527736	-38.2467	10.0457	20.1726	-37.0838	35.72601726	-0.369444229
-229.574	-108.899	217.8841989	-92.92474939	-37.6182	23.6245	41.6732	-24.1305	35.37224723	-6.374498077
-247.266	-63.3987	189.0479507	-131.0281911	-39.0167	29.5681	52.1043	-1.41163	28.58888198	-8.157229902
-251.888	-13.1591	153.4998254	-165.7724988	-38.2331	27.0998	47.1072	24.8468	14.47987961	2.648115493
-242.508	37.8938	110.3205172	-194.4871655	-32.0667	20.5668	25.343	45.2314	6.94787259	-10.33950243
-221.654	84.0779	62.84060148	-209.9473584	-20.1677	16.9843	-4.77873	49.9461	4.073186036	-10.99787832
-191.318	125.057	13.44081482	-216.0667595	-4.22161	17.549	-28.3043	36.2417	0.523533159	-11.8335938
-152.061	161.1	-39.80412094	-205.6300394	12.7666	21.5443	-36.058	12.262	-5.727842113	-9.202075238
-103.775	188.263	-82.70172891	-184.1012488	25.8706	26.8474	-26.9852	-10.4472	-14.12186914	5.894749508
-48.2265	202.406	-122.8279676	-156.7541738	31.1206	30.6939	-8.44371	-21.782	-16.72397544	12.10331647
