eta1	eta2	eta3	eta4
-0.007330908	0.016931596	-0.027242613	-0.000441806
-0.003448509	0.017968899	-0.026849895	-0.004483381
0.000407264	0.017907064	-0.027327953	-0.008333824
0.004034482	0.017627605	-0.026549125	-0.014668095
0.007632016	0.016819063	-0.026652542	-0.021035322
0.01095958	0.015249292	-0.02454874	-0.022634229
0.013686615	0.012847632	-0.023773025	-0.024292239
0.016315662	0.010197417	-0.022885447	-0.023401963
0.018231494	0.007052528	-0.021645769	-0.02306004
0.019399473	0.003164882	-0.020750004	-0.020668499
0.019633548	-0.001357163	-0.021041974	-0.022821732
0.019265767	-0.00619612	-0.021661231	-0.019674856
0.017214949	-0.010583135	-0.020736235	-0.020501432
0.01425476	-0.014729418	-0.020972214	-0.022451158
0.010950561	-0.017805712	-0.020931556	-0.019610802
0.006295475	-0.019664355	-0.021781127	-0.023327305
0.001490837	-0.020434631	-0.021639729	-0.025299147
-0.00276317	-0.020001082	-0.021786342	-0.024892526
-0.007536492	-0.019380853	-0.018977706	-0.024754401
-0.011840932	-0.017624127	-0.017250658	-0.025375419
-0.015679303	-0.014465551	-0.015369206	-0.025162013
-0.018686229	-0.009954202	-0.013933715	-0.026215111
-0.020364357	-0.00527131	-0.01239576	-0.025554213
-0.020881167	-0.000288421	-0.011864111	-0.024214831
-0.020653748	0.004826207	-0.011653309	-0.027206636
-0.018920939	0.009768577	-0.01141033	-0.02450025
-0.016481568	0.014242641	-0.012351973	-0.024173734
-0.012991541	0.017918619	-0.012681716	-0.021559548
-0.008898284	0.020836137	-0.013723151	-0.020916486
-0.004166967	0.022048682	-0.014811124	-0.019627587
0.000322999	0.02245918	-0.01550225	-0.017810458
0.005271331	0.021987529	-0.01573284	-0.013747323
0.010504019	0.019663998	-0.016776617	-0.014544297
0.01520786	0.016644198	-0.015579124	-0.012264937
0.018606395	0.012962631	-0.014968234	-0.012134809
0.021241199	0.008477018	-0.015306101	-0.011037611
0.02240692	0.003100196	-0.014952113	-0.015981098
0.022648299	-0.002491712	-0.014336882	-0.01576756
0.021722612	-0.008024194	-0.013411739	-0.016648628
0.019304338	-0.013252006	-0.01285357	-0.018223296
0.016043379	-0.017816173	-0.011566097	-0.018603407
0.012074669	-0.021630455	-0.010093248	-0.010897476
0.006643535	-0.024007475	-0.009290772	-0.012801697
0.000779464	-0.024801484	-0.007731222	-0.010947743
-0.005171677	-0.024624648	-0.00487161	-0.008230553
-0.010468669	-0.022533357	-0.004722016	-0.008479278
-0.014987266	-0.019633852	-0.004902393	-0.007275729
-0.01904438	-0.016013076	-0.004228381	-0.009884421
-0.022061387	-0.011433922	-0.00501263	-0.010674198
-0.023298683	-0.006465439	-0.006092726	-0.010141927
-0.023795431	-0.001049895	-0.005368669	-0.013087295
-0.022640594	0.004289487	-0.004939562	-0.01355712
-0.020277965	0.009674594	-0.004788343	-0.012818208
-0.017550857	0.014354487	-0.00453318	-0.013766895
-0.014505773	0.018030054	-0.003619997	-0.013650134
-0.010446495	0.020936119	-0.003324646	-0.012769906
-0.006467926	0.022848394	-0.002516849	-0.013884209
-0.001740179	0.023794873	-0.002330707	-0.013246301
0.003076948	0.023847612	-0.002784737	-0.012582167
0.007803992	0.022965088	-0.001889466	-0.01307767
0.012398805	0.021101988	-0.001760869	-0.012667087
0.016665772	0.018078847	-0.000697757	-0.011070087
0.020098618	0.013958863	-0.00129404	-0.010832773
0.022454795	0.008969845	-0.001759676	-0.007801761
0.024158544	0.004278433	-0.004234293	-0.006119269
0.024016216	-0.000596043	-0.005926487	-0.009104352
0.023301159	-0.005370961	-0.006241166	-0.006998807
0.021557913	-0.009357694	-0.00618732	-0.006572214
0.018704795	-0.013194781	-0.005930955	-0.006485051
0.01518759	-0.016693597	-0.0066304	-0.004704846
0.01091534	-0.019585217	-0.006993596	-0.004330775
0.006217579	-0.021142087	-0.006983447	-0.002514016
0.001329862	-0.021758322	-0.008022089	-0.002208819
