t	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
0.0005	-694.112	727.38	-459.912	-838.799	66.5803	-191.336	63.4437	-12.3807
0.001	-518.397	853.266	-636.2	-738.664	99.0237	-186.461	49.3341	-4.71489
0.0015	-317.3	940.791	-785.254	-605.721	129.335	-177.221	30.4643	4.38052
0.002	-100.949	989.286	-900.879	-444.939	158.026	-161.494	10.8656	15.0386
0.0025	121.982	996.925	-976.979	-263.542	184.491	-136.591	-5.98633	27.6701
0.003	342.354	962.979	-1010.35	-68.7558	206.956	-102.975	-17.1274	42.3868
0.0035	550.488	890.926	-999.324	130.114	224.282	-64.6367	-20.4815	57.1359
0.004	737.83	789.86	-943.958	322.594	234.627	-25.6936	-15.1759	71.6458
0.0045000000000000005	901.844	656.266	-846.368	502.876	236.898	15.1006	-1.17938	88.3852
0.005000000000000001	1037.37	487.321	-709.687	663.748	230.378	57.2875	20.7662	108.958
0.0055	1136.54	286.62	-538.262	795.1	215.313	99.3066	49.4921	132.579
0.006	1191.66	60.2684	-339.589	889.111	191.966	137.622	83.3618	157.203
0.006500000000000001	1196.1	-181.421	-123.439	939.96	160.917	168.943	118.618	180.834
0.007000000000000001	1146.11	-426.126	98.2244	944.769	123.602	190.046	150.154	200.152
0.0075	1041.01	-660.955	313.283	905.759	83.3074	199.952	173.302	215.123
0.008	882.796	-871.5	511.784	828.916	43.0826	201.885	186.666	225.448
0.0085	677.301	-1046.21	687.236	717.896	4.4054	199.529	192.25	230.832
0.009000000000000001	433.708	-1176.6	834.275	573.098	-32.3465	192.139	193.089	230.717
0.009500000000000001	163.132	-1256.05	946.556	398.594	-66.429	179.088	191.234	226.097
0.01	-121.707	-1279.12	1018.09	200.17	-96.5462	161.948	188.471	219.184
0.0105	-407.391	-1241.73	1043.27	-15.6	-122.624	141.692	186.128	211.336
0.011000000000000001	-680.412	-1143.16	1017.21	-234.652	-145.897	117.267	184.538	204.111
0.0115	-926.283	-990.197	939.606	-441.686	-166.111	86.6972	184.695	196.932
0.012	-1131.83	-789.736	815.662	-628.373	-179.343	53.4185	189.651	188.158
0.0125	-1286.44	-548.872	652.119	-786.055	-184.16	18.6606	200.284	178.164
0.013000000000000001	-1381.22	-278.593	458.419	-908.891	-180.105	-15.6751	215.011	167.519
0.013500000000000002	-1410.57	7.87848	243.683	-990.876	-167.64	-46.6562	230.905	156.317
0.014	-1372.86	297.341	16.9836	-1026.75	-148.335	-71.39	244.464	147.602
0.0145	-1269.75	576.971	-211.269	-1012.68	-125.186	-87.6419	253.162	144.653
0.015000000000000001	-1105.23	831.519	-429.975	-948.722	-102.312	-96.1212	256.451	146.238
0.0155	-887.341	1048.66	-629.285	-836.548	-82.9185	-101.151	254.999	149.57
