t	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
0	-1.98674	-0.821163	-0.299646	0.212622	-0.141583	-0.160467	-0.0470763	0.040908
0.015	-1.85732	-1.07776	-0.345255	0.125444	-0.192927	-0.0918497	-0.0612498	0.0109759
0.03	-1.69444	-1.31488	-0.366077	0.0292655	-0.213228	-0.00862625	-0.0581147	-0.0219592
0.045	-1.50101	-1.5282	-0.360574	-0.0690216	-0.199271	0.075849	-0.0385838	-0.0486272
0.06	-1.2805	-1.71386	-0.329079	-0.162359	-0.153323	0.148052	-0.00818645	-0.0615251
0.075	-1.0369	-1.8685	-0.273822	-0.244001	-0.0827671	0.196409	0.0245127	-0.0570329
0.09	-0.774609	-1.98933	-0.198749	-0.308049	0.00106908	0.213188	0.0502741	-0.036429
0.105	-0.498376	-2.07415	-0.10926	-0.349848	0.0847332	0.195699	0.061843	-0.00550952
0.12	-0.213214	-2.12144	-0.0118211	-0.366349	0.154784	0.146751	0.0559391	0.0269774
0.135	0.0757174	-2.13033	0.0865216	-0.356337	0.199979	0.0741961	0.0341955	0.0518719
0.15	0.363163	-2.10064	0.178631	-0.320546	0.213028	-0.0102946	0.00275349	0.0621209
0.165	0.643908	-2.03295	0.257816	-0.261569	0.191817	-0.0931323	-0.0295148	0.0547935
0.18	0.912894	-1.92848	0.318368	-0.183694	0.139738	-0.160988	-0.0534855	0.0319386
0.195	1.1653	-1.78913	0.355891	-0.0925583	0.0651379	-0.202948	-0.0623507	-1.53877e-05
0.21	1.39658	-1.61741	0.36769	0.00523227	-0.0199856	-0.212219	-0.0535491	-0.032017
0.225	1.60259	-1.41644	0.352935	0.102586	-0.101916	-0.187303	-0.0295466	-0.0549936
0.24	1.77961	-1.18983	0.312726	0.192467	-0.167469	-0.132182	0.00288072	-0.0623717
0.255	1.92447	-0.941659	0.250015	0.268401	-0.206057	-0.0557422	0.0345184	-0.0520424
0.27	2.03459	-0.676413	0.169357	0.324943	-0.211454	0.0296758	0.0563388	-0.0269499
0.285	2.108	-0.398863	0.0765642	0.358048	-0.182795	0.110313	0.0621942	0.0057878
