f	spct
0	5.52244
0.016292	0.712006
0.0325839	0.720112
0.0488759	0.729152
0.0651678	0.734775
0.0814598	0.734299
0.0977517	0.728286
0.114044	0.720025
0.130336	0.714132
0.146628	0.71414
0.16292	0.720786
0.179211	0.731552
0.195503	0.741841
0.211795	0.747307
0.228087	0.745982
0.244379	0.7394
0.260671	0.731834
0.276963	0.728372
0.293255	0.732156
0.309547	0.74298
0.325839	0.757031
0.342131	0.768918
0.358423	0.774175
0.374715	0.772286
0.391007	0.764427
0.407299	0.757742
0.423591	0.757285
0.439883	0.765875
0.456175	0.781788
0.472467	0.799974
0.488759	0.813861
0.505051	0.819009
0.521342	0.815359
0.537634	0.807627
0.553926	0.802327
0.570218	0.806141
0.58651	0.820979
0.602802	0.843628
0.619094	0.866954
0.635386	0.883447
0.651678	0.888814
0.66797	0.884517
0.684262	0.877082
0.700554	0.87537
0.716846	0.885747
0.733138	0.909297
0.74943	0.940737
0.765722	0.971155
0.782014	0.991904
0.798306	0.999333
0.814598	0.99652
0.83089	0.992252
0.847181	0.996841
0.863473	1.01721
0.879765	1.05348
0.896057	1.09852
0.912349	1.1415
0.928641	1.17248
0.944933	1.18775
0.961225	1.19179
0.977517	1.19565
0.993809	1.21243
1.0101	1.25065
1.02639	1.31078
1.04268	1.38404
1.05898	1.45745
1.07527	1.51606
1.09156	1.55587
1.10785	1.58223
1.12414	1.6106
1.14044	1.66029
1.15673	1.74652
1.17302	1.87332
1.18931	2.03163
1.2056	2.20284
1.2219	2.36776
1.23819	2.51713
1.25448	2.65985
1.27077	2.82532
1.28706	3.0594
1.30336	3.41639
1.31965	3.95264
1.33594	4.73098
1.35223	5.84927
1.36852	7.5269
1.38482	10.383
1.40111	16.7201
1.4174	45.0786
1.43369	60.0514
1.44998	17.8924
1.46628	10.539
1.48257	7.45048
1.49886	5.68725
1.51515	4.49952
1.53144	3.63492
1.54774	2.99917
1.56403	2.54911
1.58032	2.24953
1.59661	2.05837
1.6129	1.92798
1.6292	1.81466
1.64549	1.68887
1.66178	1.54152
1.67807	1.38238
1.69436	1.23239
1.71065	1.11217
1.72695	1.03263
1.74324	0.990324
1.75953	0.969608
1.77582	0.9501
1.79211	0.915538
1.80841	0.858843
1.8247	0.787798
1.84099	0.715172
1.85728	0.656126
1.87357	0.619727
1.88987	0.605443
1.90616	0.604025
1.92245	0.602104
1.93874	0.588469
1.95503	0.558689
1.97133	0.516741
1.98762	0.472275
2.00391	0.436131
2.0202	0.415198
2.03649	0.409668
2.05279	0.413234
2.06908	0.416384
2.08537	0.410757
2.10166	0.392686
2.11795	0.364759
2.13425	0.333961
2.15054	0.308696
2.16683	0.294634
2.18312	0.292496
2.19941	0.297746
2.21571	0.302971
2.232	0.301242
2.24829	0.289373
2.26458	0.268977
2.28087	0.245777
2.29717	0.226695
2.31346	0.21676
2.32975	0.216363
2.34604	0.222284
2.36233	0.22816
2.37862	0.228175
2.39492	0.219564
2.41121	0.203813
2.4275	0.185641
2.44379	0.170916
2.46008	0.16366
2.47638	0.164184
2.49267	0.170079
2.50896	0.175382
2.52525	0.175749
