f	spct
0	0.70698
0.5	0.95592
1	1.0372
1.5	0.70312
2	0.64825
2.5	1.0083
3	1.2164
3.5	0.99065
4	0.65988
4.5	0.49326
5	0.46798
5.5	0.49731
6	0.53266
6.5	0.54724
7	0.63698
7.5	0.61652
8	0.49509
8.5	0.64658
9	0.89997
9.5	1.0641
10	1.3188
10.5	1.2864
11	0.90791
11.5	0.82433
12	0.98452
12.5	0.85264
13	0.64049
13.5	0.58089
14	0.55307
14.5	0.79378
15	1.1277
15.5	1.2197
16	1.1441
16.5	0.93655
17	0.99718
17.5	0.99694
18	0.97516
18.5	1.314
19	1.4331
19.5	1.321
20	1.1367
20.5	0.72535
21	0.66722
21.5	0.95341
22	1.082
22.5	1.0036
23	0.88879
23.5	0.95077
24	1.0089
24.5	1.2927
25	1.9009
25.5	2.1452
26	1.6717
26.5	1.3115
27	1.3942
27.5	1.5619
28	1.3547
28.5	1.1482
29	1.351
29.5	1.4188
30	1.3671
30.5	1.5384
31	1.5685
31.5	1.1395
32	0.86525
32.5	0.70244
33	0.56944
33.5	0.75283
34	1.0051
34.5	1.0504
35	1.0191
35.5	1.0233
36	1.0179
36.5	1.0719
37	0.95395
37.5	1.0057
38	1.3643
38.5	1.3359
39	1.0975
39.5	0.97875
40	1.0525
40.5	0.89161
41	0.97781
41.5	1.2456
42	0.96584
42.5	0.61312
43	0.84369
43.5	1.3861
44	1.4854
44.5	1.5024
45	1.6924
45.5	1.6763
46	1.6437
46.5	1.6751
47	1.5645
47.5	1.4904
48	1.9026
48.5	2.1722
49	1.6465
49.5	1.2933
50	1.2678
50.5	1.216
51	1.1339
51.5	0.73697
52	0.67941
52.5	1.2137
53	1.8773
53.5	1.8743
54	1.4579
54.5	1.507
55	2.0405
55.5	1.9607
56	1.8473
56.5	1.469
57	1.2432
57.5	1.6628
58	2.1734
58.5	2.2419
59	1.8755
59.5	1.5626
60	1.3861
60.5	1.1817
61	1.2378
61.5	1.4694
62	1.7577
62.5	1.9171
63	2.0732
63.5	2.0188
64	2.0966
64.5	2.5258
65	2.2552
65.5	1.8873
66	1.6685
66.5	1.9333
67	2.8226
67.5	3.534
68	5.1074
68.5	6.0206
69	5.2811
69.5	7.4829
70	13.419
70.5	18.764
71	23.153
71.5	21.148
72	14.266
72.5	11.094
73	7.9215
73.5	4.1078
74	2.9893
74.5	3.9125
75	5.5261
75.5	4.9009
76	2.6508
76.5	2.1648
77	2.4918
77.5	1.6551
78	1.5367
78.5	2.322
79	2.6103
79.5	2.7792
80	2.6355
80.5	2.2863
81	1.8699
81.5	1.4494
82	1.2317
82.5	1.2376
83	1.4241
83.5	1.7908
84	1.7
84.5	1.5066
85	1.6427
85.5	1.6416
86	1.3614
86.5	1.1774
87	1.2322
87.5	1.5417
88	1.7367
88.5	1.6543
89	1.7134
89.5	1.7037
90	1.5524
90.5	1.2607
91	1.2729
91.5	1.3795
92	1.1677
92.5	1.2224
93	1.772
93.5	1.5693
94	0.99913
94.5	0.90685
95	0.97205
95.5	0.88716
96	0.89292
96.5	1.0486
97	1.0171
97.5	0.99834
98	1.0609
98.5	0.8378
99	0.79024
99.5	0.9749
100	1.12
100.5	1.0348
101	0.91659
101.5	0.75264
102	0.72788
102.5	0.61643
103	0.68287
103.5	1.0172
104	1.0086
104.5	0.89948
105	0.79964
105.5	0.66976
106	0.7924
106.5	0.95114
107	1.0149
107.5	0.9362
108	1.0276
108.5	1.1132
109	1.1475
109.5	1.3123
110	1.3243
110.5	1.155
111	0.89465
111.5	1.076
112	1.0407
112.5	0.66429
113	0.56942
113.5	0.64643
114	0.83778
114.5	1.0195
115	0.87264
115.5	0.80019
116	0.83184
116.5	0.8372
117	0.91641
117.5	1.1877
118	1.1255
118.5	0.8544
119	0.75493
119.5	0.81698
120	0.79219
120.5	0.88038
121	0.9298
121.5	1.0835
122	1.282
122.5	1.0549
123	0.73782
123.5	0.8128
124	0.96385
124.5	0.80344
125	0.98233
125.5	1.4909
126	1.5865
126.5	1.3597
127	1.2739
127.5	1.0485
128	1.0627
128.5	1.0669
129	1.0166
129.5	0.81685
130	0.77974
130.5	0.83691
131	0.75098
131.5	0.51123
132	0.33683
132.5	0.53845
133	0.84784
133.5	0.93589
134	1.0212
134.5	1.1934
