f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta
0	7.32747e-15	5.10703e-15	7.54952e-15	1.67644e-14	1.14353e-14	1.27676e-14	9.90874e-15	4.49293e-15	7.53529e-14
0.0197765	10.8128	9.3149	2.26616	0.228411	1.05614	0.130956	0.0541432	0.192149	24.0556
0.0395531	10.9344	9.9872	2.23078	0.110107	1.03586	0.0661101	0.0672372	0.207287	24.639
0.0593296	11.0665	10.5978	2.19396	0.00224035	1.01799	0.00723273	0.0786914	0.221311	25.1857
0.0791061	11.1404	10.7436	2.17542	0.0238868	1.01492	0.00657938	0.0804869	0.225328	25.4106
0.0988826	11.1181	10.3347	2.18396	0.0485459	1.02885	0.0339027	0.0709598	0.217193	25.0362
0.118659	11.0166	9.65596	2.2124	0.170626	1.05045	0.101747	0.0559778	0.202907	24.4667
0.138436	10.9037	9.17797	2.24228	0.260479	1.06482	0.151805	0.0451459	0.192389	24.0386
0.158212	10.8621	9.24137	2.2553	0.258444	1.06216	0.150748	0.0455249	0.192789	24.0685
0.177989	10.9409	9.82759	2.24459	0.166907	1.04444	0.0991859	0.0569068	0.203706	24.5842
0.197765	11.1219	10.5695	2.21891	0.0483095	1.02413	0.0313707	0.0718367	0.217681	25.3036
0.217542	11.325	10.9961	2.19645	0.0168254	1.01557	0.00762153	0.080409	0.225274	25.8633
0.237318	11.4521	10.8482	2.19345	0.0159163	1.02497	0.00813605	0.0769285	0.221465	25.8411
0.257095	11.4466	10.2532	2.2137	0.125298	1.04621	0.0681565	0.0636213	0.208911	25.4256
0.276871	11.3326	9.6437	2.24641	0.238884	1.06505	0.132493	0.0493033	0.19608	24.9045
0.296648	11.2088	9.47	2.27292	0.281351	1.0689	0.158287	0.0434488	0.191592	24.6954
0.316424	11.1935	9.89807	2.27841	0.224831	1.05545	0.128327	0.0499367	0.198511	25.027
0.336201	11.3505	10.6943	2.26108	0.1075	1.03426	0.0623967	0.0644205	0.212227	25.7867
0.355977	11.6413	11.3771	2.23362	0.00843564	1.02037	0.00419105	0.0773321	0.223632	26.5859
0.375754	11.9386	11.5377	2.21576	0.00505046	1.0239	0.00740423	0.0801683	0.225063	27.0337
0.395531	12.1008	11.118	2.22216	0.0774019	1.04319	0.0348507	0.0710915	0.215541	26.8829
0.415307	12.0664	10.4543	2.25265	0.201583	1.06564	0.103334	0.0560768	0.201494	26.4015
0.435084	11.9034	10.0583	2.29142	0.284685	1.07637	0.152285	0.045191	0.19253	26.0041
0.45486	11.7768	10.2743	2.31593	0.271463	1.06845	0.148974	0.0447171	0.194643	26.0953
0.474637	11.8469	11.0452	2.31299	0.170947	1.04776	0.0953906	0.0563995	0.206733	26.7823
0.494413	12.162	11.9425	2.28661	0.0516818	1.02915	0.0269836	0.0716697	0.220494	27.791
0.51419	12.6152	12.4475	2.25729	0.0054965	1.02624	0.0108348	0.080566	0.226732	28.6699
0.533966	13.0024	12.2998	2.24814	0.038598	1.04197	0.00707049	0.0771165	0.221399	28.9365
0.553743	13.1495	11.681	2.26949	0.155375	1.0667	0.0687866	0.0635894	0.208203	28.6626
0.573519	13.0351	11.1047	2.31206	0.267838	1.08396	0.133279	0.0490315	0.196071	28.182
0.593296	12.8201	11.0762	2.35277	0.301746	1.08262	0.157469	0.0431366	0.193173	28.0272
0.613072	12.7561	11.7483	2.36956	0.23495	1.0643	0.125008	0.0497716	0.201568	28.5495
0.632849	13.0211	12.8084	2.35521	0.112353	1.04245	0.0571879	0.064441	0.215774	29.6769
0.652625	13.5917	13.6804	2.32257	0.0167037	1.03303	0.00101216	0.0774825	0.226423	30.9493
0.672402	14.2425	13.9093	2.29696	0.0136264	1.0435	0.010961	0.080311	0.226391	31.8236
0.692178	14.6846	13.4708	2.30073	0.107256	1.06773	0.0339913	0.0711173	0.215671	31.9519
0.711955	14.7553	12.7994	2.33815	0.236374	1.0905	0.103838	0.0559122	0.201577	31.5811
0.731731	14.5385	12.5135	2.39133	0.315273	1.09738	0.152015	0.0446045	0.193739	31.2464
0.751508	14.3308	13.009	2.43096	0.291543	1.08444	0.146303	0.0447484	0.197673	31.5355
0.771284	14.4654	14.1827	2.43575	0.181918	1.06099	0.09021	0.0563614	0.210794	32.6841
0.791061	15.0899	15.4745	2.4074	0.0610591	1.04398	0.0206424	0.071839	0.224376	34.3937
0.810838	16.0442	16.2245	2.3702	0.0113353	1.04672	0.0164562	0.0808797	0.229354	36.0237
0.830614	16.9343	16.1273	2.35509	0.0676083	1.06938	0.00360765	0.0773405	0.222546	36.8571
0.850391	17.3854	15.4705	2.37924	0.194073	1.09784	0.0677108	0.0635264	0.208663	36.867
0.870167	17.314	14.9687	2.43451	0.308043	1.11324	0.133252	0.0486721	0.19713	36.5175
0.889944	17.0203	15.2837	2.49256	0.334645	1.10576	0.1562	0.0427443	0.195843	36.6318
0.90972	17.0105	16.5637	2.52266	0.25687	1.08197	0.120641	0.0494819	0.205751	37.8115
0.929497	17.6606	18.3271	2.51151	0.127029	1.05992	0.0498001	0.0645026	0.220475	40.021
0.949273	18.9521	19.7753	2.47235	0.0333431	1.05607	0.00921729	0.077785	0.230227	42.6064
0.96905	20.4634	20.3204	2.43781	0.0410941	1.0742	0.0170709	0.0806197	0.228547	44.6632
0.988826	21.6264	19.9885	2.43939	0.148143	1.10248	0.0308756	0.0711581	0.216617	45.6236
1.0086	22.0901	19.4324	2.48634	0.285291	1.12531	0.103094	0.055569	0.20258	45.7806
1.02838	21.9821	19.5651	2.55802	0.362028	1.12794	0.150881	0.0440793	0.196062	45.9863
1.04816	21.8924	20.9717	2.61615	0.327834	1.10975	0.142477	0.0444752	0.201656	47.3064
1.06793	22.5529	23.4845	2.63031	0.206554	1.08349	0.0830706	0.0560742	0.215712	50.3126
1.08771	24.3614	26.2146	2.59874	0.0812291	1.06816	0.011352	0.0719363	0.228905	54.6362
1.10749	27.049	28.0996	2.55094	0.0380306	1.07693	0.0256414	0.0810816	0.232496	59.1537
1.12726	29.7729	28.6679	2.52833	0.108806	1.10697	0.00327868	0.0774093	0.22418	62.4898
1.14704	31.663	28.4848	2.55689	0.249289	1.13967	0.0641554	0.0632653	0.209668	64.4307
1.16681	32.4973	28.8966	2.62955	0.368371	1.15293	0.132026	0.0480249	0.19873	65.9235
1.18659	33.0061	31.1681	2.71002	0.38823	1.13781	0.154347	0.0418227	0.19885	68.8053
1.20637	34.5131	35.6062	2.75584	0.296546	1.10631	0.114691	0.0487451	0.210064	74.6515
1.22614	38.1159	41.3317	2.74592	0.155568	1.08324	0.0383707	0.0641873	0.225	83.7599
1.24592	43.9972	46.9289	2.69526	0.0618421	1.08714	0.0235603	0.0778633	0.233637	95.1054
1.2657	51.4088	51.529	2.64655	0.0819617	1.11603	0.0288888	0.0806562	0.230064	107.122
1.28547	59.3768	55.5957	2.64304	0.20706	1.14932	0.0262701	0.0705376	0.216447	119.285
1.30525	67.6675	60.9402	2.69921	0.357281	1.16426	0.104007	0.0539863	0.201737	133.188
1.32503	77.4924	70.219	2.78905	0.434418	1.15276	0.150695	0.041843	0.195603	152.476
1.3448	91.9319	86.7199	2.86042	0.387832	1.12529	0.134123	0.0418404	0.201818	183.403
1.36458	117.124	115.818	2.8665	0.250079	1.09977	0.0657796	0.0540289	0.215034	237.493
1.38436	168.343	172.173	2.78872	0.115148	1.08352	0.00696035	0.0693785	0.22393	344.804
1.40413	311.085	324.101	2.60595	0.0757355	1.04544	0.0319419	0.0749333	0.213676	639.233
1.42391	2385.04	2522.58	0.759282	0.129496	0.150731	0.0519119	0.0111006	0.0163481	4908.74
1.44369	403.841	437.721	3.24585	0.340156	1.40387	0.0699478	0.0765432	0.253246	846.952
1.46346	181.76	204.368	3.15279	0.465903	1.29222	0.144727	0.053861	0.222718	391.46
1.48324	116.52	136.038	3.2121	0.477884	1.23317	0.160397	0.0452236	0.218536	257.905
1.50302	86.8394	103.373	3.25921	0.366563	1.19132	0.110979	0.0514937	0.228802	195.421
1.52279	70.9486	83.288	3.24395	0.207499	1.17427	0.0302102	0.067354	0.242988	159.203
1.54257	61.3185	68.5613	3.17757	0.110838	1.18494	0.0293981	0.0814865	0.250128	134.714
1.56235	54.2511	56.6364	3.11423	0.146998	1.21482	0.0306431	0.0843657	0.244619	115.723
1.58212	47.7273	46.8981	3.11241	0.29887	1.2472	0.0253798	0.0738523	0.229735	99.6128
1.6019	41.0156	39.5516	3.19443	0.471017	1.26454	0.101126	0.0567719	0.215287	85.8703
1.62168	34.501	34.8094	3.32907	0.552033	1.25706	0.146882	0.0443496	0.210986	74.8507
1.64145	29.194	32.3176	3.44977	0.489708	1.22947	0.132142	0.0447679	0.219861	67.0772
1.66123	25.9179	31.0525	3.49759	0.327602	1.20063	0.0651887	0.0577451	0.2361	62.3553
1.681	24.6435	29.7554	3.46159	0.178236	1.19306	0.0114663	0.0746829	0.248912	59.5668
1.70078	24.4105	27.6075	3.38831	0.148587	1.2172	0.0477745	0.0843387	0.249823	57.1541
1.72056	23.9114	24.6508	3.35329	0.267499	1.26178	0.0190578	0.0802184	0.23834	53.7824
1.74033	22.3067	21.644	3.41097	0.464138	1.2997	0.0564628	0.06493	0.222409	49.4694
1.76011	19.6988	19.4641	3.55691	0.613406	1.3068	0.128417	0.0485478	0.213029	45.03
1.77989	16.9507	18.4911	3.72792	0.619143	1.28042	0.147489	0.0419419	0.216849	41.4756
1.79966	15.0327	18.394	3.84205	0.480007	1.24217	0.0993561	0.0494392	0.231774	39.3714
1.81944	14.3735	18.4127	3.85365	0.29295	1.2226	0.0152287	0.0665094	0.247776	38.4848
1.83922	14.64	17.8819	3.78546	0.190262	1.23919	0.0489231	0.0814068	0.254763	38.1219
1.85899	15.0182	16.6237	3.71694	0.251539	1.28448	0.0503451	0.0843798	0.248138	37.2777
1.87877	14.7545	14.9831	3.73342	0.44827	1.33154	0.0108082	0.0733987	0.23263	35.5677
1.89855	13.6036	13.5539	3.86903	0.65967	1.35359	0.0945237	0.0556973	0.218976	33.4089
1.91832	11.9239	12.7772	4.081	0.751083	1.3395	0.143978	0.0430027	0.216751	31.2764
1.9381	10.417	12.691	4.27431	0.664693	1.30213	0.125977	0.0437509	0.227901	29.7467
1.95788	9.66917	12.9292	4.36306	0.461618	1.26982	0.0512526	0.0575203	0.245491	29.0471
1.97765	9.78338	12.9727	4.3299	0.285758	1.26891	0.0320473	0.0752433	0.257864	29.0058
1.99743	10.3278	12.4839	4.24134	0.267677	1.30609	0.0693312	0.085253	0.257313	29.0387
2.01721	10.633	11.5133	4.20883	0.436906	1.36241	0.035454	0.0807857	0.244339	28.515
2.03698	10.2375	10.4438	4.31479	0.696541	1.4045	0.0476884	0.0646851	0.228032	27.4375
2.05676	9.1794	9.71752	4.55471	0.884665	1.40748	0.124524	0.047549	0.219835	26.1357
2.07654	7.94366	9.53909	4.83551	0.882142	1.37289	0.142466	0.0408282	0.22578	24.9824
2.09631	7.11837	9.7569	5.03401	0.695338	1.32899	0.0878098	0.0491284	0.242373	24.3129
2.11609	7.00594	9.98713	5.0793	0.457053	1.31111	0.00437596	0.0670005	0.258926	24.1708
2.13586	7.44494	9.87883	5.00403	0.341714	1.33743	0.0733317	0.0826091	0.26475	24.4276
2.15564	7.9397	9.33541	4.92924	0.449274	1.39623	0.0732765	0.0855307	0.256325	24.465
2.17542	7.99393	8.55676	4.98854	0.733755	1.45373	0.00426611	0.0737921	0.239687	24.0445
2.19519	7.42679	7.89089	5.23857	1.02662	1.47661	0.0875815	0.055142	0.226417	23.4286
2.21497	6.47438	7.60174	5.61485	1.14505	1.45429	0.140495	0.0419074	0.225979	22.6987
2.23475	5.62122	7.70401	5.96688	1.01648	1.40648	0.117805	0.0428897	0.23926	22.115
2.25452	5.27741	7.96568	6.15557	0.735539	1.371	0.032655	0.0575597	0.25799	21.8534
2.2743	5.51385	8.06973	6.15111	0.509105	1.37864	0.0598239	0.0763707	0.270018	22.0286
2.29408	6.02664	7.82434	6.06325	0.520286	1.43197	0.0986508	0.0868513	0.267654	22.3197
2.31385	6.34801	7.28188	6.07664	0.800625	1.50241	0.0577776	0.0819052	0.252888	22.4021
2.33363	6.15774	6.6926	6.32955	1.19995	1.54878	0.0361537	0.0646429	0.236165	22.2656
2.35341	5.48746	6.33031	6.81652	1.47947	1.54525	0.119633	0.0465345	0.229292	22.0545
2.37318	4.68629	6.31164	7.38321	1.47006	1.4997	0.135624	0.0397322	0.237476	21.7637
2.39296	4.1809	6.52733	7.822	1.19188	1.44921	0.0713137	0.0487898	0.255795	21.5472
2.41274	4.19402	6.72485	8.01346	0.851492	1.43532	0.0323822	0.0684512	0.27235	21.5923
2.43251	4.60625	6.68017	8.00577	0.720211	1.47581	0.107472	0.0841537	0.276983	21.9568
2.45229	5.04563	6.34217	8.01764	0.947301	1.55196	0.104194	0.0868197	0.266778	22.3625
2.47207	5.13816	5.85743	8.29324	1.45624	1.62036	0.0244941	0.0742967	0.249088	22.7133
2.49184	4.75175	5.46529	8.94992	1.97324	1.64197	0.0783287	0.0548569	0.236206	23.1516
2.51162	4.07458	5.33709	9.88646	2.19832	1.60834	0.134665	0.04122	0.237372	23.5181
2.5314	3.48257	5.46726	10.8326	2.00876	1.54875	0.104753	0.0423755	0.252551	23.7396
2.55117	3.28794	5.68419	11.5223	1.56426	1.51104	0.00588285	0.057768	0.272328	23.9057
2.57095	3.53646	5.76928	11.8863	1.22684	1.52987	0.0981467	0.0774466	0.283945	24.4083
2.59072	3.9845	5.60194	12.135	1.33667	1.60252	0.138809	0.0884839	0.280006	25.1679
2.6105	4.26665	5.23466	12.6627	1.97896	1.68945	0.0888133	0.0833927	0.263467	26.2681
2.63028	4.13852	4.85151	13.8237	2.90389	1.74005	0.0188271	0.065301	0.245975	27.7878
2.65005	3.63382	4.642	15.7177	3.66019	1.72671	0.111595	0.0462147	0.239853	29.7781
2.66983	3.03479	4.67617	18.1331	3.87533	1.66443	0.125375	0.0390864	0.249753	31.7981
2.68961	2.68012	4.86308	20.6971	3.50726	1.60201	0.0476611	0.0489841	0.269379	33.7156
2.70938	2.74089	5.01667	23.1651	2.91913	1.5896	0.0728423	0.0693381	0.285827	35.8594
2.72916	3.11242	4.98166	25.7026	2.7267	1.64433	0.157688	0.0864319	0.288408	38.7003
2.74894	3.49002	4.73424	29.0562	3.52182	1.73674	0.15069	0.088853	0.275823	43.0544
2.76871	3.57392	4.39242	34.6457	5.64992	1.80813	0.0561194	0.0756327	0.256524	50.4584
2.78849	3.26514	4.13247	44.9354	9.25673	1.80652	0.062696	0.0571058	0.242443	63.7585
2.80827	2.72394	4.06929	65.4739	14.9358	1.71369	0.124742	0.0481339	0.23931	89.3288
2.82804	2.2505	4.17643	117.822	26.9328	1.51899	0.0846342	0.0594499	0.236992	153.082
2.84782	1.95308	4.18902	518.36	115.501	0.529644	0.0435275	0.119157	0.113087	640.808
2.8676	2.52331	4.54864	214.345	48.8393	2.31168	0.146372	0.0675115	0.377298	273.16
2.88737	2.85928	4.36548	87.746	21.9022	2.11275	0.194929	0.0874039	0.323524	119.592
2.90715	3.08661	4.07945	55.7346	15.3942	2.15064	0.134612	0.0786382	0.293839	80.9526
2.92693	2.97611	3.804	41.9483	11.9849	2.18112	0.00789886	0.0555216	0.274244	63.232
2.9467	2.56058	3.6731	34.3791	9.13352	2.14595	0.0990844	0.0343119	0.271585	52.2973
2.96648	2.07954	3.72702	29.1213	6.48657	2.06063	0.111769	0.0289594	0.286286	43.902
