f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta	sumEtaSq
0	0.004525620568738633	0.003576084622894643	0.0004321119416083424	0.00012522490382121647	0.000621264059640401	0.0010378685290354532	0.013824749536526668	0.0153054	0.039448324162265354	0.0004603141337919687
0.333056	0.00457663218743982	0.0034710439387179914	0.0004280636112175993	0.00012449844735936544	0.0006842812875874025	0.0010228393905237524	0.013216227924850554	0.013473890391576378	0.03699747717927286	0.00039092129066742776
0.666112	0.004298678559965764	0.003155559468646312	0.0003762781115385292	0.00014690873559242948	0.000753310627547447	0.0008610231499855546	0.01189787198354165	0.01141115316221578	0.03290078379903347	0.0003016819723105686
0.999167	0.003976480493420349	0.0029754731854477277	0.0003412271670418176	0.00017425650974891373	0.0008191611357739072	0.0006737450195633332	0.010893375744119246	0.010734473704257591	0.030588192959372883	0.0002598321572303003
1.33222	0.003976480493420349	0.0029754731854477277	0.0003412271670418176	0.00017425650974891373	0.0008191611357739072	0.0006737450195633332	0.010893375744119246	0.010734473704257591	0.030588192959372883	0.0002598321572303003
1.66528	0.004298678559965764	0.003155559468646312	0.0003762781115385292	0.00014690873559242948	0.000753310627547447	0.0008610231499855546	0.01189787198354165	0.01141115316221578	0.03290078379903347	0.0003016819723105686
1.99833	0.00457663218743982	0.0034710439387179914	0.0004280636112175993	0.00012449844735936544	0.0006842812875874025	0.0010228393905237524	0.013216227924850554	0.013473890391576378	0.03699747717927286	0.00039092129066742776
2.33139	0.004525620568738633	0.003576084622894643	0.0004321119416083424	0.00012522490382121647	0.000621264059640401	0.0010378685290354532	0.013824749536526668	0.0153054	0.039448324162265354	0.0004603141337919687
2.66445	0.004490243468492565	0.0032432645137437806	0.0003922966850270812	0.00014390724037016515	0.0005816295494965384	0.0010008124682405382	0.01236845987889139	0.01523841405890432	0.03745902786316638	0.00041738363843115615
2.9975	0.004795336362469242	0.0027519370658578807	0.0003488827102882215	0.00016944623255470338	0.0005545230918975395	0.0009887469519996698	0.009500164546230882	0.013007511287044103	0.032116548248342244	0.0002914524322975055
3.33056	0.005223161040333797	0.0025581594533052375	0.00031836550750008794	0.00019733595795009382	0.0004691851731689955	0.0009685022079739155	0.00762878313174443	0.009061067733374027	0.026424560205350583	0.0001754253009120139
3.66361	0.005336021533326201	0.002877338568871726	0.0003238093954296064	0.00022188356309624487	0.000370885450245129	0.0009721589851417723	0.008950526918717491	0.005979602332611018	0.025032226747439188	0.00015385651317262742
