x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
0	174.175	0.363168	0.486583
1	170.752	0.356032	0.467647
2	29.0436	0.0605583	0.0135297
3	28.6364	0.0597092	0.0131529
4	23.0743	0.0481118	0.00853973
5	23.0119	0.0479817	0.00849358
6	6.60951	0.0137814	0.00070069
7	6.59828	0.013758	0.00069831
8	3.96056	0.0082581	0.000251594
9	3.95484	0.00824618	0.000250868
10	1.76503	0.00368023	4.99678e-05
11	1.7618	0.00367349	4.9785e-05
12	1.05826	0.00220656	1.79627e-05
13	1.05656	0.00220301	1.7905e-05
14	0.548886	0.00114447	4.83227e-06
15	0.548336	0.00114333	4.82258e-06
16	0.36175	0.000754278	2.09895e-06
17	0.361221	0.000753175	2.09282e-06
18	0.22236	0.000463639	7.93049e-07
19	0.221812	0.000462495	7.89142e-07
20	0.166318	0.000346786	4.43675e-07
21	0.166007	0.000346139	4.4202e-07
22	0.126269	0.000263281	2.5573e-07
23	0.126177	0.00026309	2.55358e-07
24	0.103866	0.000216569	1.73034e-07
25	0.10341	0.000215618	1.71519e-07
26	0.0833917	0.000173879	1.11541e-07
27	0.0832152	0.000173511	1.11069e-07
28	0.0671551	0.000140024	7.23343e-08
29	0.0666864	0.000139047	7.13283e-08
30	0.0512902	0.000106944	4.21945e-08
31	0.0511991	0.000106754	4.20448e-08
32	0.0427035	8.90402e-05	2.92491e-08
33	0.0425224	8.86627e-05	2.90016e-08
34	0.034683	7.2317e-05	1.92939e-08
35	0.0341746	7.12568e-05	1.87324e-08
36	0.0288773	6.02116e-05	1.33752e-08
37	0.0286715	5.97825e-05	1.31852e-08
38	0.0237773	4.95777e-05	9.06803e-09
39	0.0236797	4.93741e-05	8.99369e-09
40	0.0214797	4.47869e-05	7.40019e-09
41	0.0207972	4.3364e-05	6.93742e-09
42	0.0182342	3.80197e-05	5.33284e-09
43	0.0177845	3.70822e-05	5.07307e-09
44	0.0160005	3.33623e-05	4.10632e-09
45	0.0158586	3.30665e-05	4.03383e-09
46	0.0141665	2.95382e-05	3.21891e-09
47	0.0136026	2.83625e-05	2.96777e-09
48	0.0123605	2.57726e-05	2.45051e-09
49	0.0119626	2.49431e-05	2.2953e-09
50	0.0119423	2.49007e-05	2.2875e-09
51	0.010861	2.26462e-05	1.89204e-09
52	0.0103415	2.15628e-05	1.71535e-09
53	0.00999308	2.08364e-05	1.60172e-09
54	0.00858737	1.79054e-05	1.18279e-09
55	0.00816424	1.70231e-05	1.0691e-09
56	0.00764196	1.59341e-05	9.36692e-10
57	0.00728857	1.51973e-05	8.52062e-10
58	0.00619879	1.2925e-05	6.16312e-10
59	0.00603905	1.25919e-05	5.84957e-10
60	0.00567718	1.18374e-05	5.16955e-10
61	0.00525607	1.09593e-05	4.43107e-10
62	0.00521395	1.08715e-05	4.36034e-10
63	0.00465195	9.6997e-06	3.47102e-10
64	0.00452029	9.42519e-06	3.27733e-10
65	0.00419595	8.74891e-06	2.82389e-10
66	0.00398651	8.3122e-06	2.54902e-10
67	0.00358476	7.47453e-06	2.06114e-10
68	0.00351867	7.33672e-06	1.98584e-10
69	0.00328262	6.84453e-06	1.72833e-10
70	0.00314526	6.55814e-06	1.58672e-10
71	0.00290468	6.0565e-06	1.35327e-10
72	0.0028995	6.0457e-06	1.34845e-10
73	0.00270326	5.63653e-06	1.1721e-10
74	0.00266963	5.56639e-06	1.14311e-10
75	0.00257224	5.36334e-06	1.06123e-10
76	0.00250391	5.22085e-06	1.00559e-10
77	0.00233949	4.87803e-06	8.77867e-11
78	0.00226717	4.72725e-06	8.24435e-11
79	0.0020869	4.35136e-06	6.98539e-11
80	0.00201932	4.21045e-06	6.54029e-11
81	0.00200628	4.18326e-06	6.4561e-11
82	0.00187149	3.9022e-06	5.61771e-11
83	0.00176573	3.68169e-06	5.00076e-11
84	0.00173583	3.61935e-06	4.83283e-11
85	0.0017143	3.57446e-06	4.7137e-11
86	0.00158288	3.30044e-06	4.01869e-11
87	0.00149563	3.11851e-06	3.58784e-11
88	0.00147164	3.06848e-06	3.47367e-11
89	0.00145036	3.02413e-06	3.37397e-11
90	0.00141829	2.95726e-06	3.2264e-11
91	0.00141195	2.94404e-06	3.19762e-11
92	0.00134062	2.79529e-06	2.88267e-11
93	0.0013071	2.72542e-06	2.74036e-11
94	0.00125515	2.61708e-06	2.52683e-11
95	0.00124296	2.59168e-06	2.478e-11
96	0.0012239	2.55193e-06	2.40258e-11
97	0.00118233	2.46526e-06	2.24216e-11
98	0.00117781	2.45582e-06	2.22503e-11
99	0.00115009	2.39804e-06	2.12155e-11
100	0.00113353	2.3635e-06	2.06088e-11
101	0.00110214	2.29805e-06	1.94831e-11
102	0.00108996	2.27265e-06	1.90549e-11
103	0.00108232	2.25672e-06	1.87886e-11
104	0.00103627	2.16072e-06	1.72241e-11
105	0.00101803	2.12268e-06	1.6623e-11
106	0.0009931	2.0707e-06	1.58188e-11
107	0.000980923	2.04531e-06	1.54332e-11
108	0.000970944	2.0245e-06	1.51208e-11
109	0.000940509	1.96104e-06	1.41877e-11
110	0.000745457	1.55434e-06	8.91318e-12
111	0.000701277	1.46222e-06	7.888e-12
112	0.000681638	1.42127e-06	7.45237e-12
113	0.000534403	1.11427e-06	4.58062e-12
114	0.000505916	1.05488e-06	4.10529e-12
115	0.000146601	3.05676e-07	3.44716e-13
116	0.000141606	2.9526e-07	3.21625e-13
117	0.000127289	2.65408e-07	2.59876e-13
118	0.000122673	2.55783e-07	2.41371e-13
119	9.21268e-05	1.92092e-07	1.36132e-13
120	8.89599e-05	1.85489e-07	1.26933e-13
121	7.30164e-05	1.52245e-07	8.55122e-14
122	7.21559e-05	1.50451e-07	8.35084e-14
123	6.97125e-05	1.45356e-07	7.79485e-14
124	6.73961e-05	1.40526e-07	7.28545e-14
125	6.53607e-05	1.36283e-07	6.85206e-14
126	6.40651e-05	1.33581e-07	6.5831e-14
127	6.24744e-05	1.30264e-07	6.26024e-14
128	6.15054e-05	1.28244e-07	6.06754e-14
129	6.14182e-05	1.28062e-07	6.05035e-14
130	6.10704e-05	1.27337e-07	5.98202e-14
131	6.08166e-05	1.26808e-07	5.93242e-14
132	6.03547e-05	1.25844e-07	5.84263e-14
133	5.96833e-05	1.24445e-07	5.71337e-14
134	5.91915e-05	1.23419e-07	5.6196e-14
135	5.90098e-05	1.2304e-07	5.58515e-14
136	5.84795e-05	1.21935e-07	5.48523e-14
137	5.83124e-05	1.21586e-07	5.45393e-14
138	5.81459e-05	1.21239e-07	5.42282e-14
139	5.77568e-05	1.20428e-07	5.35049e-14
140	5.74831e-05	1.19857e-07	5.29989e-14
141	5.72695e-05	1.19412e-07	5.26058e-14
142	5.71263e-05	1.19113e-07	5.23431e-14
143	5.68259e-05	1.18487e-07	5.1794e-14
144	5.63402e-05	1.17474e-07	5.09123e-14
145	5.62731e-05	1.17334e-07	5.07913e-14
146	5.60045e-05	1.16774e-07	5.03075e-14
147	5.5837e-05	1.16425e-07	5.00071e-14
148	5.57096e-05	1.16159e-07	4.97791e-14
149	5.54122e-05	1.15539e-07	4.9249e-14
150	5.50975e-05	1.14883e-07	4.86912e-14
151	5.49759e-05	1.14629e-07	4.84766e-14
152	5.45735e-05	1.1379e-07	4.77694e-14
153	5.44735e-05	1.13582e-07	4.75945e-14
154	5.42512e-05	1.13118e-07	4.72068e-14
155	5.40641e-05	1.12728e-07	4.68819e-14
156	5.38575e-05	1.12297e-07	4.65243e-14
157	5.38305e-05	1.12241e-07	4.64776e-14
158	5.37632e-05	1.12101e-07	4.63615e-14
159	5.32551e-05	1.11041e-07	4.54893e-14
160	5.32308e-05	1.10991e-07	4.54479e-14
161	5.3111e-05	1.10741e-07	4.52435e-14
162	5.29874e-05	1.10483e-07	4.50332e-14
163	5.27925e-05	1.10077e-07	4.47024e-14
164	5.25682e-05	1.09609e-07	4.43234e-14
165	5.25043e-05	1.09476e-07	4.42157e-14
166	5.21866e-05	1.08813e-07	4.36822e-14
167	5.1993e-05	1.0841e-07	4.33587e-14
168	5.191e-05	1.08237e-07	4.32204e-14
169	5.18136e-05	1.08036e-07	4.306e-14
170	5.14654e-05	1.0731e-07	4.24832e-14
171	5.12388e-05	1.06837e-07	4.211e-14
172	5.10198e-05	1.0638e-07	4.17507e-14
173	5.08282e-05	1.05981e-07	4.14377e-14
174	5.0717e-05	1.05749e-07	4.12567e-14
175	5.06469e-05	1.05603e-07	4.11426e-14
176	5.05152e-05	1.05328e-07	4.09289e-14
177	5.0452e-05	1.05197e-07	4.08267e-14
178	5.03467e-05	1.04977e-07	4.06565e-14
179	5.01328e-05	1.04531e-07	4.03116e-14
180	4.99106e-05	1.04068e-07	3.99552e-14
181	4.9791e-05	1.03818e-07	3.97638e-14
182	4.97428e-05	1.03718e-07	3.9687e-14
