t,	etaU
0,	1.24962e-15
0.166667,	0.402394
0.333333,	0.40348
0.5,	0.405291
0.666667,	0.407865
0.833333,	0.411253
1,	0.415533
1.16667,	0.420797
1.33333,	0.427188
1.5,	0.434889
1.66667,	0.444177
1.83333,	0.455459
2,	0.469368
2.16667,	0.486966
2.33333,	0.510212
2.5,	0.543203
2.66667,	0.596355
2.83333,	0.707093
3,	1.19508
3.16667,	0.328078
3.33333,	0.240569
3.5,	0.365152
3.66667,	0.431904
3.83333,	0.482111
4,	0.527486
4.16667,	0.573227
4.33333,	0.622657
4.5,	0.678728
4.66667,	0.744814
4.83333,	0.825444
5,	0.927363
5.16667,	1.06155
5.33333,	1.24748
5.5,	1.52367
5.66667,	1.97891
5.83333,	2.87456
6,	5.46164
6.16667,	100
6.33333,	5.79262
6.5,	2.73015
6.66667,	1.74553
6.83333,	1.25779
7,	0.964964
7.16667,	0.768178
7.33333,	0.625365
7.5,	0.515441
7.66667,	0.42649
7.83333,	0.351022
8,	0.283729
8.16667,	0.220174
8.33333,	0.155723
8.5,	0.0840242
8.66667,	0.00638017
8.83333,	0.142818
9,	0.419416
9.16667,	1.5704
9.33333,	2.73087
9.5,	0.934218
9.66667,	0.614309
9.83333,	0.47513
10,	0.394521
10.1667,	0.340445
10.3333,	0.30077
10.5,	0.269848
10.6667,	0.244657
10.8333,	0.223419
11,	0.204975
11.1667,	0.188494
11.3333,	0.173305
11.5,	0.158727
11.6667,	0.143869
11.8333,	0.127086
12,	0.104062
12.1667,	0.0555179
12.3333,	0.719118
12.5,	0.23638
12.6667,	0.173063
12.8333,	0.149859
13,	0.136102
13.1667,	0.126183
13.3333,	0.118288
13.5,	0.11164
13.6667,	0.10584
13.8333,	0.100668
14,	0.0959755
14.1667,	0.0916663
14.3333,	0.0876695
14.5,	0.0839284
14.6667,	0.0803907
14.8333,	0.0769909
15,	0.0736199
15.1667,	0.0699682
15.3333,	0.0638853
15.5,	0.076912
15.6667,	0.0671786
15.8333,	0.0637745
16,	0.061147
16.1667,	0.0588271
16.3333,	0.0566887
16.5,	0.0546899
16.6667,	0.0527978
16.8333,	0.0510034
17,	0.049293
17.1667,	0.0476595
17.3333,	0.0460962
17.5,	0.0445978
17.6667,	0.0431642
17.8333,	0.0417882
18,	0.0404758
18.1667,	0.0392331
18.3333,	0.0381137
18.5,	0.0384914
18.6667,	0.035127
18.8333,	0.0342128
19,	0.0331961
19.1667,	0.0321815
19.3333,	0.0311912
19.5,	0.030227
19.6667,	0.0292897
19.8333,	0.0283796
20,	0.0274944
20.1667,	0.0266414
20.3333,	0.0258056
20.5,	0.025
20.6667,	0.0242131
20.8333,	0.0234504
21,	0.022704
21.1667,	0.0219778
21.3333,	0.021266
21.5,	0.0205326
21.6667,	0.0201632
21.8333,	0.0193596
22,	0.0187111
22.1667,	0.0180886
22.3333,	0.0174876
22.5,	0.0169007
22.6667,	0.0163307
22.8333,	0.0157737
23,	0.0152281
23.1667,	0.0146935
23.3333,	0.0141701
23.5,	0.0136547
23.6667,	0.0131468
23.8333,	0.01264
24,	0.0121269
24.1667,	0.0115922
24.3333,	0.011001
24.5,	0.0101593
24.6667,	0.00568377
24.8333,	0.0116832
25,	0.0104714
25.1667,	0.00985207
25.3333,	0.00936104
25.5,	0.00892463
25.6667,	0.00851799
25.8333,	0.00813144
26,	0.00775976
26.1667,	0.00739901
26.3333,	0.00705041
26.5,	0.00671093
26.6667,	0.00637884
26.8333,	0.00605564
27,	0.00574041
27.1667,	0.00543053
27.3333,	0.00512854
27.5,	0.00482844
27.6667,	0.00452225
27.8333,	0.00436738
28,	0.00401697
28.1667,	0.00373837
28.3333,	0.00346929
28.5,	0.00321165
28.6667,	0.00295855
28.8333,	0.00271039
29,	0.00246856
29.1667,	0.0022331
29.3333,	0.00200139
29.5,	0.00177867
29.6667,	0.00155956
29.8333,	0.00135134
30,	0.0011527
30.1667,	0.000967328
30.3333,	0.000802456
30.5,	0.000688246
30.6667,	0.000722276
30.8333,	0.00246171
31,	0.00119504
31.1667,	0.00082455
31.3333,	0.000865635
31.5,	0.00098539
31.6667,	0.00112916
31.8333,	0.00128523
32,	0.00144625
32.1667,	0.0016085
32.3333,	0.00177489
32.5,	0.00193435
32.6667,	0.00209519
32.8333,	0.0022541
33,	0.00241216
33.1667,	0.00256713
33.3333,	0.00272229
33.5,	0.0028738
33.6667,	0.00302358
33.8333,	0.0031722
34,	0.00332717
34.1667,	0.00346659
34.3333,	0.00360961
34.5,	0.00375033
34.6667,	0.00389037
34.8333,	0.00402824
35,	0.00416342
35.1667,	0.00430219
35.3333,	0.00443884
35.5,	0.00457312
35.6667,	0.00471069
35.8333,	0.00484618
36,	0.00498746
36.1667,	0.00513111
36.3333,	0.00528781
36.5,	0.00546172
36.6667,	0.00568838
36.8333,	0.00608148
37,	0.00813319
37.1667,	0.00432809
37.3333,	0.00523112
37.5,	0.00553403
37.6667,	0.00572983
37.8333,	0.00588438
38,	0.00602032
38.1667,	0.00614183
38.3333,	0.00625883
38.5,	0.00637004
38.6667,	0.00647681
38.8333,	0.00658084
39,	0.00668191
39.1667,	0.00678066
39.3333,	0.00687871
39.5,	0.00697207
39.6667,	0.00706444
39.8333,	0.00715661
40,	0.00724713
40.1667,	0.00730986
40.3333,	0.00741772
40.5,	0.00750593
40.6667,	0.00758718
40.8333,	0.00766899
41,	0.00775183
41.1667,	0.00783157
41.3333,	0.00790989
41.5,	0.00798815
41.6667,	0.00806419
41.8333,	0.00813541
42,	0.00820916
42.1667,	0.00827878
42.3333,	0.00834797
42.5,	0.00841404
42.6667,	0.00847035
42.8333,	0.00851785
43,	0.00852745
43.1667,	0.00823005
43.3333,	0.00914306
43.5,	0.00900427
43.6667,	0.00902164
43.8333,	0.00906506
44,	0.00911984
44.1667,	0.00917598
44.3333,	0.00923297
44.5,	0.00929393
44.6667,	0.00935105
44.8333,	0.00941223
45,	0.00947027
45.1667,	0.00952979
45.3333,	0.00958612
45.5,	0.00964307
45.6667,	0.00970109
45.8333,	0.0097563
46,	0.00981249
46.1667,	0.00986924
46.3333,	0.00993277
46.5,	0.00997944
46.6667,	0.0100337
46.8333,	0.0100853
47,	0.0101384
47.1667,	0.0101899
47.3333,	0.0102438
47.5,	0.010293
47.6667,	0.0103468
47.8333,	0.0103969
48,	0.0104474
48.1667,	0.0104983
48.3333,	0.0105491
48.5,	0.010599
48.6667,	0.0106511
48.8333,	0.0107044
49,	0.0107643
49.1667,	0.0108434
49.3333,	0.0110629
49.5,	0.0106474
49.6667,	0.010825
49.8333,	0.0108955
50,	0.0109541
50.1667,	0.0110038
50.3333,	0.0110498
50.5,	0.0110945
50.6667,	0.0111402
50.8333,	0.0111823
51,	0.0112237
51.1667,	0.0112661
51.3333,	0.0113068
51.5,	0.0113474
51.6667,	0.0113866
51.8333,	0.0114264
52,	0.0114624
52.1667,	0.0115003
52.3333,	0.0115403
52.5,	0.0115853
52.6667,	0.0116154
52.8333,	0.0116508
53,	0.0116863
53.1667,	0.0117227
53.3333,	0.0117587
53.5,	0.0117928
53.6667,	0.0118278
53.8333,	0.0118603
54,	0.0118935
54.1667,	0.0119276
54.3333,	0.0119611
54.5,	0.0119901
54.6667,	0.01202
54.8333,	0.0120499
55,	0.0120746
55.1667,	0.0120945
55.3333,	0.0120964
55.5,	0.011982
55.6667,	0.012454
55.8333,	0.012337
56,	0.0123385
56.1667,	0.012355
56.3333,	0.0123775
56.5,	0.0124051
56.6667,	0.0124316
56.8333,	0.0124589
57,	0.012485
57.1667,	0.0125132
57.3333,	0.0125404
57.5,	0.0125656
57.6667,	0.0125956
57.8333,	0.0126222
58,	0.0126483
58.1667,	0.0126755
58.3333,	0.0127027
58.5,	0.0127294
58.6667,	0.0127456
58.8333,	0.0127824
59,	0.0128089
59.1667,	0.0128341
59.3333,	0.0128587
59.5,	0.0128843
59.6667,	0.0129093
59.8333,	0.012934
60,	0.0129585
60.1667,	0.0129835
60.3333,	0.0130044
60.5,	0.0130324
60.6667,	0.0130567
60.8333,	0.0130808
61,	0.0131053
61.1667,	0.0131283
61.3333,	0.0131554
61.5,	0.0131854
61.6667,	0.0132364
61.8333,	0.0131524
62,	0.0132167
62.1667,	0.0132448
62.3333,	0.0132731
62.5,	0.0132961
62.6667,	0.0133152
62.8333,	0.0133404
63,	0.0133616
63.1667,	0.0133814
63.3333,	0.0134038
63.5,	0.0134238
63.6667,	0.0134445
63.8333,	0.0134657
64,	0.0134853
64.1667,	0.0135052
64.3333,	0.0135261
