f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
0	8339.44	7104.46	7121.58	2382.26	5141.97	6737.9	171389	163825
0.333056	8433.44	6895.78	7054.86	2368.44	5663.54	6640.33	163845	144221
0.666112	7921.25	6269.02	6201.39	2794.77	6234.87	5589.81	147501	122142
0.999167	7327.53	5911.25	5623.72	3315.03	6779.89	4373.99	135048	114899
1.33222	7327.53	5911.25	5623.72	3315.03	6779.89	4373.99	135048	114899
1.66528	7921.25	6269.02	6201.39	2794.77	6234.87	5589.81	147501	122142
1.99833	8433.44	6895.78	7054.86	2368.44	5663.54	6640.33	163845	144221
2.33139	8339.44	7104.46	7121.58	2382.26	5141.97	6737.9	171389	163825
2.66445	8274.25	6443.26	6465.39	2737.67	4813.93	6497.33	153335	163108
2.9975	8836.45	5467.16	5749.89	3223.52	4589.58	6419	117776	139229
3.33056	9624.81	5082.19	5246.94	3754.09	3883.27	6287.57	94576	96987.3
3.66361	9832.78	5716.29	5336.66	4221.08	3069.68	6311.31	110962	64004.1
3.99667	8755.87	6846.71	5538.66	4293.41	2853.3	6599.15	154838	62667.4
4.32973	7111.52	7484.64	5516.85	4098.98	3194.56	7207.93	192183	77912.2
4.66278	6392.93	7333.75	6189.25	3855.08	3680.76	7926.11	193215	88297.3
4.99584	6978.08	7381.93	7539.8	3664.42	3996.68	8413.14	167550	91070.1
5.32889	8026.58	8302.99	8712.29	3546.7	4015.11	8593.15	144304	93128.7
5.66195	8396.1	9298.07	9658.84	3359.05	3956.75	8376.11	132415	100257
5.995	7666.53	9402.5	10434.3	3167.02	4096.93	7578.15	122353	107476
6.32806	6580.31	8561.66	11016.2	3555.87	4509.43	6356.8	107360	104335
6.66112	6157.26	7497.91	11067.8	4353.5	4924.41	5005.32	85914.7	86392.5
6.99417	6359.81	6995.22	9800.59	4723.82	4831.6	3829.66	63890.6	62203.8
7.32723	6736.75	6864.37	8292.23	4431.6	3986.96	3758.55	54727.6	42678.8
7.66028	7467.71	6662.81	8027.86	3799.07	3176.64	5270.66	58122.4	30272.3
7.99334	8500.76	6611.76	8585.46	3292.24	3465.69	7838.22	70642.2	29019.5
8.32639	9147.92	7203.89	8904.93	3164.7	4521.72	10047.5	81834.7	39951.4
8.65945	9035.26	8360.95	8498.63	3067.73	5449.99	10491.9	79357.3	53894.7
8.99251	8143.31	9081.61	7541.66	2844.58	6036.31	8994.94	63714	63801.3
9.32556	7090.14	8460.44	6546.41	2883.19	6167.17	6620.89	46074.1	65995.8
9.65862	6902.61	6637.95	5886.66	3289.67	5759.7	4224.6	32736.4	60096
9.99167	7651.11	4769.2	6055.03	3779.29	5111.53	2836.05	26591.1	51610.7
10.3247	8695.43	4105.07	7001.05	4103.23	4602.12	2834.8	29546.2	43806
10.6578	9405.51	5208.49	7731.22	4503.41	4915.97	3247.85	37418.8	36621.8
10.9908	9217.69	7377.43	7308.1	5544.15	6131.51	3705.53	49684.3	33517.3
11.3239	8301.51	9308.96	6179.24	6781.57	7071.82	4139.38	61113.4	37272.3
11.657	7145.44	9855.34	5713.91	6924.92	7000.69	4706.51	61910.8	47916.1
11.99	6256.89	9103.65	6338.79	5840.05	6137.47	5626.25	53310	60725.7
12.3231	6111.92	8093.07	7724.67	4376.29	5090.82	6312.55	45241.4	68491.4
12.6561	6304.27	7479.37	9002.06	3424.81	4596.77	6161.42	40241.5	66430.7
12.9892	6357.54	7215.2	9258.04	3737.52	4809.17	5313.17	38758.1	55803.4
