Result,TKE[[m_s]²],U[m_s],V[m_s],W[m_s],vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.000322193,5.36989e-06,0.0294925,0.244122,5.06165,1,0,45,0,0,0
0.000326145,5.43575e-06,0.0295634,0.243919,5.06111,1,0.06,45,0.06,0,1
0.000330097,5.50162e-06,0.0296343,0.243717,5.06058,1,0.12,45,0.12,0,2
0.000334049,5.56748e-06,0.0297053,0.243515,5.06004,1,0.18,45,0.18,0,3
0.000338001,5.63335e-06,0.0297762,0.243313,5.0595,1,0.24,45,0.24,0,4
0.000341953,5.69921e-06,0.0298472,0.243111,5.05897,1,0.3,45,0.3,0,5
0.000345905,5.76508e-06,0.0299181,0.242909,5.05843,1,0.36,45,0.36,0,6
0.000349856,5.83094e-06,0.0299891,0.242706,5.05789,1,0.42,45,0.42,0,7
0.000353808,5.8968e-06,0.03006,0.242504,5.05736,1,0.48,45,0.48,0,8
0.00035776,5.96267e-06,0.030131,0.242302,5.05682,1,0.54,45,0.54,0,9
0.000361712,6.02853e-06,0.0302019,0.2421,5.05628,1,0.6,45,0.6,0,10
0.000365664,6.0944e-06,0.0302729,0.241898,5.05575,1,0.66,45,0.66,0,11
0.000369616,6.16026e-06,0.0303438,0.241696,5.05521,1,0.72,45,0.72,0,12
0.000373568,6.22613e-06,0.0304148,0.241493,5.05468,1,0.78,45,0.78,0,13
0.00037752,6.29199e-06,0.0304857,0.241291,5.05414,1,0.84,45,0.84,0,14
0.000381471,6.35786e-06,0.0305567,0.241089,5.0536,1,0.9,45,0.9,0,15
0.000385423,6.42372e-06,0.0306276,0.240887,5.05307,1,0.96,45,0.96,0,16
0.000389684,6.49473e-06,0.0307207,0.240699,5.05251,1,1.02,45,1.02,0,17
0.000394561,6.57601e-06,0.0308579,0.240539,5.05193,1,1.08,45,1.08,0,18
0.000399438,6.6573e-06,0.0309951,0.240378,5.05134,1,1.14,45,1.14,0,19
0.000404315,6.73859e-06,0.0311323,0.240218,5.05075,1,1.2,45,1.2,0,20
0.000409192,6.81987e-06,0.0312695,0.240058,5.05016,1,1.26,45,1.26,0,21
0.00041407,6.90116e-06,0.0314068,0.239898,5.04958,1,1.32,45,1.32,0,22
0.000418947,6.98245e-06,0.031544,0.239737,5.04899,1,1.38,45,1.38,0,23
0.000423824,7.06373e-06,0.0316812,0.239577,5.0484,1,1.44,45,1.44,0,24
0.000428701,7.14502e-06,0.0318184,0.239417,5.04781,1,1.5,45,1.5,0,25
0.000433578,7.22631e-06,0.0319556,0.239257,5.04723,1,1.56,45,1.56,0,26
0.000438456,7.30759e-06,0.0320928,0.239097,5.04664,1,1.62,45,1.62,0,27
0.000443333,7.38888e-06,0.0322301,0.238936,5.04605,1,1.68,45,1.68,0,28
0.00044821,7.47017e-06,0.0323673,0.238776,5.04547,1,1.74,45,1.74,0,29
0.000453087,7.55145e-06,0.0325045,0.238616,5.04488,1,1.8,45,1.8,0,30
0.000457965,7.63274e-06,0.0326417,0.238456,5.04429,1,1.86,45,1.86,0,31
0.000462842,7.71403e-06,0.0327789,0.238295,5.0437,1,1.92,45,1.92,0,32
0.000467719,7.79532e-06,0.0329161,0.238135,5.04312,1,1.98,45,1.98,0,33
0.000473432,7.89053e-06,0.0330804,0.237996,5.04244,1,2.04,45,2.04,0,34
0.000479562,7.9927e-06,0.0332581,0.237868,5.04172,1,2.1,45,2.1,0,35
0.000485692,8.09487e-06,0.0334358,0.23774,5.041,1,2.16,45,2.16,0,36
0.000491823,8.19705e-06,0.0336135,0.237612,5.04028,1,2.22,45,2.22,0,37
0.000497953,8.29922e-06,0.0337912,0.237483,5.03957,1,2.28,45,2.28,0,38
0.000504084,8.40139e-06,0.033969,0.237355,5.03885,1,2.34,45,2.34,0,39
0.000510214,8.50357e-06,0.0341467,0.237227,5.03813,1,2.4,45,2.4,0,40
0.000516344,8.60574e-06,0.0343244,0.237099,5.03741,1,2.46,45,2.46,0,41
0.000522475,8.70791e-06,0.0345021,0.23697,5.03669,1,2.52,45,2.52,0,42
0.000528605,8.81009e-06,0.0346798,0.236842,5.03597,1,2.58,45,2.58,0,43
0.000534736,8.91226e-06,0.0348575,0.236714,5.03525,1,2.64,45,2.64,0,44
0.000540866,9.01443e-06,0.0350353,0.236586,5.03453,1,2.7,45,2.7,0,45
0.000546996,9.11661e-06,0.035213,0.236458,5.03381,1,2.76,45,2.76,0,46
0.000553127,9.21878e-06,0.0353907,0.236329,5.03309,1,2.82,45,2.82,0,47
0.000559257,9.32095e-06,0.0355684,0.236201,5.03238,1,2.88,45,2.88,0,48
0.000565388,9.42313e-06,0.0357461,0.236073,5.03166,1,2.94,45,2.94,0,49
0.000571518,9.5253e-06,0.0359239,0.235945,5.03094,1,3,45,3,0,50
0.000579109,9.65181e-06,0.0361327,0.235841,5.03012,1,3.06,45,3.06,0,51
0.000586699,9.77832e-06,0.0363415,0.235737,5.0293,1,3.12,45,3.12,0,52
0.00059429,9.90483e-06,0.0365503,0.235634,5.02848,1,3.18,45,3.18,0,53
0.00060188,1.00313e-05,0.0367592,0.23553,5.02766,1,3.24,45,3.24,0,54
0.000609471,1.01578e-05,0.036968,0.235426,5.02684,1,3.3,45,3.3,0,55
0.000617062,1.02844e-05,0.0371768,0.235323,5.02602,1,3.36,45,3.36,0,56
0.000624652,1.04109e-05,0.0373856,0.235219,5.0252,1,3.42,45,3.42,0,57
0.000632243,1.05374e-05,0.0375945,0.235115,5.02438,1,3.48,45,3.48,0,58
0.000639833,1.06639e-05,0.0378033,0.235012,5.02356,1,3.54,45,3.54,0,59
0.000647424,1.07904e-05,0.0380121,0.234908,5.02274,1,3.6,45,3.6,0,60
0.000655015,1.09169e-05,0.0382209,0.234804,5.02192,1,3.66,45,3.66,0,61
0.000662605,1.10434e-05,0.0384298,0.2347,5.0211,1,3.72,45,3.72,0,62
0.000670196,1.11699e-05,0.0386386,0.234597,5.02028,1,3.78,45,3.78,0,63
0.000677786,1.12964e-05,0.0388474,0.234493,5.01946,1,3.84,45,3.84,0,64
0.000685377,1.14229e-05,0.0390563,0.234389,5.01864,1,3.9,45,3.9,0,65
0.000692968,1.15495e-05,0.0392651,0.234286,5.01782,1,3.96,45,3.96,0,66
0.000701334,1.16889e-05,0.0394923,0.234258,5.01687,1,4.02,45,4.02,0,67
0.000711254,1.18542e-05,0.0397562,0.23438,5.01568,1,4.08,45,4.08,0,68
0.000721173,1.20195e-05,0.04002,0.234503,5.01449,1,4.14,45,4.14,0,69
0.000731092,1.21849e-05,0.0402839,0.234625,5.01329,1,4.2,45,4.2,0,70
0.000741011,1.23502e-05,0.0405478,0.234748,5.0121,1,4.26,45,4.26,0,71
0.00075093,1.25155e-05,0.0408117,0.23487,5.01091,1,4.32,45,4.32,0,72
0.00076085,1.26808e-05,0.0410756,0.234993,5.00972,1,4.38,45,4.38,0,73
0.000770769,1.28461e-05,0.0413395,0.235115,5.00852,1,4.44,45,4.44,0,74
0.000780688,1.30115e-05,0.0416034,0.235238,5.00733,1,4.5,45,4.5,0,75
0.000790607,1.31768e-05,0.0418673,0.235361,5.00614,1,4.56,45,4.56,0,76
0.000800526,1.33421e-05,0.0421312,0.235483,5.00494,1,4.62,45,4.62,0,77
0.000810446,1.35074e-05,0.0423951,0.235606,5.00375,1,4.68,45,4.68,0,78
0.000820365,1.36727e-05,0.042659,0.235728,5.00256,1,4.74,45,4.74,0,79
0.000830284,1.38381e-05,0.0429229,0.235851,5.00137,1,4.8,45,4.8,0,80
0.000840203,1.40034e-05,0.0431868,0.235973,5.00017,1,4.86,45,4.86,0,81
0.000850123,1.41687e-05,0.0434507,0.236096,4.99898,1,4.92,45,4.92,0,82
0.000860042,1.4334e-05,0.0437146,0.236218,4.99779,1,4.98,45,4.98,0,83
0.000871478,1.45246e-05,0.0439956,0.236416,4.99648,1,5.04,45,5.04,0,84
0.000883673,1.47279e-05,0.0442853,0.23665,4.9951,1,5.1,45,5.1,0,85
0.000895868,1.49311e-05,0.0445749,0.236885,4.99373,1,5.16,45,5.16,0,86
