u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,nan,nan,nan,0,0,0.00725,0,0.125,0,0
nan,nan,nan,nan,0,9.80631e-05,0.00734806,0,0.125,1,0
nan,nan,nan,nan,0,0.000196126,0.00744613,0,0.125,2,0
0.803216,4.01608,0.232886,-0.0344093,1,0.000294189,0.00754419,0,0.125,3,0
0.77009,3.85045,0.141963,-0.0801985,1,0.000392252,0.00764225,0,0.125,4,0
0.812322,4.06161,0.0238653,-0.05231,1,0.000490315,0.00774032,0,0.125,5,0
0.814693,4.07347,-0.0735492,-0.0312677,1,0.000588378,0.00783838,0,0.125,6,0
0.888061,4.44031,-0.0121599,-0.00684318,1,0.000686442,0.00793644,0,0.125,7,0
0.959017,4.79508,0.0950863,0.0055685,1,0.000784504,0.0080345,0,0.125,8,0
0.967516,4.83758,0.172956,-0.00932954,1,0.000882567,0.00813257,0,0.125,9,0
0.956577,4.78288,0.155979,-0.0169279,1,0.000980631,0.00823063,0,0.125,10,0
0.939173,4.69587,0.10746,-0.0220986,1,0.00107869,0.00832869,0,0.125,11,0
0.92151,4.60755,0.0369636,-0.0215094,1,0.00117676,0.00842676,0,0.125,12,0
0.903787,4.51893,-0.0386123,-0.0195892,1,0.00127482,0.00852482,0,0.125,13,0
0.885389,4.42695,-0.0974759,-0.0235375,1,0.00137288,0.00862288,0,0.125,14,0
0.866281,4.3314,-0.138704,-0.0336788,1,0.00147094,0.00872094,0,0.125,15,0
0.847172,4.23586,-0.179932,-0.0438202,1,0.00156901,0.00881901,0,0.125,16,0
0.848248,4.24124,-0.180557,-0.0435368,1,0.00166707,0.00891707,0,0.125,17,0
0.858153,4.29076,-0.16342,-0.0386933,1,0.00176513,0.00901513,0,0.125,18,0
0.868058,4.34029,-0.146283,-0.0338499,1,0.0018632,0.0091132,0,0.125,19,0
0.866136,4.33068,-0.134764,-0.034045,1,0.00196126,0.00921126,0,0.125,20,0
0.841919,4.20959,-0.133833,-0.0437381,1,0.00205932,0.00930932,0,0.125,21,0
0.817701,4.08851,-0.132902,-0.0534313,1,0.00215739,0.00940739,0,0.125,22,0
0.793484,3.96742,-0.131972,-0.0631244,1,0.00225545,0.00950545,0,0.125,23,0
0.77214,3.8607,-0.11879,-0.0761345,1,0.00235351,0.00960351,0,0.125,24,0
0.754441,3.7722,-0.0899706,-0.0933879,1,0.00245158,0.00970158,0,0.125,25,0
0.736742,3.68371,-0.0611515,-0.110641,1,0.00254964,0.00979964,0,0.125,26,0
0.719042,3.59521,-0.0323322,-0.127895,1,0.0026477,0.0098977,0,0.125,27,0
0.701343,3.50672,-0.00351309,-0.145148,1,0.00274576,0.00999576,0,0.125,28,0
0.708904,3.54452,0.0283541,-0.142546,1,0.00284383,0.0100938,0,0.125,29,0
0.736495,3.68248,0.0626065,-0.124173,1,0.00294189,0.0101919,0,0.125,30,0
0.764086,3.82043,0.0968587,-0.1058,1,0.00303995,0.01029,0,0.125,31,0
0.791676,3.95838,0.131111,-0.0874273,1,0.00313802,0.010388,0,0.125,32,0
0.819267,4.09633,0.165363,-0.0690544,1,0.00323608,0.0104861,0,0.125,33,0
0.843467,4.21734,0.163906,-0.0556719,1,0.00333414,0.0105841,0,0.125,34,0
0.865807,4.32904,0.143193,-0.0449777,1,0.0034322,0.0106822,0,0.125,35,0
0.888147,4.44074,0.12248,-0.0342834,1,0.00353027,0.0107803,0,0.125,36,0
0.910487,4.55244,0.101767,-0.0235892,1,0.00362833,0.0108783,0,0.125,37,0
0.932827,4.66414,0.0810534,-0.0128949,1,0.00372639,0.0109764,0,0.125,38,0
0.928354,4.64177,0.0429497,-0.0158162,1,0.00382446,0.0110745,0,0.125,39,0
0.914876,4.57438,-0.00116346,-0.0233184,1,0.00392252,0.0111725,0,0.125,40,0
0.901398,4.50699,-0.0452767,-0.0308206,1,0.00402058,0.0112706,0,0.125,41,0
