u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,nan,nan,nan,0,0,0.00725,0,0.125,0,0
nan,nan,nan,nan,0,9.80631e-05,0.00734806,0,0.125,1,0
nan,nan,nan,nan,0,0.000196126,0.00744613,0,0.125,2,0
4.88512e-05,0.000244256,0.00505967,-0.0177758,1,0.000294189,0.00754419,0,0.125,3,0
0.000408581,0.0020429,0.0149636,-0.0529241,1,0.000392252,0.00764225,0,0.125,4,0
nan,nan,nan,nan,0,0.000490315,0.00774032,0,0.125,5,0
0.00202417,0.0101209,0.0411772,-0.146335,1,0.000588378,0.00783838,0,0.125,6,0
0.00295166,0.0147583,0.0511968,-0.182248,1,0.000686442,0.00793644,0,0.125,7,0
0.00385192,0.0192596,0.0588852,-0.210038,1,0.000784504,0.0080345,0,0.125,8,0
0.00471877,0.0235938,0.0647941,-0.231622,1,0.000882567,0.00813257,0,0.125,9,0
0.005479,0.027395,0.0683557,-0.243077,1,0.000980631,0.00823063,0,0.125,10,0
0.00622681,0.031134,0.0716779,-0.253397,1,0.00107869,0.00832869,0,0.125,11,0
0.00688261,0.034413,0.0737539,-0.256025,1,0.00117676,0.00842676,0,0.125,12,0
0.00753841,0.0376921,0.07583,-0.258653,1,0.00127482,0.00852482,0,0.125,13,0
0.00812658,0.0406329,0.0771924,-0.25744,1,0.00137288,0.00862288,0,0.125,14,0
0.00869568,0.0434784,0.0783534,-0.255142,1,0.00147094,0.00872094,0,0.125,15,0
0.00925735,0.0462867,0.0794691,-0.252692,1,0.00156901,0.00881901,0,0.125,16,0
0.00971317,0.0485658,0.0799384,-0.248075,1,0.00166707,0.00891707,0,0.125,17,0
0.010169,0.050845,0.0804078,-0.243457,1,0.00176513,0.00901513,0,0.125,18,0
0.0106248,0.0531241,0.0808771,-0.238839,1,0.0018632,0.0091132,0,0.125,19,0
0.0109339,0.0546694,0.0812729,-0.233498,1,0.00196126,0.00921126,0,0.125,20,0
0.0112081,0.0560405,0.0816512,-0.227984,1,0.00205932,0.00930932,0,0.125,21,0
0.0114823,0.0574116,0.0820295,-0.22247,1,0.00215739,0.00940739,0,0.125,22,0
0.0117496,0.0587478,0.0824208,-0.217015,1,0.00225545,0.00950545,0,0.125,23,0
0.0116984,0.0584922,0.0834052,-0.214212,1,0.00235351,0.00960351,0,0.125,24,0
0.0116473,0.0582366,0.0843895,-0.211409,1,0.00245158,0.00970158,0,0.125,25,0
0.0115962,0.057981,0.0853739,-0.208605,1,0.00254964,0.00979964,0,0.125,26,0
0.0115451,0.0577254,0.0863583,-0.205802,1,0.0026477,0.0098977,0,0.125,27,0
0.0113973,0.0569863,0.087455,-0.203751,1,0.00274576,0.00999576,0,0.125,28,0
0.0110473,0.0552366,0.0887864,-0.203272,1,0.00284383,0.0100938,0,0.125,29,0
0.0106974,0.0534868,0.0901179,-0.202794,1,0.00294189,0.0101919,0,0.125,30,0
0.0103474,0.0517371,0.0914493,-0.202315,1,0.00303995,0.01029,0,0.125,31,0
0.00999746,0.0499873,0.0927807,-0.201836,1,0.00313802,0.010388,0,0.125,32,0
0.00944155,0.0472078,0.0939747,-0.201881,1,0.00323608,0.0104861,0,0.125,33,0
0.00876037,0.0438018,0.0950847,-0.202243,1,0.00333414,0.0105841,0,0.125,34,0
0.00807918,0.0403959,0.0961948,-0.202606,1,0.0034322,0.0106822,0,0.125,35,0
0.00739799,0.03699,0.0973049,-0.202969,1,0.00353027,0.0107803,0,0.125,36,0
0.00671681,0.0335841,0.0984149,-0.203332,1,0.00362833,0.0108783,0,0.125,37,0
0.00579233,0.0289616,0.0986223,-0.203329,1,0.00372639,0.0109764,0,0.125,38,0
0.00484804,0.0242402,0.0987562,-0.203298,1,0.00382446,0.0110745,0,0.125,39,0
0.00390376,0.0195188,0.09889,-0.203266,1,0.00392252,0.0111725,0,0.125,40,0
