U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,nan,nan,0,0,0.0574499,-0.0304881,0.125,0,0
5.16731,0.170661,0.0138133,1,6.09905e-05,0.0574499,-0.0304271,0.125,1,0
5.16712,0.170765,0.0138364,1,0.000121983,0.0574499,-0.0303661,0.125,2,0
5.16692,0.170868,0.0138595,1,0.000182973,0.0574499,-0.0303051,0.125,3,0
5.16673,0.170972,0.0138826,1,0.000243966,0.0574499,-0.0302441,0.125,4,0
5.16653,0.171075,0.0139057,1,0.000304956,0.0574499,-0.0301831,0.125,5,0
5.16634,0.171179,0.0139288,1,0.000365948,0.0574499,-0.0301222,0.125,6,0
5.16614,0.171282,0.0139519,1,0.000426939,0.0574499,-0.0300612,0.125,7,0
5.16595,0.171386,0.013975,1,0.000487931,0.0574499,-0.0300002,0.125,8,0
5.16575,0.171489,0.0139981,1,0.000548922,0.0574499,-0.0299392,0.125,9,0
5.16556,0.171593,0.0140212,1,0.000609912,0.0574499,-0.0298782,0.125,10,0
5.16537,0.171696,0.0140443,1,0.000670904,0.0574499,-0.0298172,0.125,11,0
5.16517,0.1718,0.0140674,1,0.000731895,0.0574499,-0.0297562,0.125,12,0
5.16498,0.171903,0.0140905,1,0.000792887,0.0574499,-0.0296952,0.125,13,0
5.16478,0.172007,0.0141136,1,0.000853878,0.0574499,-0.0296342,0.125,14,0
5.16459,0.17211,0.0141367,1,0.00091487,0.0574499,-0.0295732,0.125,15,0
5.16439,0.172214,0.0141598,1,0.00097586,0.0574499,-0.0295122,0.125,16,0
5.1642,0.172317,0.0141829,1,0.00103685,0.0574499,-0.0294512,0.125,17,0
5.164,0.172421,0.014206,1,0.00109784,0.0574499,-0.0293903,0.125,18,0
5.16381,0.172524,0.0142291,1,0.00115884,0.0574499,-0.0293293,0.125,19,0
5.16362,0.172628,0.0142522,1,0.00121983,0.0574499,-0.0292683,0.125,20,0
5.16342,0.172731,0.0142753,1,0.00128082,0.0574499,-0.0292073,0.125,21,0
5.16323,0.172835,0.0142984,1,0.00134181,0.0574499,-0.0291463,0.125,22,0
5.16303,0.172938,0.0143215,1,0.0014028,0.0574499,-0.0290853,0.125,23,0
5.16275,0.173079,0.0143614,1,0.00146379,0.0574499,-0.0290243,0.125,24,0
5.16234,0.173275,0.0144264,1,0.00152478,0.0574499,-0.0289633,0.125,25,0
5.16192,0.173472,0.0144914,1,0.00158577,0.0574499,-0.0289023,0.125,26,0
5.16151,0.173668,0.0145564,1,0.00164676,0.0574499,-0.0288413,0.125,27,0
5.16109,0.173865,0.0146213,1,0.00170776,0.0574499,-0.0287803,0.125,28,0
5.16068,0.174061,0.0146863,1,0.00176875,0.0574499,-0.0287194,0.125,29,0
5.16026,0.174257,0.0147513,1,0.00182974,0.0574499,-0.0286584,0.125,30,0
5.15985,0.174454,0.0148163,1,0.00189073,0.0574499,-0.0285974,0.125,31,0
5.15944,0.17465,0.0148813,1,0.00195172,0.0574499,-0.0285364,0.125,32,0
5.15902,0.174847,0.0149462,1,0.00201271,0.0574499,-0.0284754,0.125,33,0
5.15861,0.175043,0.0150112,1,0.0020737,0.0574499,-0.0284144,0.125,34,0
5.15819,0.175239,0.0150762,1,0.0021347,0.0574499,-0.0283534,0.125,35,0
5.15778,0.175436,0.0151412,1,0.00219569,0.0574499,-0.0282924,0.125,36,0
5.15736,0.175632,0.0152062,1,0.00225668,0.0574499,-0.0282314,0.125,37,0
5.15695,0.175829,0.0152711,1,0.00231767,0.0574499,-0.0281704,0.125,38,0
5.15653,0.176025,0.0153361,1,0.00237866,0.0574499,-0.0281094,0.125,39,0
5.15612,0.176222,0.0154011,1,0.00243965,0.0574499,-0.0280484,0.125,40,0
5.15571,0.176418,0.0154661,1,0.00250064,0.0574499,-0.0279875,0.125,41,0
5.15529,0.176614,0.015531,1,0.00256163,0.0574499,-0.0279265,0.125,42,0
5.15488,0.176811,0.015596,1,0.00262263,0.0574499,-0.0278655,0.125,43,0
5.15446,0.177007,0.015661,1,0.00268362,0.0574499,-0.0278045,0.125,44,0
5.15405,0.177204,0.015726,1,0.00274461,0.0574499,-0.0277435,0.125,45,0
5.15363,0.1774,0.015791,1,0.0028056,0.0574499,-0.0276825,0.125,46,0
5.15322,0.177596,0.0158559,1,0.00286659,0.0574499,-0.0276215,0.125,47,0
5.15281,0.177793,0.0159209,1,0.00292758,0.0574499,-0.0275605,0.125,48,0
5.15233,0.177994,0.0160134,1,0.00298857,0.0574499,-0.0274995,0.125,49,0
5.15181,0.178198,0.0161225,1,0.00304957,0.0574499,-0.0274385,0.125,50,0
5.15129,0.178401,0.0162316,1,0.00311056,0.0574499,-0.0273775,0.125,51,0
5.15077,0.178605,0.0163407,1,0.00317155,0.0574499,-0.0273166,0.125,52,0
5.15025,0.178809,0.0164498,1,0.00323254,0.0574499,-0.0272556,0.125,53,0
5.14973,0.179012,0.0165589,1,0.00329353,0.0574499,-0.0271946,0.125,54,0
5.14921,0.179216,0.016668,1,0.00335452,0.0574499,-0.0271336,0.125,55,0
5.14869,0.17942,0.0167771,1,0.00341551,0.0574499,-0.0270726,0.125,56,0
5.14817,0.179624,0.0168862,1,0.0034765,0.0574499,-0.0270116,0.125,57,0
5.14765,0.179827,0.0169953,1,0.00353749,0.0574499,-0.0269506,0.125,58,0
5.14713,0.180031,0.0171044,1,0.00359849,0.0574499,-0.0268896,0.125,59,0
5.14661,0.180235,0.0172135,1,0.00365948,0.0574499,-0.0268286,0.125,60,0
5.14609,0.180439,0.0173226,1,0.00372047,0.0574499,-0.0267676,0.125,61,0
5.14557,0.180642,0.0174317,1,0.00378146,0.0574499,-0.0267066,0.125,62,0
5.14505,0.180846,0.0175408,1,0.00384245,0.0574499,-0.0266456,0.125,63,0
5.14453,0.18105,0.0176499,1,0.00390344,0.0574499,-0.0265847,0.125,64,0
5.14401,0.181254,0.017759,1,0.00396444,0.0574499,-0.0265237,0.125,65,0
5.14349,0.181457,0.0178681,1,0.00402543,0.0574499,-0.0264627,0.125,66,0
5.14297,0.181661,0.0179772,1,0.00408642,0.0574499,-0.0264017,0.125,67,0
5.14245,0.181865,0.0180863,1,0.00414741,0.0574499,-0.0263407,0.125,68,0
5.14193,0.182068,0.0181953,1,0.0042084,0.0574499,-0.0262797,0.125,69,0
5.14141,0.182272,0.0183044,1,0.00426939,0.0574499,-0.0262187,0.125,70,0
5.14089,0.182476,0.0184135,1,0.00433038,0.0574499,-0.0261577,0.125,71,0
