k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,0,0,0.057449,-0.0304881,0.125,0,0
0.00164255,1,6.09905e-05,0.057449,-0.0304271,0.125,1,0
0.00165571,1,0.000121983,0.057449,-0.0303661,0.125,2,0
0.00166888,1,0.000182973,0.057449,-0.0303051,0.125,3,0
0.00168204,1,0.000243966,0.057449,-0.0302441,0.125,4,0
0.00169521,1,0.000304956,0.057449,-0.0301831,0.125,5,0
0.00170837,1,0.000365948,0.057449,-0.0301222,0.125,6,0
0.00172153,1,0.000426939,0.057449,-0.0300612,0.125,7,0
0.0017347,1,0.000487931,0.057449,-0.0300002,0.125,8,0
0.00174786,1,0.000548922,0.057449,-0.0299392,0.125,9,0
0.00176102,1,0.000609912,0.057449,-0.0298782,0.125,10,0
0.00177419,1,0.000670904,0.057449,-0.0298172,0.125,11,0
0.00178735,1,0.000731895,0.057449,-0.0297562,0.125,12,0
0.00180052,1,0.000792887,0.057449,-0.0296952,0.125,13,0
0.00181368,1,0.000853878,0.057449,-0.0296342,0.125,14,0
0.00182684,1,0.00091487,0.057449,-0.0295732,0.125,15,0
0.00184001,1,0.00097586,0.057449,-0.0295122,0.125,16,0
0.00185317,1,0.00103685,0.057449,-0.0294512,0.125,17,0
0.00186634,1,0.00109784,0.057449,-0.0293903,0.125,18,0
0.0018795,1,0.00115884,0.057449,-0.0293293,0.125,19,0
0.00189266,1,0.00121983,0.057449,-0.0292683,0.125,20,0
0.00190583,1,0.00128082,0.057449,-0.0292073,0.125,21,0
0.00191899,1,0.00134181,0.057449,-0.0291463,0.125,22,0
0.00193216,1,0.0014028,0.057449,-0.0290853,0.125,23,0
0.0019528,1,0.00146379,0.057449,-0.0290243,0.125,24,0
0.00198459,1,0.00152478,0.0574491,-0.0289633,0.125,25,0
0.00201638,1,0.00158577,0.0574491,-0.0289023,0.125,26,0
0.00204817,1,0.00164676,0.0574491,-0.0288413,0.125,27,0
0.00207996,1,0.00170776,0.0574491,-0.0287803,0.125,28,0
0.00211175,1,0.00176875,0.0574491,-0.0287194,0.125,29,0
0.00214354,1,0.00182974,0.0574491,-0.0286584,0.125,30,0
0.00217533,1,0.00189073,0.0574491,-0.0285974,0.125,31,0
0.00220712,1,0.00195172,0.0574491,-0.0285364,0.125,32,0
0.00223891,1,0.00201271,0.0574491,-0.0284754,0.125,33,0
0.0022707,1,0.0020737,0.0574491,-0.0284144,0.125,34,0
0.00230249,1,0.0021347,0.0574491,-0.0283534,0.125,35,0
0.00233428,1,0.00219569,0.0574491,-0.0282924,0.125,36,0
0.00236608,1,0.00225668,0.0574491,-0.0282314,0.125,37,0
0.00239787,1,0.00231767,0.0574491,-0.0281704,0.125,38,0
0.00242966,1,0.00237866,0.0574491,-0.0281094,0.125,39,0
0.00246145,1,0.00243965,0.0574491,-0.0280484,0.125,40,0
0.00249324,1,0.00250064,0.0574491,-0.0279875,0.125,41,0
0.00252503,1,0.00256163,0.0574491,-0.0279265,0.125,42,0
0.00255682,1,0.00262263,0.0574491,-0.0278655,0.125,43,0
0.00258861,1,0.00268362,0.0574491,-0.0278045,0.125,44,0
0.0026204,1,0.00274461,0.0574491,-0.0277435,0.125,45,0
0.00265219,1,0.0028056,0.0574491,-0.0276825,0.125,46,0
0.00268398,1,0.00286659,0.0574491,-0.0276215,0.125,47,0
0.00271577,1,0.00292758,0.0574491,-0.0275605,0.125,48,0
0.0027613,1,0.00298857,0.0574491,-0.0274995,0.125,49,0
0.0028151,1,0.00304957,0.0574491,-0.0274385,0.125,50,0
0.0028689,1,0.00311056,0.0574491,-0.0273775,0.125,51,0
0.0029227,1,0.00317155,0.0574491,-0.0273166,0.125,52,0
0.0029765,1,0.00323254,0.0574491,-0.0272556,0.125,53,0
0.0030303,1,0.00329353,0.0574491,-0.0271946,0.125,54,0
0.0030841,1,0.00335452,0.0574491,-0.0271336,0.125,55,0
0.0031379,1,0.00341551,0.0574491,-0.0270726,0.125,56,0
0.0031917,1,0.0034765,0.0574491,-0.0270116,0.125,57,0
0.0032455,1,0.00353749,0.0574491,-0.0269506,0.125,58,0
0.0032993,1,0.00359849,0.0574491,-0.0268896,0.125,59,0
0.00335309,1,0.00365948,0.0574491,-0.0268286,0.125,60,0
0.00340689,1,0.00372047,0.0574491,-0.0267676,0.125,61,0
0.00346069,1,0.00378146,0.0574491,-0.0267066,0.125,62,0
0.00351449,1,0.00384245,0.0574491,-0.0266456,0.125,63,0
0.00356829,1,0.00390344,0.0574491,-0.0265847,0.125,64,0
0.00362209,1,0.00396444,0.0574491,-0.0265237,0.125,65,0
0.00367589,1,0.00402543,0.0574491,-0.0264627,0.125,66,0
0.00372969,1,0.00408642,0.0574491,-0.0264017,0.125,67,0
0.00378349,1,0.00414741,0.0574491,-0.0263407,0.125,68,0
0.00383729,1,0.0042084,0.0574491,-0.0262797,0.125,69,0
0.00389109,1,0.00426939,0.0574491,-0.0262187,0.125,70,0
0.00394489,1,0.00433038,0.0574491,-0.0261577,0.125,71,0
0.00399869,1,0.00439137,0.0574491,-0.0260967,0.125,72,0
0.00406247,1,0.00445236,0.0574491,-0.0260357,0.125,73,0
0.00413187,1,0.00451336,0.0574491,-0.0259747,0.125,74,0
0.00420126,1,0.00457435,0.0574492,-0.0259138,0.125,75,0
0.00427065,1,0.00463534,0.0574492,-0.0258528,0.125,76,0
0.00434004,1,0.00469633,0.0574492,-0.0257918,0.125,77,0
0.00440943,1,0.00475732,0.0574492,-0.0257308,0.125,78,0
0.00447882,1,0.00481831,0.0574492,-0.0256698,0.125,79,0
0.00454821,1,0.0048793,0.0574492,-0.0256088,0.125,80,0
0.00461761,1,0.0049403,0.0574492,-0.0255478,0.125,81,0
0.004687,1,0.00500129,0.0574492,-0.0254868,0.125,82,0
0.00475639,1,0.00506228,0.0574492,-0.0254258,0.125,83,0
