u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,nan,nan,nan,0,0,0.00725,0,0.125,0,0
nan,nan,nan,nan,0,9.80631e-05,0.00734806,0,0.125,1,0
nan,nan,nan,nan,0,0.000196126,0.00744613,0,0.125,2,0
-0.000107207,-0.000536035,0.00542659,0.00716279,1,0.000294189,0.00754419,0,0.125,3,0
-0.000711682,-0.00355841,0.0127785,0.0160464,1,0.000392252,0.00764225,0,0.125,4,0
-0.00203274,-0.0101637,0.0201704,0.0250665,1,0.000490315,0.00774032,0,0.125,5,0
-0.00378946,-0.0189473,0.0239103,0.031332,1,0.000588378,0.00783838,0,0.125,6,0
-0.00568948,-0.0284474,0.0251769,0.0364005,1,0.000686442,0.00793644,0,0.125,7,0
-0.00761102,-0.0380551,0.0251302,0.0407908,1,0.000784504,0.0080345,0,0.125,8,0
-0.00951246,-0.0475623,0.02414,0.0445847,1,0.000882567,0.00813257,0,0.125,9,0
-0.011316,-0.05658,0.022773,0.0475348,1,0.000980631,0.00823063,0,0.125,10,0
-0.0130869,-0.0654347,0.0212809,0.0502043,1,0.00107869,0.00832869,0,0.125,11,0
-0.0146942,-0.0734711,0.0197534,0.0518759,1,0.00117676,0.00842676,0,0.125,12,0
-0.0162637,-0.0813185,0.0182177,0.0533169,1,0.00127482,0.00852482,0,0.125,13,0
-0.017727,-0.0886349,0.0166488,0.0542242,1,0.00137288,0.00862288,0,0.125,14,0
-0.0190782,-0.0953913,0.015045,0.0545683,1,0.00147094,0.00872094,0,0.125,15,0
-0.0204295,-0.102148,0.0134411,0.0549123,1,0.00156901,0.00881901,0,0.125,16,0
-0.0216382,-0.108191,0.0117423,0.054611,1,0.00166707,0.00891707,0,0.125,17,0
-0.0227846,-0.113923,0.0100021,0.0540274,1,0.00176513,0.00901513,0,0.125,18,0
-0.023931,-0.119655,0.00826187,0.0534438,1,0.0018632,0.0091132,0,0.125,19,0
-0.0250936,-0.125468,0.00638724,0.0524203,1,0.00196126,0.00921126,0,0.125,20,0
-0.0262867,-0.131433,0.00425926,0.0505674,1,0.00205932,0.00930932,0,0.125,21,0
-0.0274798,-0.137399,0.00213125,0.0487145,1,0.00215739,0.00940739,0,0.125,22,0
-0.0286729,-0.143365,3.26072e-06,0.0468616,1,0.00225545,0.00950545,0,0.125,23,0
-0.0297871,-0.148936,-0.00201295,0.0445505,1,0.00235351,0.00960351,0,0.125,24,0
-0.0308011,-0.154005,-0.00388588,0.0416553,1,0.00245158,0.00970158,0,0.125,25,0
-0.031815,-0.159075,-0.00575879,0.0387601,1,0.00254964,0.00979964,0,0.125,26,0
-0.032829,-0.164145,-0.00763173,0.0358649,1,0.0026477,0.0098977,0,0.125,27,0
-0.0338429,-0.169215,-0.00950464,0.0329696,1,0.00274576,0.00999576,0,0.125,28,0
-0.0347922,-0.173961,-0.0111208,0.0298531,1,0.00284383,0.0100938,0,0.125,29,0
-0.0356904,-0.178452,-0.0125326,0.0265604,1,0.00294189,0.0101919,0,0.125,30,0
-0.0365886,-0.182943,-0.0139445,0.0232679,1,0.00303995,0.01029,0,0.125,31,0
-0.0374868,-0.187434,-0.0153563,0.0199753,1,0.00313802,0.010388,0,0.125,32,0
-0.038385,-0.191925,-0.0167681,0.0166827,1,0.00323608,0.0104861,0,0.125,33,0
-0.0392671,-0.196336,-0.0179229,0.0133271,1,0.00333414,0.0105841,0,0.125,34,0
-0.0401408,-0.200704,-0.0189382,0.00993707,1,0.0034322,0.0106822,0,0.125,35,0
-0.0410145,-0.205073,-0.0199536,0.00654698,1,0.00353027,0.0107803,0,0.125,36,0
-0.0418882,-0.209441,-0.0209689,0.00315693,1,0.00362833,0.0108783,0,0.125,37,0
-0.0427619,-0.213809,-0.0219843,-0.000233128,1,0.00372639,0.0109764,0,0.125,38,0
-0.0436079,-0.21804,-0.0226414,-0.00342571,1,0.00382446,0.0110745,0,0.125,39,0
