u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,nan,nan,nan,0,0,0.00725,0,0.125,0,0
nan,nan,nan,nan,0,9.80631e-05,0.00734806,0,0.125,1,0
nan,nan,nan,nan,0,0.000196126,0.00744613,0,0.125,2,0
-0.000103674,-0.000518372,-0.00241813,0.0175134,1,0.000294189,0.00754419,0,0.125,3,0
-0.000606638,-0.00303319,-0.00493755,0.0413395,1,0.000392252,0.00764225,0,0.125,4,0
-0.00156068,-0.00780339,-0.00715767,0.0636252,1,0.000490315,0.00774032,0,0.125,5,0
-0.002765,-0.013825,-0.00866509,0.0798846,1,0.000588378,0.00783838,0,0.125,6,0
-0.00407988,-0.0203994,-0.00961251,0.0925557,1,0.000686442,0.00793644,0,0.125,7,0
-0.0054607,-0.0273035,-0.00967687,0.102276,1,0.000784504,0.0080345,0,0.125,8,0
-0.00683915,-0.0341957,-0.00941718,0.110818,1,0.000882567,0.00813257,0,0.125,9,0
-0.00821505,-0.0410752,-0.0088064,0.118083,1,0.000980631,0.00823063,0,0.125,10,0
-0.00954637,-0.0477318,-0.00798771,0.123925,1,0.00107869,0.00832869,0,0.125,11,0
-0.0108439,-0.0542195,-0.00701137,0.128686,1,0.00117676,0.00842676,0,0.125,12,0
-0.0121073,-0.0605364,-0.0059385,0.132788,1,0.00127482,0.00852482,0,0.125,13,0
-0.0132807,-0.0664034,-0.00461158,0.135153,1,0.00137288,0.00862288,0,0.125,14,0
-0.0144541,-0.0722705,-0.00328466,0.137517,1,0.00147094,0.00872094,0,0.125,15,0
-0.0155586,-0.0777932,-0.00172649,0.138859,1,0.00156901,0.00881901,0,0.125,16,0
-0.0166004,-0.0830021,4.23742e-05,0.139269,1,0.00166707,0.00891707,0,0.125,17,0
-0.0176422,-0.0882109,0.00181124,0.139679,1,0.00176513,0.00901513,0,0.125,18,0
-0.0186495,-0.0932476,0.00355237,0.139813,1,0.0018632,0.0091132,0,0.125,19,0
-0.0195351,-0.0976757,0.00519546,0.138972,1,0.00196126,0.00921126,0,0.125,20,0
-0.0204208,-0.102104,0.00683854,0.138131,1,0.00205932,0.00930932,0,0.125,21,0
-0.0213064,-0.106532,0.00848164,0.137291,1,0.00215739,0.00940739,0,0.125,22,0
-0.0222284,-0.111142,0.0100498,0.136086,1,0.00225545,0.00950545,0,0.125,23,0
-0.0232554,-0.116277,0.0114019,0.133829,1,0.00235351,0.00960351,0,0.125,24,0
-0.0242825,-0.121412,0.012754,0.131573,1,0.00245158,0.00970158,0,0.125,25,0
-0.0253095,-0.126547,0.0141061,0.129317,1,0.00254964,0.00979964,0,0.125,26,0
-0.0262213,-0.131106,0.0149029,0.126771,1,0.0026477,0.0098977,0,0.125,27,0
-0.0270432,-0.135216,0.0152664,0.123997,1,0.00274576,0.00999576,0,0.125,28,0
-0.0278652,-0.139326,0.0156298,0.121223,1,0.00284383,0.0100938,0,0.125,29,0
-0.0286871,-0.143436,0.0159933,0.118449,1,0.00294189,0.0101919,0,0.125,30,0
-0.0295091,-0.147545,0.0163568,0.115676,1,0.00303995,0.01029,0,0.125,31,0
-0.0303479,-0.15174,0.0165698,0.112744,1,0.00313802,0.010388,0,0.125,32,0
-0.0312465,-0.156233,0.0162598,0.109254,1,0.00323608,0.0104861,0,0.125,33,0
-0.0321452,-0.160726,0.0159497,0.105765,1,0.00333414,0.0105841,0,0.125,34,0
-0.0330438,-0.165219,0.0156397,0.102275,1,0.0034322,0.0106822,0,0.125,35,0
-0.0339424,-0.169712,0.0153296,0.0987852,1,0.00353027,0.0107803,0,0.125,36,0
-0.0348411,-0.174205,0.0150196,0.0952954,1,0.00362833,0.0108783,0,0.125,37,0
-0.0357978,-0.178989,0.0144734,0.0918809,1,0.00372639,0.0109764,0,0.125,38,0
-0.0367678,-0.183839,0.0138697,0.0884806,1,0.00382446,0.0110745,0,0.125,39,0
