k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
nan,0,0,0.0075,0,0.125,0,0
0.00337823,1,9.78131e-05,0.00759781,0,0.125,1,0
0.00879486,1,0.000195626,0.00769563,0,0.125,2,0
0.0133028,1,0.000293439,0.00779344,0,0.125,3,0
0.0161186,1,0.000391252,0.00789125,0,0.125,4,0
0.0179876,1,0.000489065,0.00798906,0,0.125,5,0
0.0193096,1,0.000586878,0.00808688,0,0.125,6,0
0.019876,1,0.000684691,0.00818469,0,0.125,7,0
0.0204088,1,0.000782504,0.0082825,0,0.125,8,0
0.0206333,1,0.000880317,0.00838032,0,0.125,9,0
0.0208578,1,0.00097813,0.00847813,0,0.125,10,0
0.0210022,1,0.00107594,0.00857594,0,0.125,11,0
0.0211265,1,0.00117376,0.00867376,0,0.125,12,0
0.0212518,1,0.00127157,0.00877157,0,0.125,13,0
0.0214018,1,0.00136938,0.00886938,0,0.125,14,0
0.0215518,1,0.00146719,0.00896719,0,0.125,15,0
0.0217018,1,0.00156501,0.00906501,0,0.125,16,0
0.0218902,1,0.00166282,0.00916282,0,0.125,17,0
0.022093,1,0.00176063,0.00926063,0,0.125,18,0
0.0222958,1,0.00185845,0.00935845,0,0.125,19,0
0.0224986,1,0.00195626,0.00945626,0,0.125,20,0
0.0227947,1,0.00205407,0.00955407,0,0.125,21,0
0.0231212,1,0.00215189,0.00965189,0,0.125,22,0
0.0234476,1,0.0022497,0.0097497,0,0.125,23,0
0.0237743,1,0.00234751,0.00984751,0,0.125,24,0
0.0241044,1,0.00244532,0.00994532,0,0.125,25,0
0.0244345,1,0.00254314,0.0100431,0,0.125,26,0
0.0247647,1,0.00264095,0.010141,0,0.125,27,0
0.0250948,1,0.00273876,0.0102388,0,0.125,28,0
0.025425,1,0.00283658,0.0103366,0,0.125,29,0
0.0258145,1,0.00293439,0.0104344,0,0.125,30,0
0.0262297,1,0.0030322,0.0105322,0,0.125,31,0
0.026645,1,0.00313002,0.01063,0,0.125,32,0
0.0270602,1,0.00322783,0.0107278,0,0.125,33,0
0.0274755,1,0.00332564,0.0108256,0,0.125,34,0
0.0279052,1,0.00342345,0.0109235,0,0.125,35,0
0.0283726,1,0.00352127,0.0110213,0,0.125,36,0
0.02884,1,0.00361908,0.0111191,0,0.125,37,0
0.0293074,1,0.00371689,0.0112169,0,0.125,38,0
0.0297748,1,0.00381471,0.0113147,0,0.125,39,0
0.0302422,1,0.00391252,0.0114125,0,0.125,40,0
0.0307384,1,0.00401033,0.0115103,0,0.125,41,0
0.0312423,1,0.00410815,0.0116081,0,0.125,42,0
0.0317463,1,0.00420596,0.011706,0,0.125,43,0
0.0322503,1,0.00430377,0.0118038,0,0.125,44,0
