"Result",U:0,"U:1","U:2","vtkValidPointMask","arc_length",Points:0,"Points:1","Points:2"
nan,nan,nan,nan,0,0,-0.0080956,0,0.125
nan,nan,nan,nan,0,0.00011333,-0.0079823,0,0.125
nan,nan,nan,nan,0,0.00022666,-0.007869,0,0.125
nan,nan,nan,nan,0,0.00033999,-0.0077556,0,0.125
nan,nan,nan,nan,0,0.00045332,-0.0076423,0,0.125
0.0022896,0.011448,-0.00068316,-0.00015595,1,0.00056665,-0.007529,0,0.125
nan,nan,nan,nan,0,0.00067998,-0.0074157,0,0.125
nan,nan,nan,nan,0,0.00079331,-0.0073023,0,0.125
nan,nan,nan,nan,0,0.00090664,-0.007189,0,0.125
nan,nan,nan,nan,0,0.00102,-0.0070757,0,0.125
nan,nan,nan,nan,0,0.0011333,-0.0069623,0,0.125
nan,nan,nan,nan,0,0.0012466,-0.006849,0,0.125
nan,nan,nan,nan,0,0.00136,-0.0067357,0,0.125
nan,nan,nan,nan,0,0.0014733,-0.0066223,0,0.125
nan,nan,nan,nan,0,0.0015866,-0.006509,0,0.125
nan,nan,nan,nan,0,0.0017,-0.0063957,0,0.125
nan,nan,nan,nan,0,0.0018133,-0.0062823,0,0.125
nan,nan,nan,nan,0,0.0019266,-0.006169,0,0.125
nan,nan,nan,nan,0,0.00204,-0.0060557,0,0.125
nan,nan,nan,nan,0,0.0021533,-0.0059424,0,0.125
nan,nan,nan,nan,0,0.0022666,-0.005829,0,0.125
nan,nan,nan,nan,0,0.0023799,-0.0057157,0,0.125
nan,nan,nan,nan,0,0.0024933,-0.0056024,0,0.125
nan,nan,nan,nan,0,0.0026066,-0.005489,0,0.125
nan,nan,nan,nan,0,0.0027199,-0.0053757,0,0.125
nan,nan,nan,nan,0,0.0028333,-0.0052624,0,0.125
nan,nan,nan,nan,0,0.0029466,-0.005149,0,0.125
nan,nan,nan,nan,0,0.0030599,-0.0050357,0,0.125
nan,nan,nan,nan,0,0.0031733,-0.0049224,0,0.125
nan,nan,nan,nan,0,0.0032866,-0.0048091,0,0.125
nan,nan,nan,nan,0,0.0033999,-0.0046957,0,0.125
nan,nan,nan,nan,0,0.0035132,-0.0045824,0,0.125
nan,nan,nan,nan,0,0.0036266,-0.0044691,0,0.125
nan,nan,nan,nan,0,0.0037399,-0.0043557,0,0.125
nan,nan,nan,nan,0,0.0038532,-0.0042424,0,0.125
nan,nan,nan,nan,0,0.0039666,-0.0041291,0,0.125
nan,nan,nan,nan,0,0.0040799,-0.0040157,0,0.125
