x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq	absRelsingvalMsingvalRND	scaledWRTSigma1
0	9155.59	0.149301	0.355068	9.51655E-14	9.51655E-14
1	8992.72	0.146645	0.342548	8.63708E-14	8.483430094908943E-14
2	2552.77	0.0416281	0.0276034	3.45849E-06	9.642960701468846E-07
3	2526.48	0.0411995	0.0270379	3.70706E-06	1.0229604521737967E-06
4	2229.05	0.0363492	0.0210465	3.60195E-05	8.76939879438182E-06
5	2098.9	0.0342268	0.0186605	0.000132379	3.034748298537853E-05
6	1918.18	0.0312798	0.0155853	0.000175672	3.680474360921897E-05
7	1900.87	0.0309976	0.0153054	0.000197981	4.1104452385449534E-05
8	1833.99	0.0299069	0.0142473	0.000599083	0.0001200039877341746
9	1676.39	0.027337	0.0119039	0.000629698	0.00011529764854890458
10	1633.42	0.0266363	0.0113015	0.00373896	0.0006670555471698115
11	1598.07	0.0260598	0.0108176	0.00537129	0.0009375338620772803
12	1570.38	0.0256083	0.010446	0.00157374	0.00026992991367773826
13	1538.77	0.0250928	0.0100297	0.00506256	0.000850857030883919
14	1495.96	0.0243947	0.00947937	0.00226704	0.00037041788526533646
15	1474.09	0.0240381	0.00920428	0.00908268	0.0014623503533666886
16	1448.26	0.0236168	0.00888444	0.00974923	0.0015421572197373092
17	1401.65	0.0228567	0.0083218	0.0194011	0.002970141676010208
18	1381.82	0.0225333	0.00808798	0.0141996	0.002143079059617819
19	1295.1	0.0211193	0.0071047	0.0276622	0.003912942984038955
20	1262.35	0.0205852	0.00674996	0.0425627	0.0058684248065317725
21	1255.97	0.0204811	0.00668185	0.0316815	0.004346065797616895
22	1243.07	0.0202709	0.00654536	0.0299428	0.004065394769760418
23	1220.83	0.0199081	0.00631317	0.0202767	0.0027037365541423036
24	1215.39	0.0198194	0.00625708	0.019832	0.002632657120849827
25	1155.2	0.0188379	0.00565266	0.0338873	0.004275695197419978
26	1093.78	0.0178364	0.00506758	0.0692381	0.008271601977481731
27	1063.1	0.017336	0.00478724	0.0791167	0.009186590251907222
28	1056.55	0.0172292	0.00472847	0.0763468	0.008810351481637765
29	1034.47	0.0168692	0.00453293	0.0777255	0.008782037659493239
