x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
0	11387.6	0.0189161	0.21146
1	11013.8	0.0182953	0.197807
2	3629.12	0.00602839	0.0214767
3	3417.03	0.00567608	0.0190398
4	3360.85	0.00558277	0.0184189
5	2933.11	0.00487224	0.0140289
6	2771.98	0.00460459	0.0125298
7	2694.33	0.0044756	0.0118377
8	2517.4	0.00418169	0.010334
9	2376.03	0.00394685	0.0092059
10	2363.16	0.00392548	0.00910649
11	2286.6	0.0037983	0.00852597
12	2243.3	0.00372638	0.00820613
13	2160.21	0.00358837	0.00760953
14	2100.05	0.00348843	0.00719158
15	2027.39	0.00336773	0.00670254
16	2008.93	0.00333707	0.00658106
17	1925.41	0.00319833	0.00604522
18	1917.6	0.00318535	0.00599625
19	1898.76	0.00315406	0.00587901
20	1847.42	0.00306878	0.00556538
21	1831.49	0.00304232	0.00546983
22	1777.63	0.00295284	0.00515282
23	1759.86	0.00292332	0.00505032
24	1723.97	0.00286371	0.00484645
25	1692.03	0.00281065	0.0046685
26	1679.79	0.00279032	0.00460123
27	1608.9	0.00267257	0.00422106
28	1603.87	0.00266422	0.00419473
29	1567.17	0.00260324	0.00400492
30	1549.11	0.00257325	0.00391318
31	1526.55	0.00253578	0.00380003
32	1512.59	0.00251258	0.00373082
33	1497.8	0.00248802	0.00365825
34	1482.49	0.00246258	0.00358382
35	1468.62	0.00243954	0.00351707
36	1433.15	0.00238063	0.00334926
37	1417.92	0.00235532	0.00327842
38	1409.32	0.00234104	0.00323878
39	1386.57	0.00230325	0.00313506
40	1379.47	0.00229147	0.00310307
41	1351.17	0.00224444	0.00297702
42	1346.89	0.00223734	0.0029582
43	1327.47	0.00220508	0.0028735
44	1324.63	0.00220036	0.00286121
45	1314.53	0.00218359	0.00281777
46	1302.77	0.00216404	0.00276756
47	1274.81	0.00211761	0.00265006
48	1271.02	0.00211132	0.00263434
49	1257.79	0.00208933	0.00257975
50	1238.1	0.00205663	0.00249965
51	1231.84	0.00204623	0.00247443
52	1226.73	0.00203774	0.00245393
53	1214.36	0.0020172	0.0024047
54	1197.97	0.00198997	0.00234022
55	1181.81	0.00196312	0.0022775
56	1171.95	0.00194674	0.00223964
57	1153.97	0.00191687	0.00217145
58	1146.05	0.00190371	0.00214175
59	1142.76	0.00189825	0.00212948
60	1136.47	0.00188782	0.00210612
61	1130.99	0.0018787	0.00208583
62	1120.07	0.00186056	0.00204575
63	1116.39	0.00185446	0.00203235
64	1107.67	0.00183997	0.00200072
65	1098.87	0.00182536	0.00196907
66	1096.62	0.00182161	0.00196099
67	1083.34	0.00179955	0.00191378
68	1077.1	0.00178918	0.0018918
69	1064.92	0.00176896	0.00184928
70	1060.47	0.00176157	0.00183385
71	1049.39	0.00174315	0.00179571
72	1044.45	0.00173495	0.00177885
73	1032.16	0.00171453	0.00173723
74	1025.5	0.00170347	0.00171489
75	1020.63	0.00169538	0.00169862
76	1013.88	0.00168417	0.00167623
77	1010.22	0.00167808	0.00166415
78	1005.57	0.00167036	0.00164887
79	1002.04	0.00166451	0.00163734
80	984.969	0.00163615	0.00158201
81	980.956	0.00162948	0.00156915
82	974.74	0.00161916	0.00154932
83	964.938	0.00160287	0.00151832
84	961.744	0.00159757	0.00150828
85	960.015	0.0015947	0.00150287
86	954.347	0.00158528	0.00148517
87	940.347	0.00156202	0.00144192
88	937.537	0.00155736	0.00143331
89	935.056	0.00155324	0.00142574
90	929.317	0.0015437	0.00140829
91	925.036	0.00153659	0.00139534
92	914.501	0.00151909	0.00136374
93	909.568	0.0015109	0.00134907
94	905.199	0.00150364	0.00133614
95	898.219	0.00149205	0.00131562
96	891.641	0.00148112	0.00129642
97	884.976	0.00147005	0.00127711
98	884.182	0.00146873	0.00127482
99	878.114	0.00145865	0.00125738
100	872.434	0.00144921	0.00124116
101	870.371	0.00144579	0.0012353
102	865.541	0.00143776	0.00122163
103	861.511	0.00143107	0.00121028
104	857.45	0.00142432	0.0011989
105	855.502	0.00142109	0.00119346
106	846.114	0.00140549	0.00116741
107	839.942	0.00139524	0.00115044
108	837.223	0.00139072	0.001143
109	835.716	0.00138822	0.00113889
