x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
0	11382	0.0278708	0.258973
1	11007.2	0.026953	0.242197
2	3604.33	0.00882582	0.0259695
3	3407.19	0.00834309	0.0232064
4	3331.96	0.00815888	0.022193
5	2903.53	0.00710978	0.0168526
6	2734.81	0.00669666	0.014951
7	2677.74	0.0065569	0.0143335
8	2483.87	0.00608219	0.0123331
9	2341.93	0.00573461	0.0109638
10	2255.52	0.00552302	0.0101697
11	2217.55	0.00543004	0.00983014
12	2081.75	0.00509752	0.00866309
13	2005.88	0.00491174	0.00804312
14	1911.56	0.00468078	0.0073045
15	1892.63	0.00463442	0.00716053
16	1833.64	0.00448998	0.00672115
17	1771.88	0.00433875	0.00627602
18	1756.51	0.0043011	0.00616757
19	1731.6	0.00424013	0.00599393
20	1673.49	0.00409782	0.00559836
21	1658.67	0.00406153	0.00549963
22	1632.21	0.00399675	0.0053256
23	1524.31	0.00373253	0.00464474
24	1519.53	0.00372082	0.00461565
25	1480.59	0.00362546	0.00438209
26	1452.59	0.00355691	0.00421794
27	1430.84	0.00350366	0.00409258
28	1415.26	0.0034655	0.00400393
29	1379.32	0.0033775	0.00380316
30	1352.04	0.00331069	0.0036542
31	1343.07	0.00328874	0.00360589
32	1304.33	0.00319387	0.00340085
33	1296.22	0.00317402	0.00335871
34	1267.51	0.00310372	0.00321158
35	1242.64	0.00304282	0.00308679
36	1220.25	0.002988	0.00297657
37	1201.01	0.00294088	0.00288342
38	1173.74	0.00287409	0.00275395
39	1160.62	0.00284197	0.00269274
40	1136.63	0.00278324	0.00258258
41	1126.61	0.0027587	0.00253725
42	1114.28	0.00272849	0.00248199
43	1106.47	0.00270938	0.00244734
44	1102.76	0.0027003	0.00243097
45	1093.36	0.00267727	0.00238968
46	1069.24	0.00261821	0.0022854
47	1066.94	0.00261259	0.00227561
48	1040.36	0.00254749	0.00216361
49	1035.3	0.00253511	0.00214264
50	1021.06	0.00250023	0.00208407
51	1009.17	0.00247113	0.00203585
52	996.666	0.00244051	0.0019857
53	984.285	0.00241019	0.00193667
54	976.674	0.00239155	0.00190684
55	974.024	0.00238506	0.00189651
56	969.493	0.00237397	0.0018789
57	956.849	0.00234301	0.00183021
58	947.452	0.00232	0.00179444
59	934.721	0.00228882	0.00174654
60	926.87	0.0022696	0.00171732
61	913.818	0.00223764	0.0016693
62	900.972	0.00220618	0.00162269
63	897.684	0.00219813	0.00161087
64	891.741	0.00218358	0.00158962
65	887.935	0.00217426	0.00157607
66	875.359	0.00214347	0.00153175
67	867.916	0.00212524	0.00150581
68	858.914	0.0021032	0.00147473
69	848.012	0.0020765	0.00143754
70	835.715	0.00204639	0.00139615
71	826.524	0.00202388	0.00136561
72	819.752	0.0020073	0.00134332
73	815.764	0.00199754	0.00133028
74	809.216	0.0019815	0.00130901
75	798.354	0.00195491	0.00127411
76	791.983	0.0019393	0.00125385
77	789.641	0.00193357	0.00124645
78	782.843	0.00191692	0.00122508
79	773.674	0.00189447	0.00119655
80	771.643	0.0018895	0.00119028
81	761.775	0.00186533	0.00116003
82	758.146	0.00185645	0.001149
83	753.184	0.0018443	0.00113401
84	752.357	0.00184227	0.00113152
85	737.296	0.00180539	0.00108667
86	735.344	0.00180061	0.00108092
87	725.497	0.0017765	0.00105217
88	722.884	0.0017701	0.0010446
89	718.049	0.00175826	0.00103068
90	708.489	0.00173485	0.00100341
91	705.636	0.00172787	0.00099535
92	701.589	0.00171796	0.000983965
93	696.561	0.00170565	0.000969912
94	688.847	0.00168676	0.000948551
95	686.531	0.00168109	0.000942182
96	679.022	0.0016627	0.000921683
97	673.72	0.00164972	0.000907346
98	665.662	0.00162999	0.000885771
99	663.374	0.00162438	0.000879694
100	658.865	0.00161334	0.000867775
101	655.326	0.00160468	0.000858479
102	649.344	0.00159003	0.000842878
103	648.388	0.00158769	0.000840397
104	643.154	0.00157487	0.000826884
105	641.589	0.00157104	0.000822864
106	636.317	0.00155813	0.000809398
107	633.496	0.00155122	0.000802236
108	629.64	0.00154178	0.000792499
109	626.061	0.00153302	0.000783516
110	622.807	0.00152505	0.000775391
111	617.445	0.00151192	0.000762098
112	615.158	0.00150632	0.000756463
113	613.521	0.00150231	0.000752441
114	611.113	0.00149641	0.000746548
115	600.554	0.00147056	0.000720971
116	598.063	0.00146446	0.000715003
117	592.812	0.0014516	0.000702504
118	590.168	0.00144513	0.000696251
119	588.554	0.00144117	0.000692448
120	585.38	0.0014334	0.000685001
121	582.534	0.00142643	0.000678356
122	575.479	0.00140916	0.000662023
123	573.031	0.00140316	0.000656404
124	570.301	0.00139648	0.000650164
125	565.627	0.00138503	0.000639551
126	565.262	0.00138414	0.000638724
127	562.359	0.00137703	0.000632182
128	560.52	0.00137253	0.000628054
129	554.877	0.00135871	0.000615472
130	550.72	0.00134853	0.000606284
131	547.712	0.00134117	0.00059968
132	545.17	0.00133494	0.000594126
133	539.558	0.0013212	0.000581957
134	538.81	0.00131937	0.000580345
135	533.931	0.00130742	0.000569881
136	529.626	0.00129688	0.00056073
137	527.421	0.00129148	0.00055607
138	525.525	0.00128684	0.000552079
139	522.149	0.00127857	0.000545009
140	518.906	0.00127063	0.000538261
141	516.703	0.00126524	0.0005337
142	513.56	0.00125754	0.000527225
143	510.466	0.00124996	0.000520892
144	508.742	0.00124574	0.000517381
145	507.883	0.00124364	0.000515634
146	502.403	0.00123022	0.000504568
147	501.38	0.00122771	0.000502515
148	500.339	0.00122516	0.000500429
149	496.524	0.00121582	0.000492827
150	492.127	0.00120506	0.000484137
151	490.902	0.00120206	0.00048173
152	488.391	0.00119591	0.000476815
153	481.782	0.00117972	0.000463997
154	481.38	0.00117874	0.000463223
155	480.358	0.00117624	0.00046126
156	478.973	0.00117285	0.000458603
157	476.117	0.00116585	0.000453149
158	473.625	0.00115975	0.000448418
159	471.989	0.00115575	0.000445327
160	470.188	0.00115134	0.000441935
161	468.38	0.00114691	0.000438542
162	465.113	0.00113891	0.000432446
163	461.758	0.00113069	0.00042623
164	460.906	0.00112861	0.000424658
165	458.68	0.00112316	0.000420566
166	456.751	0.00111843	0.000417036
167	454.055	0.00111183	0.000412127
168	452.134	0.00110713	0.000408648
169	450.928	0.00110417	0.000406471
170	448.628	0.00109854	0.000402334
171	445.533	0.00109096	0.000396802
172	445.473	0.00109081	0.000396695
173	441.965	0.00108223	0.000390473
174	439.845	0.00107704	0.000386735
175	439.587	0.0010764	0.000386282
176	435.351	0.00106603	0.000378873
177	432.81	0.00105981	0.000374464
178	430.121	0.00105322	0.000369824
179	429.457	0.0010516	0.000368684
180	426.535	0.00104444	0.000363684
181	426.014	0.00104317	0.000362796
182	423.8	0.00103775	0.000359034
183	422.897	0.00103553	0.000357505
184	422.074	0.00103352	0.000356116
185	420.132	0.00102876	0.000352846
186	418.014	0.00102358	0.000349299
187	415.562	0.00101757	0.000345212
188	414.329	0.00101456	0.000343167
189	412.153	0.00100923	0.000339571
190	411.157	0.00100679	0.000337932
191	410.489	0.00100515	0.000336835
192	408.096	0.000999291	0.000332919
193	405.83	0.000993744	0.000329233
194	402.701	0.000986081	0.000324175
195	400.818	0.00098147	0.00032115
196	400.245	0.000980066	0.000320232
197	397.81	0.000974104	0.000316348
198	396.557	0.000971037	0.000314359
199	395.872	0.000969358	0.000313273
200	395.409	0.000968227	0.000312542
201	391.983	0.000959836	0.000307148
202	390.539	0.0009563	0.000304889
203	389.162	0.000952928	0.000302744
204	387.197	0.000948118	0.000299695
205	385.108	0.000943003	0.00029647
206	383.206	0.000938345	0.000293548
207	382.04	0.000935489	0.000291764
208	381.498	0.000934163	0.000290938
209	379.521	0.00092932	0.000287929
210	378.303	0.00092634	0.000286085
211	376.824	0.000922717	0.000283852
212	374.821	0.000917812	0.000280842
213	374.218	0.000916337	0.00027994
214	373.408	0.000914354	0.000278729
215	372.497	0.000912121	0.00027737
216	370.626	0.000907542	0.000274592
217	369.628	0.000905096	0.000273114
218	369.139	0.0009039	0.000272393
219	368.063	0.000901264	0.000270806
220	364.619	0.000892832	0.000265763
221	363.185	0.00088932	0.000263676
222	362.601	0.000887889	0.000262828
223	360.684	0.000883197	0.000260057
224	360.289	0.000882228	0.000259487
225	358.703	0.000878345	0.000257208
226	356.658	0.000873337	0.000254284
227	356.571	0.000873124	0.00025416
228	354.444	0.000867915	0.000251136
229	352.367	0.00086283	0.000248202
230	350.824	0.000859052	0.000246033
231	349.665	0.000856213	0.000244409
232	348.433	0.000853198	0.000242691
233	347.483	0.000850872	0.00024137
234	345.285	0.000845488	0.000238325
235	344.936	0.000844634	0.000237843
236	343.997	0.000842335	0.000236551
237	342.864	0.00083956	0.000234994
238	342.448	0.000838541	0.000234424
239	339.463	0.000831233	0.000230356
240	338.758	0.000829506	0.0002294
241	337.643	0.000826777	0.000227893
242	336.33	0.000823562	0.000226124
243	336.225	0.000823303	0.000225982
244	333.606	0.00081689	0.000222475
245	332.767	0.000814836	0.000221358
246	331.895	0.000812702	0.0002202
247	330.216	0.000808589	0.000217977
248	328.864	0.000805279	0.000216196
249	328.403	0.00080415	0.00021559
250	326.363	0.000799155	0.00021292
251	325.67	0.000797457	0.000212016
252	325.04	0.000795917	0.000211198
253	323.036	0.000791007	0.0002086
254	321.199	0.000786511	0.000206236
255	320.662	0.000785195	0.000205546
256	320.15	0.000783942	0.000204891
257	318.391	0.000779635	0.000202646
258	317.835	0.000778274	0.000201939
259	315.968	0.000773702	0.000199573
260	315.031	0.000771407	0.000198391
261	313.587	0.00076787	0.000196576
262	312.74	0.000765797	0.000195516
263	311.761	0.0007634	0.000194294
264	311.164	0.000761937	0.000193549
265	310.421	0.000760119	0.000192627
266	309.494	0.000757848	0.000191478
267	308.86	0.000756296	0.000190695
268	307.713	0.000753487	0.00018928
269	307.255	0.000752366	0.000188718
270	306.502	0.000750523	0.000187794
271	305.473	0.000748002	0.000186535
272	304.151	0.000744766	0.000184924
273	303.62	0.000743466	0.000184279
274	302.247	0.000740103	0.000182616
275	300.774	0.000736497	0.000180841
276	300.29	0.000735311	0.000180259
277	299.12	0.000732445	0.000178857
278	298.559	0.000731073	0.000178187
279	297.416	0.000728272	0.000176824
280	296.749	0.00072664	0.000176033
281	295.864	0.000724473	0.000174984
282	294.33	0.000720717	0.000173174
