x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
0	8651.67	0.0278308	0.323269
1	5613.3	0.0180569	0.136082
2	2575.62	0.00828529	0.0286502
3	2145.18	0.00690064	0.0198742
4	1791.1	0.00576163	0.0138548
5	1639.64	0.00527442	0.0116107
6	1544.02	0.00496682	0.010296
7	1502.28	0.00483255	0.00974683
8	1483.54	0.00477226	0.00950516
9	1448.83	0.00466063	0.00906567
10	1418.44	0.00456285	0.00868928
11	1409.97	0.00453561	0.00858585
12	1350.14	0.00434315	0.00787265
13	1327.1	0.00426904	0.00760627
14	1285.62	0.0041356	0.0071382
15	1252.24	0.00402823	0.00677234
16	1224.2	0.00393802	0.00647242
17	1206.15	0.00387995	0.00628294
18	1175.53	0.00378146	0.00596801
19	1140.01	0.00366719	0.00561279
20	1095.9	0.00352531	0.00518689
21	1088.34	0.00350099	0.00511556
22	1064.89	0.00342555	0.00489748
23	1043.19	0.00335573	0.00469987
24	1028.69	0.0033091	0.00457015
25	1015.97	0.00326819	0.00445785
26	983.479	0.00316367	0.00417728
27	966.424	0.00310881	0.00403366
28	952.648	0.00306449	0.00391948
29	934.746	0.00300691	0.00377356
30	919.121	0.00295664	0.00364845
31	899.441	0.00289334	0.00349389
32	883.879	0.00284327	0.00337403
33	880.972	0.00283392	0.00335187
34	869.286	0.00279633	0.00326354
35	863.077	0.00277636	0.00321708
36	841.93	0.00270833	0.00306137
37	832.526	0.00267808	0.00299336
38	825.396	0.00265515	0.00294231
39	819.856	0.00263733	0.00290294
40	810.601	0.00260755	0.00283777
41	803.859	0.00258586	0.00279076
42	795.42	0.00255872	0.00273247
43	787.546	0.00253339	0.00267865
44	777.845	0.00250218	0.00261306
45	772.644	0.00248545	0.00257823
46	763.765	0.00245689	0.00251932
47	757.107	0.00243547	0.00247558
48	754.382	0.00242671	0.0024578
49	748.423	0.00240754	0.00241912
50	742.421	0.00238823	0.00238048
51	734.489	0.00236271	0.00232988
52	724.856	0.00233173	0.00226917
53	721.141	0.00231978	0.00224597
54	713.992	0.00229678	0.00220166
55	709.428	0.0022821	0.0021736
56	706.013	0.00227111	0.00215273
57	702.463	0.00225969	0.00213113
58	694.512	0.00223412	0.00208316
59	687.589	0.00221185	0.00204184
60	682.453	0.00219532	0.00201145
61	673.305	0.0021659	0.00195788
62	668.493	0.00215042	0.00193
63	657.474	0.00211497	0.0018669
64	655.473	0.00210853	0.00185555
65	653.939	0.0021036	0.00184687
66	651.275	0.00209503	0.00183186
67	648.271	0.00208537	0.001815
68	635.749	0.00204509	0.00174556
69	631.103	0.00203014	0.00172014
70	629.801	0.00202595	0.00171305
71	625.719	0.00201282	0.00169092
72	624.031	0.00200739	0.00168181
