t	tSc	energy	enScaled
0	0	0.014988	0.995001
0.005	0.355	0.015056	0.999515
0.01	0.71	0.015124	1.00403
0.015	1.065	0.015133	1.00463
0.02	1.42	0.015195	1.00874
0.025	1.775	0.015162	1.00655
0.03	2.13	0.015122	1.0039
0.035	2.485	0.015128	1.00429
0.04	2.84	0.015024	0.997391
0.045	3.195	0.015128	1.00429
0.05	3.55	0.015115	1.00343
0.055	3.905	0.015184	1.00801
0.06	4.26	0.015184	1.00801
0.065	4.615	0.015127	1.00423
0.07	4.97	0.015119	1.0037
0.075	5.325	0.015145	1.00542
0.08	5.68	0.015091	1.00184
0.085	6.035	0.015045	0.998785
0.09	6.39	0.015053	0.999316
0.095	6.745	0.015034	0.998055
0.1	7.1	0.015163	1.00662
0.105	7.455	0.015131	1.00449
0.11	7.81	0.015116	1.0035
0.115	8.165	0.015192	1.00854
0.12	8.52	0.015221	1.01047
0.125	8.875	0.015183	1.00795
0.13	9.23	0.015103	1.00264
0.135	9.585	0.015103	1.00264
0.14	9.94	0.01513	1.00443
0.145	10.295	0.015023	0.997324
0.15	10.65	0.014985	0.994802
0.155	11.005	0.015021	0.997192
0.16	11.36	0.015028	0.997656
0.165	11.715	0.015007	0.996262
0.17	12.07	0.015075	1.00078
0.175	12.425	0.015166	1.00682
0.18	12.78	0.015232	1.0112
0.185	13.135	0.015273	1.01392
0.19	13.49	0.015244	1.012
0.195	13.845	0.015224	1.01067
0.2	14.2	0.015188	1.00828
0.205	14.555	0.015172	1.00722
0.21	14.91	0.015267	1.01352
0.215	15.265	0.015301	1.01578
0.22	15.62	0.015339	1.0183
0.225	15.975	0.015332	1.01784
0.23	16.33	0.015354	1.0193
0.235	16.685	0.015245	1.01206
0.24	17.04	0.015225	1.01073
0.245	17.395	0.015204	1.00934
0.25	17.75	0.015127	1.00423
0.255	18.105	0.015031	0.997855
0.26	18.46	0.014946	0.992213
0.265	18.815	0.014913	0.990022
0.27	19.17	0.014981	0.994536
0.275	19.525	0.015019	0.997059
0.28	19.88	0.015039	0.998386
0.285	20.235	0.015064	1.00005
0.29	20.59	0.015042	0.998586
0.295	20.945	0.015068	1.00031
0.3	21.3	0.015064	1.00005
0.305	21.655	0.015091	1.00184
0.31	22.01	0.015086	1.00151
0.315	22.365	0.015061	0.999847
0.32	22.72	0.015026	0.997523
0.325	23.075	0.015072	1.00058
0.33	23.43	0.015123	1.00396
0.335	23.785	0.015118	1.00363
0.34	24.14	0.01511	1.0031
0.345	24.495	0.015095	1.0021
0.35	24.85	0.015079	1.00104
0.355	25.205	0.015112	1.00323
0.36	25.56	0.015121	1.00383
0.365	25.915	0.015086	1.00151
0.37	26.27	0.015131	1.00449
0.375	26.625	0.015165	1.00675
0.38	26.98	0.015233	1.01127
0.385	27.335	0.015249	1.01233
0.39	27.69	0.015289	1.01498
0.395	28.045	0.015318	1.01691
0.4	28.4	0.015329	1.01764
0.405	28.755	0.015309	1.01631
0.41	29.11	0.015334	1.01797
0.415	29.465	0.015426	1.02408
0.42	29.82	0.015416	1.02341
0.425	30.175	0.015385	1.02136
0.43	30.53	0.015364	1.01996
0.435	30.885	0.015294	1.01532
0.44	31.24	0.015287	1.01485
0.445	31.595	0.015286	1.01478
0.45	31.95	0.015227	1.01087
0.455	32.305	0.015158	1.00629
0.46	32.66	0.015127	1.00423
0.465	33.015	0.015061	0.999847
0.47	33.37	0.015073	1.00064
0.475	33.725	0.015079	1.00104
0.48	34.08	0.015101	1.0025
0.485	34.435	0.015054	0.999382
0.49	34.79	0.015006	0.996196
0.495	35.145	0.014948	0.992345
0.5	35.5	0.014884	0.988097
0.505	35.855	0.014851	0.985906
0.51	36.21	0.014934	0.991416
0.515	36.565	0.014977	0.994271
0.52	36.92	0.01495	0.992478
0.525	37.275	0.014893	0.988694
0.53	37.63	0.014879	0.987765
0.535	37.985	0.014881	0.987897
0.54	38.34	0.01491	0.989823
0.545	38.695	0.014969	0.993739
0.55	39.05	0.014876	0.987565
0.555	39.405	0.014807	0.982985
0.56	39.76	0.014746	0.978935
0.565	40.115	0.014749	0.979134
0.57	40.47	0.014801	0.982586
0.575	40.825	0.014847	0.98564
0.58	41.18	0.014894	0.98876
0.585	41.535	0.014996	0.995532
0.59	41.89	0.015067	1.00025
0.595	42.245	0.015035	0.998121
0.6	42.6	0.015017	0.996926
0.605	42.955	0.015075	1.00078
0.61	43.31	0.015147	1.00556
0.615	43.665	0.015165	1.00675
0.62	44.02	0.015104	1.0027
