t	energy3D
0	0.014988
0.005	0.015056
0.01	0.015124
0.015	0.015133
0.02	0.015195
0.025	0.015162
0.03	0.015122
0.035	0.015128
0.04	0.015024
0.045	0.015128
0.05	0.015115
0.055	0.015184
0.06	0.015184
0.065	0.015127
0.07	0.015119
0.075	0.015145
0.08	0.015091
0.085	0.015045
0.09	0.015053
0.095	0.015034
0.1	0.015163
0.105	0.015131
0.11	0.015116
0.115	0.015192
0.12	0.015221
0.125	0.015183
0.13	0.015103
0.135	0.015103
0.14	0.01513
0.145	0.015023
0.15	0.014985
0.155	0.015021
0.16	0.015028
0.165	0.015007
0.17	0.015075
0.175	0.015166
0.18	0.015232
0.185	0.015273
0.19	0.015244
0.195	0.015224
0.2	0.015188
0.205	0.015172
0.21	0.015267
0.215	0.015301
0.22	0.015339
0.225	0.015332
0.23	0.015354
0.235	0.015245
0.24	0.015225
0.245	0.015204
0.25	0.015127
0.255	0.015031
0.26	0.014946
0.265	0.014913
0.27	0.014981
0.275	0.015019
0.28	0.015039
0.285	0.015064
0.29	0.015042
0.295	0.015068
0.3	0.015064
0.305	0.015091
0.31	0.015086
0.315	0.015061
0.32	0.015026
0.325	0.015072
0.33	0.015123
0.335	0.015118
0.34	0.01511
0.345	0.015095
0.35	0.015079
0.355	0.015112
0.36	0.015121
0.365	0.015086
0.37	0.015131
0.375	0.015165
0.38	0.015233
0.385	0.015249
0.39	0.015289
0.395	0.015318
0.4	0.015329
0.405	0.015309
0.41	0.015334
0.415	0.015426
0.42	0.015416
0.425	0.015385
0.43	0.015364
0.435	0.015294
0.44	0.015287
0.445	0.015286
0.45	0.015227
0.455	0.015158
0.46	0.015127
0.465	0.015061
0.47	0.015073
0.475	0.015079
0.48	0.015101
0.485	0.015054
0.49	0.015006
0.495	0.014948
0.5	0.014884
0.505	0.014851
0.51	0.014934
0.515	0.014977
0.52	0.01495
0.525	0.014893
0.53	0.014879
0.535	0.014881
0.54	0.01491
0.545	0.014969
0.55	0.014876
0.555	0.014807
0.56	0.014746
0.565	0.014749
0.57	0.014801
0.575	0.014847
0.58	0.014894
0.585	0.014996
0.59	0.015067
0.595	0.015035
0.6	0.015017
0.605	0.015075
0.61	0.015147
0.615	0.015165
0.62	0.015104
0.625	0.015087
0.63	0.015005
0.635	0.014969
0.64	0.01503
0.645	0.0151
0.65	0.015164
0.655	0.015169
0.66	0.015011
0.665	0.01492
0.67	0.014914
0.675	0.014919
0.68	0.014926
0.685	0.01491
0.69	0.014871
0.695	0.014876
0.7	0.014885
0.705	0.014883
0.71	0.014871
0.715	0.014862
0.72	0.014911
0.725	0.014992
0.73	0.015052
0.735	0.015108
0.74	0.015064
0.745	0.014977
0.75	0.015008
0.755	0.015011
0.76	0.014947
0.765	0.014951
0.77	0.014971
0.775	0.014981
0.78	0.015018
0.785	0.015045
0.79	0.015077
0.795	0.015167
0.8	0.015078
0.805	0.015041
0.81	0.015009
0.815	0.015005
0.82	0.014935
0.825	0.01495
0.83	0.01504
0.835	0.015037
0.84	0.014995
0.845	0.014954
0.85	0.014971
0.855	0.015026
0.86	0.015081
0.865	0.015121
0.87	0.015137
0.875	0.015078
0.88	0.015038
0.885	0.015059
0.89	0.01501
0.895	0.014927
0.9	0.014895
0.905	0.014906
0.91	0.01484
0.915	0.014869
0.92	0.014826
0.925	0.014817
0.93	0.014879
0.935	0.014903
0.94	0.014981
0.945	0.014972
0.95	0.01493
0.955	0.014949
0.96	0.014996
0.965	0.014991
0.97	0.015053
0.975	0.015143
0.98	0.015119
0.985	0.015129
0.99	0.015165
0.995	0.015173
