"N","Time","avg(U (0))","avg(U (1))","avg(U (2))","avg(U (Magnitude))","avg(Volume)","avg(energy)","max(U (0))","max(U (1))","max(U (2))","max(U (Magnitude))","max(Volume)","max(energy)","med(U (0))","med(U (1))","med(U (2))","med(U (Magnitude))","med(Volume)","med(energy)","min(U (0))","min(U (1))","min(U (2))","min(U (Magnitude))","min(Volume)","min(energy)","q1(U (0))","q1(U (1))","q1(U (2))","q1(U (Magnitude))","q1(Volume)","q1(energy)","q3(U (0))","q3(U (1))","q3(U (2))","q3(U (Magnitude))","q3(Volume)","q3(energy)","std(U (0))","std(U (1))","std(U (2))","std(U (Magnitude))","std(Volume)","std(energy)","vtkValidPointMask"
1,15.009,1.9275e-05,-3.3556e-29,-2.0824e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3556e-29,-2.0824e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3556e-29,-2.0824e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3556e-29,-2.0824e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3556e-29,-2.0824e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3556e-29,-2.0824e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.024,1.9275e-05,-3.3981e-29,-1.6507e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3981e-29,-1.6507e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3981e-29,-1.6507e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3981e-29,-1.6507e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3981e-29,-1.6507e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3981e-29,-1.6507e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.039,1.9275e-05,-3.4449e-29,-1.2006e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4449e-29,-1.2006e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4449e-29,-1.2006e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4449e-29,-1.2006e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4449e-29,-1.2006e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4449e-29,-1.2006e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.054,1.9275e-05,-3.4942e-29,-7.3831e-10,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4942e-29,-7.3831e-10,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4942e-29,-7.3831e-10,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4942e-29,-7.3831e-10,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4942e-29,-7.3831e-10,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.4942e-29,-7.3831e-10,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
1,15.069,1.9275e-05,-3.5431e-29,-2.766e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5431e-29,-2.766e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5431e-29,-2.766e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5431e-29,-2.766e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5431e-29,-2.766e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5431e-29,-2.766e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.084,1.9275e-05,-3.5876e-29,1.7434e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5876e-29,1.7434e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5876e-29,1.7434e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5876e-29,1.7434e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5876e-29,1.7434e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5876e-29,1.7434e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.099,1.9275e-05,-3.6348e-29,6.2069e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6348e-29,6.2069e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6348e-29,6.2069e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6348e-29,6.2069e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6348e-29,6.2069e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6348e-29,6.2069e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.114,1.9275e-05,-3.6819e-29,1.0618e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6819e-29,1.0618e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6819e-29,1.0618e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6819e-29,1.0618e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6819e-29,1.0618e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6819e-29,1.0618e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.129,1.9275e-05,-3.7257e-29,1.4874e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7257e-29,1.4874e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7257e-29,1.4874e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7257e-29,1.4874e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7257e-29,1.4874e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7257e-29,1.4874e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.144,1.9275e-05,-3.7672e-29,1.8866e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.7672e-29,1.8866e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.7672e-29,1.8866e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.7672e-29,1.8866e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.7672e-29,1.8866e-09,1.9275e-05,0.00016045,2.434e-06,1.9275e-05,-3.7672e-29,1.8866e-09,1.9275e-05,0.00016045,2.434e-06,0,0,0,0,0,0,1
