t	enstropy3D
0	575.32
0.005	569.89
0.01	566.37
0.015	556.78
0.02	593.56
0.025	623.39
0.03	601.31
0.035	567.65
0.04	577.89
0.045	567.83
0.05	551.83
0.055	584.02
0.06	624.28
0.065	607.84
0.07	576.74
0.075	575.59
0.08	586.98
0.085	603.21
0.09	610.31
0.095	594.25
0.1	581.91
0.105	574.1
0.11	563.75
0.115	558.7
0.12	575.9
0.125	575.46
0.13	555.06
0.135	552.33
0.14	576.34
0.145	577.68
0.15	568.66
0.155	558.97
0.16	555.01
0.165	554.22
0.17	554.45
0.175	579.34
0.18	582.97
0.185	591.77
0.19	602.98
0.195	585.59
0.2	598.95
0.205	581.47
0.21	590.65
0.215	582.33
0.22	585.19
0.225	600.1
0.23	593.47
0.235	567.49
0.24	545.61
0.245	558.54
0.25	574.62
0.255	588.71
0.26	595.16
0.265	579.35
0.27	562.14
0.275	557.33
0.28	560.42
0.285	561.19
0.29	561.07
0.295	560.53
0.3	559.55
0.305	570.43
0.31	599.13
0.315	617.83
0.32	597.64
0.325	562.35
0.33	557.4
0.335	567.37
0.34	570.69
0.345	554.54
0.35	561.38
0.355	562.51
0.36	571.82
0.365	583.89
0.37	573.68
0.375	582.39
0.38	605.58
0.385	611.11
0.39	600.09
0.395	579.94
0.4	577.34
0.405	565.09
0.41	567.64
0.415	600.15
0.42	598.84
0.425	590.47
0.43	606.85
0.435	579.28
0.44	567.53
0.445	570.6
0.45	578.33
0.455	569.96
0.46	584.46
0.465	561.86
0.47	562.17
0.475	585.69
0.48	591.86
0.485	602.58
0.49	601.43
0.495	572.34
0.5	541.37
0.505	548.39
0.51	565.58
0.515	577.93
0.52	566.38
0.525	561.47
0.53	570.77
0.535	557.11
0.54	561.62
0.545	537.34
0.55	545.6
0.555	555.94
0.56	560.69
0.565	567.89
0.57	573.06
0.575	561.45
0.58	537.48
0.585	546.02
0.59	577.77
0.595	585.25
0.6	591.84
0.605	573.79
0.61	553.79
0.615	573.06
0.62	614.61
0.625	601.94
0.63	569.91
0.635	570.52
0.64	581.12
0.645	565.98
0.65	565.22
0.655	598.47
0.66	589.71
0.665	566.88
0.67	570.22
0.675	553.34
0.68	545.46
0.685	568.92
0.69	553.5
0.695	550.62
0.7	576.3
0.705	594.38
0.71	587.51
0.715	567.74
0.72	561.48
0.725	560.48
0.73	556.82
0.735	541.31
0.74	534.4
0.745	552.6
0.75	552.63
0.755	555.66
0.76	573.6
0.765	573.63
0.77	574.41
0.775	599.14
0.78	588.63
0.785	561.79
0.79	549.56
0.795	584.08
0.8	568.21
0.805	585.63
0.81	607.03
0.815	607.93
0.82	590.83
0.825	581
0.83	577.72
0.835	574.24
0.84	584.68
0.845	580.96
0.85	554.56
0.855	555.37
0.86	568.89
0.865	563.3
0.87	563
0.875	539.03
0.88	542.68
0.885	554.17
0.89	578.91
0.895	594.22
0.9	584.8
0.905	579.09
0.91	554.92
0.915	564.94
0.92	574.67
0.925	569.01
0.93	579.16
0.935	559.53
0.94	560.15
0.945	570.02
0.95	579.74
0.955	572.19
0.96	569.76
0.965	561.62
0.97	553.87
0.975	561.04
0.98	543.68
0.985	538.23
0.99	543.76
0.995	559.38
