t	tSc	enstropy	ensScaled
0	0	575.32	1.00383
0.005	0.355	569.89	0.994361
0.01	0.71	566.37	0.988219
0.015	1.065	556.78	0.971486
0.02	1.42	593.56	1.03566
0.025	1.775	623.39	1.08771
0.03	2.13	601.31	1.04918
0.035	2.485	567.65	0.990452
0.04	2.84	577.89	1.00832
0.045	3.195	567.83	0.990766
0.05	3.55	551.83	0.962849
0.055	3.905	584.02	1.01901
0.06	4.26	624.28	1.08926
0.065	4.615	607.84	1.06058
0.07	4.97	576.74	1.00631
0.075	5.325	575.59	1.00431
0.08	5.68	586.98	1.02418
0.085	6.035	603.21	1.0525
0.09	6.39	610.31	1.06489
0.095	6.745	594.25	1.03686
0.1	7.1	581.91	1.01533
0.105	7.455	574.1	1.00171
0.11	7.81	563.75	0.983647
0.115	8.165	558.7	0.974836
0.12	8.52	575.9	1.00485
0.125	8.875	575.46	1.00408
0.13	9.23	555.06	0.968485
0.135	9.585	552.33	0.963721
0.14	9.94	576.34	1.00561
0.145	10.295	577.68	1.00795
0.15	10.65	568.66	0.992214
0.155	11.005	558.97	0.975307
0.16	11.36	555.01	0.968397
0.165	11.715	554.22	0.967019
0.17	12.07	554.45	0.96742
0.175	12.425	579.34	1.01085
0.18	12.78	582.97	1.01718
0.185	13.135	591.77	1.03254
0.19	13.49	602.98	1.0521
0.195	13.845	585.59	1.02175
0.2	14.2	598.95	1.04507
0.205	14.555	581.47	1.01457
0.21	14.91	590.65	1.03058
0.215	15.265	582.33	1.01607
0.22	15.62	585.19	1.02106
0.225	15.975	600.1	1.04707
0.23	16.33	593.47	1.0355
0.235	16.685	567.49	0.990173
0.24	17.04	545.61	0.951996
0.245	17.395	558.54	0.974557
0.25	17.75	574.62	1.00261
0.255	18.105	588.71	1.0272
0.26	18.46	595.16	1.03845
0.265	18.815	579.35	1.01087
0.27	19.17	562.14	0.980838
0.275	19.525	557.33	0.972445
0.28	19.88	560.42	0.977837
0.285	20.235	561.19	0.979181
0.29	20.59	561.07	0.978971
0.295	20.945	560.53	0.978029
0.3	21.3	559.55	0.976319
0.305	21.655	570.43	0.995303
0.31	22.01	599.13	1.04538
0.315	22.365	617.83	1.07801
0.32	22.72	597.64	1.04278
0.325	23.075	562.35	0.981205
0.33	23.43	557.4	0.972568
0.335	23.785	567.37	0.989964
0.34	24.14	570.69	0.995756
0.345	24.495	554.54	0.967577
0.35	24.85	561.38	0.979512
0.355	25.205	562.51	0.981484
0.36	25.56	571.82	0.997728
0.365	25.915	583.89	1.01879
0.37	26.27	573.68	1.00097
0.375	26.625	582.39	1.01617
0.38	26.98	605.58	1.05663
0.385	27.335	611.11	1.06628
0.39	27.69	600.09	1.04705
0.395	28.045	579.94	1.0119
0.4	28.4	577.34	1.00736
0.405	28.755	565.09	0.985985
0.41	29.11	567.64	0.990435
0.415	29.465	600.15	1.04716
0.42	29.82	598.84	1.04487
0.425	30.175	590.47	1.03027
0.43	30.53	606.85	1.05885
0.435	30.885	579.28	1.01074
0.44	31.24	567.53	0.990243
0.445	31.595	570.6	0.995599
0.45	31.95	578.33	1.00909
0.455	32.305	569.96	0.994483
0.46	32.66	584.46	1.01978
0.465	33.015	561.86	0.98035
0.47	33.37	562.17	0.98089
0.475	33.725	585.69	1.02193
0.48	34.08	591.86	1.03269
0.485	34.435	602.58	1.0514
0.49	34.79	601.43	1.04939
0.495	35.145	572.34	0.998635
0.5	35.5	541.37	0.944598
0.505	35.855	548.39	0.956847
0.51	36.21	565.58	0.98684
0.515	36.565	577.93	1.00839
0.52	36.92	566.38	0.988236
0.525	37.275	561.47	0.979669
0.53	37.63	570.77	0.995896
0.535	37.985	557.11	0.972062
0.54	38.34	561.62	0.979931
0.545	38.695	537.34	0.937566
0.55	39.05	545.6	0.951979
0.555	39.405	555.94	0.97002
0.56	39.76	560.69	0.978308
0.565	40.115	567.89	0.990871
0.57	40.47	573.06	0.999892
0.575	40.825	561.45	0.979634
0.58	41.18	537.48	0.937811
0.585	41.535	546.02	0.952711
0.59	41.89	577.77	1.00811
0.595	42.245	585.25	1.02116
0.6	42.6	591.84	1.03266
0.605	42.955	573.79	1.00117
0.61	43.31	553.79	0.966269
0.615	43.665	573.06	0.999892
0.62	44.02	614.61	1.07239
0.625	44.375	601.94	1.05028
0.63	44.73	569.91	0.994395
0.635	45.085	570.52	0.99546
0.64	45.44	581.12	1.01395
0.645	45.795	565.98	0.987538
0.65	46.15	565.22	0.986212
0.655	46.505	598.47	1.04423
0.66	46.86	589.71	1.02894
0.665	47.215	566.88	0.989109
0.67	47.57	570.22	0.994936
0.675	47.925	553.34	0.965484
0.68	48.28	545.46	0.951734
0.685	48.635	568.92	0.992668
0.69	48.99	553.5	0.965763
0.695	49.345	550.62	0.960738
0.7	49.7	576.3	1.00554
0.705	50.055	594.38	1.03709
0.71	50.41	587.51	1.0251
0.715	50.765	567.74	0.990609
0.72	51.12	561.48	0.979687
0.725	51.475	560.48	0.977942
0.73	51.83	556.82	0.971556
0.735	52.185	541.31	0.944493
0.74	52.54	534.4	0.932437
0.745	52.895	552.6	0.964192
0.75	53.25	552.63	0.964245
0.755	53.605	555.66	0.969532
0.76	53.96	573.6	1.00083
0.765	54.315	573.63	1.00089
0.77	54.67	574.41	1.00225
0.775	55.025	599.14	1.0454
0.78	55.38	588.63	1.02706
0.785	55.735	561.79	0.980227
0.79	56.09	549.56	0.958888
0.795	56.445	584.08	1.01912
0.8	56.8	568.21	0.991429
0.805	57.155	585.63	1.02182
0.81	57.51	607.03	1.05916
0.815	57.865	607.93	1.06073
0.82	58.22	590.83	1.0309
0.825	58.575	581	1.01375
0.83	58.93	577.72	1.00802
0.835	59.285	574.24	1.00195
0.84	59.64	584.68	1.02017
0.845	59.995	580.96	1.01368
0.85	60.35	554.56	0.967612
0.855	60.705	555.37	0.969026
0.86	61.06	568.89	0.992616
0.865	61.415	563.3	0.982862
0.87	61.77	563	0.982339
0.875	62.125	539.03	0.940515
0.88	62.48	542.68	0.946884
0.885	62.835	554.17	0.966932
0.89	63.19	578.91	1.0101
0.895	63.545	594.22	1.03681
0.9	63.9	584.8	1.02038
0.905	64.255	579.09	1.01041
0.91	64.61	554.92	0.96824
0.915	64.965	564.94	0.985724
0.92	65.32	574.67	1.0027
0.925	65.675	569.01	0.992825
0.93	66.03	579.16	1.01054
0.935	66.385	559.53	0.976284
0.94	66.74	560.15	0.977366
0.945	67.095	570.02	0.994587
0.95	67.45	579.74	1.01155
0.955	67.805	572.19	0.998374
0.96	68.16	569.76	0.994134
0.965	68.515	561.62	0.979931
0.97	68.87	553.87	0.966408
0.975	69.225	561.04	0.978919
0.98	69.58	543.68	0.948629
0.985	69.935	538.23	0.939119
0.99	70.29	543.76	0.948768
0.995	70.645	559.38	0.976022
