t,	etaU
0,	4.84818
0.49925,	3.57144
0.9985,	2.37399
1.49775,	1.72446
1.997,	1.72446
2.49625,	2.37399
2.9955,	3.57144
3.49475,	4.84818
3.994,	5.8012
4.49325,	5.74678
4.9925,	4.77498
5.49175,	3.666
5.991,	2.81686
6.49025,	2.35862
6.9895,	2.04246
7.48875,	1.60293
7.988,	1.62004
8.48725,	2.3813
8.9865,	3.35694
9.48575,	3.82062
9.985,	3.60773
10.4842,	3.19628
10.9835,	3.06542
11.4827,	3.20924
11.982,	3.64577
12.4812,	4.3787
12.9805,	4.92799
13.4797,	5.00176
13.979,	4.72365
14.4782,	4.38755
14.9775,	4.11901
15.4767,	3.63389
15.976,	3.17202
16.4752,	3.35073
16.9745,	3.9276
17.4737,	4.30378
17.973,	4.17533
18.4722,	3.66652
18.9715,	3.3511
19.4707,	3.6341
19.97,	4.36411
20.4692,	5.42991
20.9685,	6.28756
21.4677,	6.34294
21.967,	6.25008
22.4662,	6.1532
22.9655,	5.71336
23.4647,	5.31028
23.964,	4.96092
24.4632,	4.66899
24.9625,	4.7706
25.4617,	4.8193
25.961,	4.61543
26.4602,	4.61282
26.9595,	4.65411
27.4587,	4.68203
27.958,	4.85176
28.4572,	4.90225
28.9565,	5.21896
29.4557,	5.99437
29.955,	6.20025
30.4542,	5.59703
30.9535,	4.90838
31.4527,	4.64248
31.952,	5.07682
32.4512,	5.90691
32.9505,	6.47545
33.4497,	6.49671
33.949,	5.80677
34.4482,	4.26756
34.9475,	2.51533
35.4467,	1.82188
35.946,	2.60127
36.4452,	4.98729
36.9445,	7.94454
37.4437,	9.57603
37.943,	9.54421
38.4422,	8.64493
38.9415,	8.08805
39.4407,	8.10319
39.94,	7.71679
40.4392,	6.72713
40.9385,	5.83466
41.4377,	5.51
41.937,	6.00591
42.4362,	6.55487
42.9355,	6.59544
43.4347,	6.40865
43.934,	6.29392
44.4332,	6.57913
44.9325,	6.66041
45.4317,	6.04683
45.931,	5.42003
46.4302,	5.41589
46.9295,	6.57963
47.4287,	9.79321
47.928,	13.6428
48.4272,	15.9156
48.9265,	15.4188
49.4257,	12.1729
49.925,	9.09285
50.4242,	8.22784
50.9235,	8.37169
51.4227,	8.23029
51.922,	7.33511
52.4212,	6.94705
52.9205,	9.34821
53.4197,	13.4676
53.919,	16.1916
54.4182,	16.105
54.9175,	14.5158
55.4167,	13.7042
55.916,	14.5641
56.4152,	16.794
56.9145,	19.3456
