t,	etaU
0,	73.8282
0.554477,	42.5526
1.10895,	21.9557
1.66343,	16.062
2.21791,	16.062
2.77239,	21.9557
3.32686,	42.5526
3.88134,	73.8282
4.43582,	98.5475
4.9903,	100
5.54477,	74.9017
6.09925,	41.1043
6.65373,	22.6474
7.20821,	23.3528
7.76268,	30.1888
8.31716,	31.7511
8.87164,	29.2269
9.42612,	30.6209
9.98059,	43.573
10.5351,	64.6851
11.0895,	76.4547
11.644,	70.4906
12.1985,	55.5861
12.753,	50.3486
13.3075,	63.3359
13.8619,	80.034
14.4164,	82.8289
14.9709,	72.2416
15.5254,	59.4433
16.0798,	51.007
16.6343,	41.4922
17.1888,	32.7863
17.7433,	34.49
18.2978,	43.026
18.8522,	51.4501
19.4067,	54.5007
19.9612,	50.2954
20.5157,	47.2029
21.0701,	47.2415
21.6246,	48.2348
22.1791,	52.233
22.7336,	53.9981
23.2881,	49.8457
23.8425,	46.6994
24.397,	46.3748
24.9515,	50.1357
25.506,	61.6027
26.0604,	75.6235
26.6149,	85.3182
27.1694,	84.4075
27.7239,	71.025
28.2783,	53.5779
28.8328,	43.9999
29.3873,	42.5167
29.9418,	44.4305
30.4963,	48.7386
31.0507,	56.6721
31.6052,	67.8369
32.1597,	79.0831
32.7142,	83.2572
33.2686,	75.2967
33.8231,	58.2042
34.3776,	40.9992
34.9321,	34.0719
35.4866,	40.827
36.041,	54.27
36.5955,	64.0848
37.15,	67.9996
37.7045,	68.9627
38.2589,	67.1405
38.8134,	59.7436
39.3679,	48.0357
39.9224,	37.4566
40.4769,	33.4684
41.0313,	33.7521
41.5858,	35.4192
42.1403,	41.2342
42.6948,	52.8579
43.2492,	63.1736
43.8037,	62.9665
44.3582,	51.118
44.9127,	36.1283
45.4671,	30.1106
46.0216,	34.0254
46.5761,	38.936
47.1306,	41.7407
47.6851,	46.3002
48.2395,	53.1148
48.794,	59.3706
49.3485,	62.8691
49.903,	67.422
50.4574,	77.1915
51.0119,	88.4743
51.5664,	93.4951
52.1209,	88.3469
52.6754,	75.8666
53.2298,	59.3016
53.7843,	42.8936
54.3388,	35.1839
54.8933,	42.6629
55.4477,	58.8114
56.0022,	67.9334
56.5567,	62.7324
57.1112,	47.9325
57.6657,	37.2733
58.2201,	38.2978
58.7746,	41.1196
59.3291,	36.1873
59.8836,	25.3547
60.438,	13.8932
60.9925,	10.9451
61.547,	19.994
