t,	etaU
0,	3.2562
0.332945,	2.85895
0.66589,	2.0721
0.998835,	1.38352
1.33178,	1.38352
1.66472,	2.0721
1.99767,	2.85895
2.33061,	3.2562
2.66356,	3.44645
2.9965,	3.7283
3.32945,	3.93435
3.66239,	4.17757
3.99534,	4.52303
4.32828,	4.4943
4.66123,	4.21753
4.99417,	3.91144
5.32712,	3.64914
5.66006,	3.74707
5.99301,	3.72906
6.32595,	3.15429
6.6589,	2.43414
6.99184,	2.0505
7.32479,	2.41268
7.65773,	3.30646
7.99068,	3.81705
8.32362,	3.79419
8.65657,	3.56044
8.98951,	3.44743
9.32246,	3.77779
9.6554,	4.11198
9.98835,	3.92235
10.3213,	3.56846
10.6542,	3.28014
10.9872,	3.06378
11.3201,	3.02539
11.6531,	2.71246
11.986,	1.99575
12.319,	1.43248
12.6519,	1.24285
12.9849,	1.39049
13.3178,	2.00265
13.6507,	2.94212
13.9837,	3.76594
14.3166,	4.24338
14.6496,	4.27924
14.9825,	3.8358
15.3155,	3.17969
15.6484,	2.76492
15.9814,	2.69651
16.3143,	2.84423
16.6472,	2.92127
16.9802,	2.88312
17.3131,	2.9963
17.6461,	3.08409
17.979,	2.85631
18.312,	2.3338
18.6449,	1.7331
18.9779,	1.36279
19.3108,	1.42375
19.6437,	1.67397
19.9767,	1.96896
20.3096,	2.23307
20.6426,	2.27744
20.9755,	2.40654
21.3085,	3.07155
21.6414,	4.16785
21.9744,	5.16308
22.3073,	5.78453
22.6403,	5.92446
22.9732,	5.68204
23.3061,	5.39561
23.6391,	5.02783
23.972,	4.27569
24.305,	3.22685
24.6379,	2.02731
24.9709,	1.14931
25.3038,	1.43501
25.6368,	2.67485
25.9697,	3.93031
26.3026,	4.49753
26.6356,	4.41613
26.9685,	4.22407
27.3015,	4.02347
27.6344,	3.66281
27.9674,	3.10885
28.3003,	2.9598
28.6333,	3.78803
28.9662,	4.76539
29.2992,	4.83577
29.6321,	3.9903
29.965,	3.09342
30.298,	3.17691
30.6309,	3.98683
30.9639,	4.29269
31.2968,	3.80201
31.6298,	3.11276
31.9627,	2.73866
32.2957,	2.59856
32.6286,	2.30711
32.9615,	1.83975
33.2945,	2.16789
33.6274,	3.61236
33.9604,	4.8415
34.2933,	4.89599
34.6263,	3.88111
34.9592,	2.80607
35.2922,	2.62927
35.6251,	3.10795
35.958,	3.52169
36.291,	3.98249
36.6239,	4.58358
36.9569,	5.00299
37.2898,	5.01273
37.6228,	4.68969
37.9557,	4.40375
38.2887,	4.30505
38.6216,	3.92477
38.9546,	2.96383
39.2875,	2.24052
39.6204,	2.69939
39.9534,	4.05274
40.2863,	4.88595
40.6193,	4.41154
40.9522,	3.05593
41.2852,	2.34288
41.6181,	3.05436
