t,	etaU
0,	22.2341
0.738007,	23.7896
1.47601,	26.3411
2.21402,	26.7381
2.95203,	26.7381
3.69004,	26.3411
4.42804,	23.7896
5.16605,	22.2341
5.90406,	22.0349
6.64207,	20.9065
7.38007,	19.6369
8.11808,	19.2413
8.85609,	19.0565
9.5941,	20.9889
10.3321,	28.5247
11.0701,	41.0636
11.8081,	52.4217
12.5461,	54.1645
13.2841,	44.9711
14.0221,	32.6918
14.7601,	25.7905
15.4982,	28.1243
16.2362,	36.5613
16.9742,	43.4678
17.7122,	44.5514
18.4502,	39.9022
19.1882,	35.2787
19.9262,	37.4341
20.6642,	42.4441
21.4022,	41.7348
22.1402,	34.3071
22.8782,	24.9707
23.6162,	17.8922
24.3542,	16.0891
25.0923,	18.3602
25.8303,	22.3749
26.5683,	26.0146
27.3063,	27.8292
28.0443,	28.116
28.7823,	27.8227
29.5203,	27.1635
30.2583,	26.0214
30.9963,	25.2015
31.7343,	27.2937
32.4723,	34.1796
33.2103,	41.5608
33.9483,	42.8803
34.6863,	38.8881
35.4244,	36.6134
36.1624,	38.8701
36.9004,	42.0021
37.6384,	42.4015
38.3764,	44.8723
39.1144,	51.5458
39.8524,	53.7572
40.5904,	47.3
41.3284,	38.9894
42.0664,	35.785
42.8044,	36.2673
43.5424,	34.91
44.2804,	32.983
45.0185,	34.7223
45.7565,	39.7616
46.4945,	43.5868
47.2325,	41.6741
47.9705,	37.6938
48.7085,	38.2439
49.4465,	45.9132
50.1845,	63.8762
50.9225,	84.4057
51.6605,	90.9159
52.3985,	83.712
53.1365,	74.7985
53.8745,	69.329
54.6125,	69.775
55.3506,	71.4698
56.0886,	67.1947
56.8266,	58.0699
57.5646,	47.9322
58.3026,	43.5339
59.0406,	48.8665
59.7786,	57.7231
60.5166,	60.4786
61.2546,	58.2086
61.9926,	56.2949
62.7306,	53.4103
63.4686,	46.8104
64.2066,	40.7074
64.9446,	42.4471
65.6827,	51.8453
66.4207,	57.2355
67.1587,	51.2567
67.8967,	38.7662
68.6347,	25.8038
69.3727,	17.3471
70.1107,	13.8603
70.8487,	13.6714
71.5867,	18.6337
72.3247,	33.2098
73.0627,	58.4644
73.8007,	84.1434
74.5387,	95.5642
75.2768,	86.0133
76.0148,	61.5931
76.7528,	38.3371
77.4908,	26.0295
78.2288,	26.2156
78.9668,	34.9185
79.7048,	46.5583
80.4428,	55.0987
81.1808,	53.2507
81.9188,	40.9457
82.6568,	34.2644
83.3948,	41.1431
84.1328,	53.7569
84.8708,	61.0827
85.6089,	53.3678
86.3469,	38.3975
87.0849,	36.5119
87.8229,	52.7267
88.5609,	73.5301
89.2989,	85.3152
90.0369,	79.6536
90.7749,	63.8721
91.5129,	53.9797
92.2509,	52.8643
92.9889,	54.4176
93.7269,	61.4984
94.4649,	74.2484
95.203,	89.0328
95.941,	100
96.679,	95.3056
97.417,	74.3892
98.155,	49.6366
98.893,	30.5565
99.631,	24.1156
100.369,	28.9812
101.107,	34.7453
101.845,	38.274
102.583,	43.4365
103.321,	50.3957
104.059,	59.2418
104.797,	69.6895
105.535,	75.1721
106.273,	78.3091
107.011,	81.4401
107.749,	81.439
108.487,	77.4337
109.225,	65.638
109.963,	53.5191
110.701,	53.5917
111.439,	58.2147
112.177,	60.4457
112.915,	58.6084
113.653,	51.6873
114.391,	46.7793
115.129,	40.7017
115.867,	30.3105
116.605,	23.6023
117.343,	25.8459
118.081,	33.7651
118.819,	41.4686
119.557,	47.8915
120.295,	53.9488
121.033,	58.4029
121.771,	60.2333
122.509,	56.0946
123.247,	49.6162
123.985,	47.1073
124.723,	47.2162
125.461,	49.211
126.199,	54.461
126.937,	64.6516
127.675,	76.5714
128.413,	78.0608
129.151,	65.4615
129.889,	47.7741
130.627,	35.3071
131.365,	32.4493
132.103,	32.638
132.841,	30.7214
133.579,	29.4895
134.317,	31.3243
135.055,	38.8977
135.793,	52.1873
136.531,	63.9941
137.269,	66.708
138.007,	56.9323
138.745,	43.0724
139.483,	36.3027
140.221,	36.7134
140.959,	38.0081
141.697,	35.3449
142.435,	32.2858
143.173,	35.6331
143.911,	42.857
144.649,	50.1074
145.387,	52.7624
146.125,	46.8869
146.863,	37.5464
147.601,	29.8209
148.339,	25.8528
149.077,	25.633
149.815,	24.1493
150.554,	21.3225
151.292,	20.2948
152.03,	20.1516
152.768,	20.2952
153.506,	22.0982
154.244,	27.5825
154.982,	35.2144
155.72,	39.8736
156.458,	37.6931
157.196,	29.948
157.934,	21.778
158.672,	16.0112
159.41,	12.4076
160.148,	10.9101
160.886,	9.50834
161.624,	7.10381
162.362,	7.98017
163.1,	14.0369
163.838,	21.7448
164.576,	25.516
165.314,	22.4365
166.052,	17.4918
166.79,	17.5316
167.528,	21.8392
168.266,	25.3838
169.004,	26.931
169.742,	28.6595
170.48,	32.4633
171.218,	35.404
171.956,	33.2807
172.694,	26.6597
173.432,	19.4162
174.17,	13.7767
174.908,	10.9869
175.646,	10.9348
176.384,	12.6442
177.122,	16.2407
177.86,	19.8096
178.598,	22.3581
179.336,	24.7489
180.074,	26.2806
180.812,	25.4076
181.55,	23.4031
182.288,	23.1936
183.026,	24.9188
183.764,	25.0909
184.502,	20.8539
185.24,	15.5813
185.978,	15.4385
186.716,	20.4262
187.454,	26.8552
188.192,	30.9302
188.93,	29.8161
189.668,	24.841
190.406,	18.2495
191.144,	12.7738
191.882,	12.7492
192.62,	16.1745
193.358,	17.8627
194.096,	16.9793
194.834,	16.1682
195.572,	17.7956
196.31,	20.3637
197.048,	20.4204
197.786,	16.4877
198.524,	10.782
199.262,	7.64417
200,	11.6967
200.738,	21.2819
201.476,	30.9379
202.214,	35.3107
202.952,	32.2056
203.69,	27.0754
204.428,	24.8477
205.166,	23.8837
205.904,	22.3629
206.642,	20.2231
207.38,	23.6227
208.118,	36.4333
208.856,	49.1295
209.594,	52.8622
210.332,	45.5422
211.07,	33.2386
211.808,	28.4468
212.546,	32.0941
213.284,	37.1185
214.022,	38.7977
214.76,	36.7977
215.498,	40.4134
216.236,	51.4719
216.974,	61.0002
217.712,	61.8246
218.45,	55.2017
219.188,	50.7429
219.926,	50.0822
220.664,	46.829
221.402,	40.2262
222.14,	31.4586
222.878,	24.0697
223.616,	20.625
224.354,	19.1561
225.092,	20.9715
225.83,	23.0293
226.568,	21.8082
227.306,	21.1
228.044,	22.1818
228.782,	23.1959
229.52,	22.3851
230.258,	18.6266
230.996,	13.9292
231.734,	10.7755
232.472,	9.50403
233.21,	10.1852
233.948,	12.6384
234.686,	15.8564
235.424,	17.7412
236.162,	17.9151
236.9,	17.1673
237.638,	15.0194
238.376,	12.4628
239.114,	11.0353
239.852,	11.2268
240.59,	12.3527
241.328,	12
242.066,	9.87964
242.804,	8.69805
243.542,	9.37955
244.28,	11.1449
245.018,	12.892
245.756,	14.7378
246.494,	16.3549
247.232,	15.7177
247.97,	13.1127
248.708,	10.6912
249.446,	10.5548
250.185,	12.8574
250.923,	16.1006
251.661,	19.2613
