t,	etaU
0,	97.9524
0.554477,	92.9069
1.10895,	64.5464
1.66343,	37.3554
2.21791,	37.3554
2.77239,	64.5464
3.32686,	92.9069
3.88134,	97.9524
4.43582,	77.8838
4.9903,	50.6294
5.54477,	35.9857
6.09925,	38.4321
6.65373,	47.4176
7.20821,	49.7641
7.76268,	41.1293
8.31716,	27.2669
8.87164,	16.9549
9.42612,	15.0402
9.98059,	21.6242
10.5351,	30.5685
11.0895,	36.5827
11.644,	39.3804
12.1985,	41.8404
12.753,	46.6268
13.3075,	50.2313
13.8619,	48.8434
14.4164,	46.0945
14.9709,	45.8392
15.5254,	46.2586
16.0798,	43.118
16.6343,	38.7348
17.1888,	37.3588
17.7433,	36.4395
18.2978,	33.8864
18.8522,	29.3978
19.4067,	25.8734
19.9612,	29.157
20.5157,	35.5749
21.0701,	39.3524
21.6246,	41.0204
22.1791,	46.4928
22.7336,	58.0832
23.2881,	69.1569
23.8425,	72.3096
24.397,	65.5136
24.9515,	55.4763
25.506,	50.2788
26.0604,	46.1626
26.6149,	41.3544
27.1694,	39.9075
27.7239,	40.7116
28.2783,	42.7482
28.8328,	44.0258
29.3873,	44.0879
29.9418,	46.139
30.4963,	50.534
31.0507,	56.0592
31.6052,	61.0531
32.1597,	60.364
32.7142,	50.6942
33.2686,	39.2807
33.8231,	36.4895
34.3776,	41.9574
34.9321,	47.0932
35.4866,	45.2646
36.041,	38.8856
36.5955,	33.6862
37.15,	32.9029
37.7045,	34.9385
38.2589,	36.6689
38.8134,	37.6165
39.3679,	36.8284
39.9224,	34.0305
40.4769,	36.9732
41.0313,	45.8248
41.5858,	51.3511
42.1403,	48.4987
42.6948,	35.7965
43.2492,	24.8885
43.8037,	26.7296
44.3582,	35.5573
44.9127,	46.3094
45.4671,	56.5168
46.0216,	59.9636
46.5761,	57.476
47.1306,	48.3594
47.6851,	35.2353
48.2395,	28.2709
48.794,	25.8582
49.3485,	24.0658
49.903,	24.7558
50.4574,	24.8567
51.0119,	24.4265
51.5664,	27.6488
52.1209,	34.1869
52.6754,	42.6264
53.2298,	47.6415
53.7843,	44.0234
54.3388,	37.7425
54.8933,	35.5022
55.4477,	41.2126
56.0022,	51.9818
56.5567,	58.4372
57.1112,	61.7915
57.6657,	66.0101
58.2201,	66.8746
58.7746,	60.3314
59.3291,	44.9592
59.8836,	29.9705
60.438,	29.2055
60.9925,	39.1942
61.547,	47.2744
62.1015,	44.8781
62.6559,	32.3098
63.2104,	22.0831
63.7649,	22.308
64.3194,	27.0556
64.8739,	31.7077
65.4283,	34.2606
65.9828,	32.4411
66.5373,	28.389
67.0918,	25.0404
67.6462,	24.5994
68.2007,	29.1267
68.7552,	33.4917
69.3097,	32.1421
69.8642,	30.0785
70.4186,	33.6102
70.9731,	43.4176
71.5276,	53.3284
72.0821,	53.9389
72.6365,	45.6094
73.191,	36.4852
73.7455,	31.3704
74.3,	30.8037
74.8544,	31.4088
75.4089,	31.0895
75.9634,	33.6445
76.5179,	37.1244
77.0724,	35.3777
77.6268,	29.6309
78.1813,	26.454
78.7358,	27.1621
79.2903,	32.1738
79.8447,	44.4483
80.3992,	58.3493
80.9537,	67.898
81.5082,	68.7608
82.0627,	56.5892
82.6171,	40.4828
83.1716,	31.2973
83.7261,	27.8956
84.2806,	28.4876
84.835,	32.6001
85.3895,	36.6556
85.944,	40.3703
86.4985,	42.0777
87.053,	38.7667
87.6074,	31.2147
88.1619,	23.9483
88.7164,	21.6431
89.2709,	24.5625
89.8253,	28.4205
90.3798,	28.4276
90.9343,	24.0877
91.4888,	19.639
92.0432,	21.328
92.5977,	28.1101
93.1522,	33.4269
93.7067,	34.6736
94.2612,	34.1481
94.8156,	36.4
95.3701,	43.9233
95.9246,	53.7186
96.4791,	58.0386
97.0335,	53.5887
97.588,	42.7638
98.1425,	29.3898
98.697,	18.6614
99.2515,	13.5662
99.8059,	15.8722
100.36,	24.3721
100.915,	33.212
101.469,	38.2329
102.024,	41.5383
102.578,	43.8166
103.133,	43.9056
103.687,	38.9609
104.242,	28.8418
104.796,	22.7286
105.351,	26.9532
105.905,	36.3083
106.46,	42.0357
107.014,	38.4856
107.569,	27.9035
108.123,	23.8288
108.678,	30.5284
109.232,	38.3267
109.787,	39.1041
110.341,	31.3255
110.895,	21.4209
111.45,	19.6628
112.004,	26.7032
112.559,	36.9678
113.113,	44.52
113.668,	43.74
114.222,	38.1927
114.777,	34.0083
115.331,	35.5212
115.886,	41.2888
116.44,	44.7902
116.995,	43.4015
117.549,	37.5659
118.104,	32.2809
118.658,	34.0328
119.213,	40.8223
119.767,	46.9201
120.322,	48.2423
120.876,	43.8735
121.431,	38.4627
121.985,	34.04
122.54,	30.1071
123.094,	27.6837
123.648,	26.6342
124.203,	24.6736
124.757,	20.3003
125.312,	14.5838
125.866,	10.0345
126.421,	12.0066
126.975,	19.4031
127.53,	25.666
128.084,	27.4716
128.639,	24.5343
