t	etaU
0	3.53256e-14
0.555556	0.0758872
1.11111	1.82808
1.66667	1.79771
2.22222	1.3751
2.77778	0.31111
3.33333	2.09555
3.88889	0.441333
4.44444	1.06348
5	1.01174
5.55556	0.543432
6.11111	0.26418
6.66667	0.634008
7.22222	1.02623
7.77778	0.00679477
8.33333	0.342262
8.88889	1.46087
9.44444	0.0275593
10	1.58929
10.5556	0.00801922
11.1111	0.838246
11.6667	0.288388
12.2222	0.559043
12.7778	2.45873
13.3333	0.361112
13.8889	2.7315
14.4444	0.348618
15	2.73149
15.5556	1.26559
16.1111	1.89663
16.6667	0.456385
17.2222	0.0757341
17.7778	0.666456
18.3333	2.28005
18.8889	0.950194
19.4444	0.0710857
20	1.18015
20.5556	0.0426816
21.1111	3.15316
21.6667	1.10704
22.2222	0.330443
22.7778	0.101497
23.3333	0.306535
23.8889	1.96298
24.4444	1.09737
25	1.85797
25.5556	0.104919
26.1111	0.232154
26.6667	0.703088
27.2222	1.2638
27.7778	0.147424
28.3333	1.557
28.8889	0.559215
29.4444	0.724875
30	1.51422
30.5556	0.89476
31.1111	0.400825
31.6667	1.3147
32.2222	1.32757
32.7778	2.3344
33.3333	0.670853
33.8889	0.642008
34.4444	1.14469
35	0.848711
35.5556	2.69916
36.1111	0.815635
36.6667	0.843582
37.2222	0.265438
37.7778	0.443044
38.3333	1.84302
38.8889	1.05814
39.4444	1.12928
40	1.60776
40.5556	0.0117459
41.1111	0.90842
41.6667	2.22324
42.2222	0.9606
42.7778	0.0701721
43.3333	1.96399
43.8889	0.507729
44.4444	1.22766
45	0.876509
45.5556	0.207495
46.1111	0.00682986
46.6667	0.00960893
47.2222	0.837978
47.7778	1.30262
48.3333	1.05147
48.8889	0.243715
49.4444	0.895488
50	0.650422
50.5556	1.67857
51.1111	2.58922
51.6667	1.42653
52.2222	0.472814
52.7778	0.330354
53.3333	0.430719
53.8889	0.64798
54.4444	0.192371
55	1.43855
55.5556	1.13484
56.1111	0.449789
56.6667	1.61873
57.2222	0.0507985
57.7778	0.929287
58.3333	1.06543
58.8889	0.667117
59.4444	1.53234
60	1.11263
60.5556	0.614613
61.1111	0.911561
61.6667	1.61101
62.2222	0.527126
62.7778	2.74142
63.3333	1.28055
63.8889	1.85989
64.4444	0.869384
65	0.439338
65.5556	1.10398
66.1111	1.28309
66.6667	0.959153
67.2222	1.51938
67.7778	0.700715
68.3333	0.895373
68.8889	0.168868
69.4444	1.17703
70	0.444912
70.5556	0.507569
71.1111	0.352321
71.6667	0.586933
72.2222	0.234367
72.7778	0.431682
73.3333	0.686297
73.8889	0.704056
74.4444	0.0373885
75	0.741716
75.5556	0.389234
76.1111	0.0113621
76.6667	1.55708
77.2222	1.90866
77.7778	0.441765
78.3333	0.246245
78.8889	0.111055
79.4444	1.31529
80	1.81163
80.5556	0.771452
81.1111	0.00114387
81.6667	1.1769
82.2222	0.710486
82.7778	0.650908
83.3333	2.13844
83.8889	1.62331
84.4444	0.245954
85	1.6372
85.5556	0.248746
86.1111	0.150667
86.6667	0.333861
87.2222	0.153813
87.7778	0.356968
88.3333	0.824915
