t,	etaU
0,	61.4655
0.332945,	39.9953
0.66589,	24.3532
0.998835,	16.6362
1.33178,	16.6362
1.66472,	24.3532
1.99767,	39.9953
2.33061,	61.4655
2.66356,	81.9597
2.9965,	88.4317
3.32945,	78.0615
3.66239,	59.6299
3.99534,	41.7595
4.32828,	34.4206
4.66123,	44.3007
4.99417,	66.953
5.32712,	88.3682
5.66006,	93.3839
5.99301,	81.2078
6.32595,	62.2314
6.6589,	45.9016
6.99184,	34.3982
7.32479,	31.6229
7.65773,	39.2905
7.99068,	46.1957
8.32362,	44.6524
8.65657,	38.19
8.98951,	34.016
9.32246,	37.0118
9.6554,	43.8997
9.98835,	48.6909
10.3213,	53.0995
10.6542,	59.8636
10.9872,	66.09
11.3201,	69.3524
11.6531,	67.7944
11.986,	57.5093
12.319,	44.2269
12.6519,	41.8247
12.9849,	50.4952
13.3178,	60.059
13.6507,	61.2157
13.9837,	52.7863
14.3166,	45.1842
14.6496,	45.0485
14.9825,	45.3148
15.3155,	39.0639
15.6484,	31.9387
15.9814,	31.1296
16.3143,	33.289
16.6472,	31.0435
16.9802,	25.2676
17.3131,	28.2935
17.6461,	44.4196
17.979,	58.5316
18.312,	57.1331
18.6449,	42.0536
18.9779,	27.8423
19.3108,	32.6051
19.6437,	54.1927
19.9767,	75.7542
20.3096,	84.5252
20.6426,	78.4128
20.9755,	68.2828
21.3085,	64.0275
21.6414,	64.5507
21.9744,	63.036
22.3073,	54.991
22.6403,	43.9224
22.9732,	34.0818
23.3061,	27.0721
23.6391,	26.3383
23.972,	31.6346
24.305,	37.2721
24.6379,	39.6171
24.9709,	37.7792
25.3038,	38.1868
25.6368,	47.5831
25.9697,	61.6439
26.3026,	71.1018
26.6356,	69.5865
26.9685,	59.39
27.3015,	52.2827
27.6344,	51.3117
27.9674,	52.1546
28.3003,	61.2557
28.6333,	75.9752
28.9662,	86.9296
29.2992,	88.1285
29.6321,	74.3088
29.965,	53.753
30.298,	39.7402
30.6309,	31.5616
30.9639,	33.5585
31.2968,	46.3737
31.6298,	55.9485
31.9627,	60.5371
32.2957,	61.9444
32.6286,	63.9793
32.9615,	73.2691
33.2945,	81.3879
33.6274,	87.1208
33.9604,	95.1094
34.2933,	94.7177
34.6263,	82.7328
34.9592,	69.3202
35.2922,	60.2053
35.6251,	57.0415
35.958,	52.3135
36.291,	47.1352
36.6239,	52.9743
36.9569,	66.9781
37.2898,	74.3465
37.6228,	68.285
37.9557,	56.523
38.2887,	47.1245
38.6216,	47.0449
38.9546,	57.574
39.2875,	70.6946
39.6204,	80.0058
39.9534,	81.7804
40.2863,	76.171
40.6193,	79.1819
40.9522,	90.6956
41.2852,	93.8657
41.6181,	86.4745
41.9511,	73.5482
42.284,	62.4593
42.6169,	59.7665
42.9499,	58.0658
43.2828,	51.9814
43.6158,	44.6817
43.9487,	36.7716
44.2817,	31.3018
44.6146,	31.9626
44.9476,	36.0873
45.2805,	37.9437
45.6135,	38.8571
45.9464,	41.8526
46.2793,	46.3308
46.6123,	53.2072
46.9452,	61.7363
47.2782,	66.986
47.6111,	67.0867
47.9441,	63.3073
48.277,	61.3007
48.61,	64.1402
48.9429,	64.7727
49.2758,	58.5995
49.6088,	50.1741
49.9417,	46.1263
50.2747,	45.4836
50.6076,	46.3303
50.9406,	50.9819
51.2735,	55.0315
51.6065,	58.36
51.9394,	66.7564
52.2723,	77.0226
52.6053,	83.5979
52.9382,	81.1167
53.2712,	68.1348
53.6041,	52.9726
53.9371,	39.2744
54.27,	26.4146
54.603,	18.6833
54.9359,	19.3656
55.2689,	25.331
55.6018,	30.8439
55.9347,	34.8259
56.2677,	40.991
56.6006,	48.4978
56.9336,	50.7203
57.2665,	46.7405
57.5995,	43.2472
57.9324,	44.8693
58.2654,	52.1232
58.5983,	56.6358
58.9312,	56.1418
59.2642,	61.1742
59.5971,	70.7115
59.9301,	77.7731
60.263,	78.12
60.596,	69.115
60.9289,	60.3032
61.2619,	62.3976
61.5948,	72.3726
61.9278,	80.1904
62.2607,	74.3772
62.5936,	55.6507
62.9266,	38.3323
63.2595,	34.0893
63.5925,	41.041
63.9254,	52.8681
64.2584,	68.1253
64.5913,	79.4919
64.9243,	78.7259
65.2572,	66.4325
65.5901,	48.0462
65.9231,	34.1485
66.256,	37.1848
66.589,	56.5551
66.9219,	80.4519
67.2549,	97.2162
67.5878,	100
67.9208,	88.6035
68.2537,	71.62
68.5866,	59.9189
68.9196,	56.4396
69.2525,	58.7035
69.5855,	58.8094
69.9184,	54.4554
70.2514,	57.7038
70.5843,	72.0412
70.9173,	81.9234
71.2502,	78.8267
71.5832,	66.2101
71.9161,	52.2648
72.249,	46.7853
72.582,	48.0568
72.9149,	52.4924
73.2479,	63.041
73.5808,	73.4915
73.9138,	73.5371
74.2467,	70.5618
74.5797,	70.2653
74.9126,	69.5674
75.2455,	67.6435
75.5785,	60.8034
75.9114,	50.9172
76.2444,	45.3305
76.5773,	41.655
76.9103,	37.1784
77.2432,	34.324
77.5762,	34.1552
77.9091,	37.4345
78.2421,	42.0992
78.575,	46.7988
78.9079,	55.0014
79.2409,	63.8366
79.5738,	65.8252
79.9068,	58.9311
80.2397,	43.7708
80.5727,	29.829
80.9056,	27.8172
81.2386,	34.266
81.5715,	41.3017
81.9044,	44.9343
82.2374,	41.91
82.5703,	34.3704
82.9033,	26.1508
83.2362,	22.1667
83.5692,	23.8409
83.9021,	26.2828
84.2351,	26.5245
84.568,	25.5144
84.9009,	30.364
85.2339,	46.7708
85.5668,	65.4274
85.8998,	75.8047
86.2327,	74.8895
86.5657,	63.5649
86.8986,	51.5832
87.2316,	45.791
87.5645,	44.0906
87.8975,	45.112
88.2304,	47.7798
88.5633,	52.2829
88.8963,	60.0285
89.2292,	64.1658
89.5622,	61.1051
89.8951,	61.0953
90.2281,	73.0289
90.561,	89.2812
90.894,	92.0866
91.2269,	72.8904
91.5598,	49.9284
91.8928,	47.562
92.2257,	65.7
92.5587,	86.1627
92.8916,	92.1726
93.2246,	80.7502
93.5575,	64.9391
93.8905,	56.8626
94.2234,	56.3537
94.5564,	59.1377
94.8893,	60.643
95.2222,	57.8586
95.5552,	51.4271
95.8881,	43.9584
96.2211,	36.5139
96.554,	31.3703
96.887,	28.1111
97.2199,	23.8076
97.5529,	18.5003
97.8858,	14.5194
98.2187,	14.5113
98.5517,	18.9644
98.8846,	24.0648
99.2176,	28.9657
99.5505,	33.6681
99.8835,	33.9069
100.216,	28.8142
100.549,	20.5695
100.882,	17.6056
101.215,	28.735
101.548,	46.3685
101.881,	57.2659
102.214,	55.995
102.547,	44.8359
102.88,	33.0641
103.213,	27.3482
103.546,	28.3186
103.879,	34.0212
104.212,	40.2797
104.545,	42.914
104.878,	42.5465
105.211,	43.689
105.544,	48.2047
105.876,	54.1729
106.209,	57.5073
106.542,	57.1836
106.875,	55.5399
107.208,	51.0872
107.541,	49.4276
107.874,	57.1741
108.207,	68.8424
108.54,	74.4687
108.873,	65.2915
109.206,	44.1642
109.539,	26.9588
109.872,	21.9903
110.205,	24.1114
110.538,	26.1112
110.871,	23.7811
111.204,	18.4459
111.537,	15.7733
111.869,	18.3483
112.202,	25.4393
112.535,	36.4871
112.868,	45.346
113.201,	48.4152
113.534,	49.3303
113.867,	49.4912
114.2,	48.8329
114.533,	46.0317
114.866,	39.8547
115.199,	35.6209
115.532,	36.9716
115.865,	37.7357
116.198,	36.7227
116.531,	38.1822
116.864,	38.3969
117.197,	34.9551
117.53,	29.2176
117.862,	22.1096
118.195,	20.4941
118.528,	24.5244
118.861,	31.7656
119.194,	42.0509
119.527,	47.4621
119.86,	43.4017
120.193,	34.6544
120.526,	29.0923
120.859,	30.2614
121.192,	32.9037
121.525,	34.0063
121.858,	35.9725
122.191,	38.51
122.524,	41.3473
122.857,	42.4531
123.19,	41.7056
123.523,	39.8964
123.856,	34.5793
124.188,	25.7073
124.521,	17.2772
124.854,	12.1975
125.187,	13.0237
125.52,	20.8749
125.853,	34.3137
126.186,	47.069
126.519,	52.4118
126.852,	50.4264
127.185,	47.9119
127.518,	48.0699
