x	ux	uy
0	0.39507	0.70698
0.5	0.69926	0.95592
1	1.229	1.0372
1.5	1.4338	0.70312
2	1.2559	0.64825
2.5	1.2595	1.0083
3	1.6026	1.2164
3.5	1.4022	0.99065
4	1.2223	0.65988
4.5	1.1051	0.49326
5	1.0424	0.46798
5.5	1.2713	0.49731
6	1.5309	0.53266
6.5	1.6671	0.54724
7	1.5238	0.63698
7.5	1.1455	0.61652
8	0.74816	0.49509
8.5	0.72807	0.64658
9	0.95509	0.89997
9.5	0.89246	1.0641
10	0.72122	1.3188
10.5	0.70282	1.2864
11	0.57942	0.90791
11.5	0.51099	0.82433
12	0.6518	0.98452
12.5	0.74602	0.85264
13	1.0321	0.64049
13.5	1.4796	0.58089
14	1.2842	0.55307
14.5	1.0136	0.79378
15	0.94404	1.1277
15.5	0.94604	1.2197
16	1.4087	1.1441
16.5	1.6597	0.93655
17	1.2834	0.99718
17.5	1.2248	0.99694
18	1.2579	0.97516
18.5	1.0485	1.314
19	1.1148	1.4331
19.5	1.3887	1.321
20	1.204	1.1367
20.5	0.83551	0.72535
21	0.6056	0.66722
21.5	0.40611	0.95341
22	0.39653	1.082
22.5	0.67757	1.0036
23	0.97498	0.88879
23.5	0.94516	0.95077
24	0.61848	1.0089
24.5	0.60502	1.2927
25	0.83767	1.9009
25.5	0.98096	2.1452
26	0.96883	1.6717
26.5	0.72513	1.3115
27	0.60135	1.3942
27.5	0.71957	1.5619
28	0.81437	1.3547
28.5	0.96983	1.1482
29	1.0756	1.351
29.5	0.92968	1.4188
30	0.72299	1.3671
30.5	0.67824	1.5384
31	0.68378	1.5685
31.5	0.6248	1.1395
32	0.52365	0.86525
32.5	0.56788	0.70244
33	0.66046	0.56944
33.5	0.53276	0.75283
34	0.51912	1.0051
34.5	0.6066	1.0504
35	0.73472	1.0191
35.5	0.84769	1.0233
36	0.8858	1.0179
36.5	0.77275	1.0719
37	0.73058	0.95395
37.5	0.8666	1.0057
38	0.78849	1.3643
38.5	0.6132	1.3359
39	0.54048	1.0975
39.5	0.72642	0.97875
40	0.97186	1.0525
40.5	1.0231	0.89161
41	0.98893	0.97781
41.5	0.6973	1.2456
42	0.50125	0.96584
42.5	0.46901	0.61312
43	0.6166	0.84369
43.5	0.8389	1.3861
44	0.76291	1.4854
44.5	0.65796	1.5024
45	0.62404	1.6924
45.5	0.6133	1.6763
46	0.51035	1.6437
46.5	0.48021	1.6751
47	0.65726	1.5645
47.5	0.6907	1.4904
48	0.61257	1.9026
48.5	0.57295	2.1722
49	0.62085	1.6465
49.5	0.69008	1.2933
50	0.73182	1.2678
50.5	0.76055	1.216
51	0.71096	1.1339
51.5	0.54602	0.73697
52	0.3685	0.67941
52.5	0.39429	1.2137
53	0.64963	1.8773
53.5	0.99332	1.8743
54	1.0435	1.4579
54.5	0.84876	1.507
55	0.88124	2.0405
55.5	0.86809	1.9607
56	0.5911	1.8473
56.5	0.46182	1.469
57	0.64555	1.2432
57.5	0.97777	1.6628
58	1.0454	2.1734
58.5	0.90621	2.2419
59	0.74774	1.8755
59.5	0.50362	1.5626
60	0.51271	1.3861
60.5	0.69296	1.1817
61	0.6846	1.2378
61.5	0.67066	1.4694
62	0.60347	1.7577
62.5	0.63715	1.9171
63	0.61676	2.0732
63.5	0.46307	2.0188
64	0.4042	2.0966
64.5	0.51604	2.5258
65	0.62866	2.2552
65.5	0.53386	1.8873
66	0.40245	1.6685
66.5	0.43329	1.9333
67	0.47099	2.8226
67.5	0.55299	3.534
68	0.75764	5.1074
68.5	0.97702	6.0206
69	0.8242	5.2811
69.5	0.59313	7.4829
70	0.58028	13.419
70.5	0.59364	18.764
71	0.62924	23.153
71.5	0.82009	21.148
72	0.78935	14.266
72.5	0.52679	11.094
73	0.51249	7.9215
73.5	0.60892	4.1078
74	0.58959	2.9893
74.5	0.5978	3.9125
75	0.67394	5.5261
75.5	0.63819	4.9009
76	0.55935	2.6508
76.5	0.5093	2.1648
77	0.41922	2.4918
77.5	0.40128	1.6551
78	0.42013	1.5367
78.5	0.50017	2.322
79	0.74223	2.6103
79.5	0.90021	2.7792
80	0.66526	2.6355
80.5	0.52481	2.2863
81	0.76902	1.8699
81.5	0.86435	1.4494
82	0.79761	1.2317
82.5	0.75529	1.2376
83	0.70316	1.4241
83.5	0.69581	1.7908
84	0.64243	1.7
84.5	0.57428	1.5066
85	0.4695	1.6427
85.5	0.35688	1.6416
