t,	etaU
0,	68.7573
0.333056,	47.3289
0.666112,	33.6728
0.999167,	26.9361
1.33222,	26.9361
1.66528,	33.6728
1.99833,	47.3289
2.33139,	68.7573
2.66445,	89.9266
2.9975,	100
3.33056,	94.755
3.66361,	76.4575
3.99667,	58.638
4.32973,	51.2351
4.66278,	48.4612
4.99584,	49.0244
5.32889,	55.5097
5.66195,	62.7335
5.995,	66.2339
6.32806,	61.6344
6.66112,	49.3347
6.99417,	38.8649
7.32723,	34.7277
7.66028,	33.8226
7.99334,	35.2784
8.32639,	37.031
8.65945,	36.1951
8.99251,	33.4821
9.32556,	28.9448
9.65862,	25.9606
9.99167,	26.8068
10.3247,	26.9055
10.6578,	27.1517
10.9908,	29.5926
11.3239,	29.6251
11.657,	27.1529
11.99,	23.6583
12.3231,	20.0715
12.6561,	19.0171
12.9892,	19.7142
13.3222,	20.4453
13.6553,	20.8576
13.9883,	19.3057
14.3214,	15.0445
14.6545,	12.8989
14.9875,	18.2576
15.3206,	27.2853
15.6536,	31.5214
15.9867,	27.688
16.3197,	19.6267
16.6528,	14.3387
16.9858,	13.06
17.3189,	13.5909
17.652,	16.5388
17.985,	21.8334
18.3181,	27.9793
18.6511,	30.7379
18.9842,	26.7846
19.3172,	21.9368
19.6503,	21.3252
19.9833,	25.0812
20.3164,	31.6715
20.6495,	34.9986
20.9825,	32.641
21.3156,	28.9316
21.6486,	26.1084
21.9817,	24.5199
22.3147,	24.9425
22.6478,	25.1856
22.9808,	23.5948
23.3139,	20.9484
23.647,	17.585
23.98,	14.4233
24.3131,	16.3273
24.6461,	23.3818
24.9792,	29.1015
25.3122,	29.3299
25.6453,	23.5733
25.9784,	16.3777
26.3114,	14.5484
26.6445,	17.5727
26.9775,	21.0412
27.3106,	22.9394
27.6436,	21.8419
27.9767,	18.2377
28.3097,	14.1538
28.6428,	10.6615
28.9759,	9.20263
29.3089,	10.1911
29.642,	11.5643
29.975,	13.8055
30.3081,	16.6801
30.6411,	17.7315
30.9742,	16.4254
31.3072,	14.8032
31.6403,	14.9322
31.9734,	18.4909
32.3064,	22.5282
32.6395,	22.0882
32.9725,	16.9407
33.3056,	10.4275
33.6386,	8.30809
33.9717,	12.619
34.3047,	17.974
34.6378,	18.8087
34.9709,	14.8869
35.3039,	9.46749
35.637,	6.56708
35.97,	6.32702
36.3031,	6.54031
36.6361,	6.57496
36.9692,	7.19263
37.3022,	9.12486
37.6353,	11.3407
37.9684,	12.4798
38.3014,	12.835
38.6345,	14.388
38.9675,	17.2711
39.3006,	19.0987
39.6336,	19.5981
39.9667,	20.3638
40.2998,	20.9937
40.6328,	19.4478
40.9659,	14.7187
41.2989,	11.2037
41.632,	14.9368
41.965,	22.7766
42.2981,	26.3049
42.6311,	22.458
42.9642,	15.4422
43.2973,	11.6685
43.6303,	12.4704
43.9634,	13.6547
44.2964,	12.9629
44.6295,	11.4521
44.9625,	9.9149
45.2956,	10.8999
45.6286,	16.8495
45.9617,	24.5689
46.2948,	29.712
46.6278,	29.9874
46.9609,	27.3174
47.2939,	28.0749
47.627,	31.0298
47.96,	29.2754
48.2931,	22.63
48.6261,	15.8057
48.9592,	13.8182
49.2923,	18.3742
49.6253,	24.1072
49.9584,	26.0844
50.2914,	27.9476
50.6245,	32.5251
50.9575,	35.5283
51.2906,	33.5996
51.6236,	27.2854
51.9567,	20.3093
52.2898,	17.1366
52.6228,	15.8889
52.9559,	14.629
53.2889,	17.5351
53.622,	25.6528
53.955,	33.7137
54.2881,	36.7801
54.6211,	33.3347
54.9542,	28.278
55.2873,	26.9235
55.6203,	26.8968
55.9534,	26.1317
56.2864,	25.3399
56.6195,	25.2182
56.9525,	25.6957
57.2856,	24.8918
57.6187,	22.4537
57.9517,	19.5892
58.2848,	16.5219
58.6178,	15.6681
58.9509,	17.9523
59.2839,	22.9298
59.617,	28.7784
59.95,	31.8556
60.2831,	32.5426
60.6162,	31.2484
60.9492,	26.6516
61.2823,	23.5561
61.6153,	25.0783
61.9484,	27.7493
62.2814,	29.0965
62.6145,	29.4763
62.9475,	36.4798
63.2806,	51.2731
63.6137,	59.2007
63.9467,	51.4107
64.2798,	33.8191
64.6128,	20.599
64.9459,	22.7382
65.2789,	33.4246
65.612,	40.7119
65.945,	40.9388
66.2781,	37.2153
66.6112,	36.5623
66.9442,	42.0141
67.2773,	47.4243
67.6103,	45.5257
67.9434,	36.7996
68.2764,	27.73
68.6095,	22.6373
68.9425,	19.8224
69.2756,	17.2295
69.6087,	20.7475
69.9417,	34.6919
70.2748,	50.1171
70.6078,	55.053
70.9409,	46.6933
71.2739,	34.6416
71.607,	30.1362
71.94,	33.076
72.2731,	37.1698
72.6062,	38.7321
72.9392,	38.4801
73.2723,	39.207
73.6053,	41.2726
73.9384,	42.4956
74.2714,	39.3758
74.6045,	31.0524
74.9376,	23.194
75.2706,	20.503
75.6037,	24.0907
75.9367,	30.7734
76.2698,	34.6884
76.6028,	36.4234
76.9359,	38.6407
77.2689,	40.9381
77.602,	41.0107
77.9351,	35.3193
78.2681,	25.4905
78.6012,	19.4482
78.9342,	20.4975
79.2673,	24.6665
79.6003,	25.9375
79.9334,	22.0083
80.2664,	15.9402
80.5995,	12.1458
80.9326,	12.217
81.2656,	13.9033
81.5987,	14.903
81.9317,	14.9714
82.2648,	13.994
82.5978,	13.931
82.9309,	17.0817
83.2639,	20.9288
83.597,	21.6799
83.9301,	18.0365
84.2631,	11.2262
84.5962,	6.81641
84.9292,	7.78432
85.2623,	10.5999
85.5953,	11.3363
85.9284,	10.4251
86.2614,	12.2303
86.5945,	18.1556
86.9276,	23.3335
87.2606,	22.278
87.5937,	15.5759
87.9267,	9.36003
88.2598,	8.24505
88.5928,	10.1999
88.9259,	10.9141
89.259,	9.32927
89.592,	7.51719
89.9251,	7.99362
90.2581,	10.5959
90.5912,	12.8698
90.9242,	13.5493
91.2573,	12.8113
91.5903,	12.31
91.9234,	13.1645
92.2565,	15.0094
92.5895,	16.9179
92.9226,	16.7488
93.2556,	13.3329
93.5887,	8.52737
93.9217,	4.88798
94.2548,	4.38412
94.5878,	6.59228
94.9209,	8.94979
95.254,	10.5064
95.587,	11.8726
95.9201,	12.8993
96.2531,	12.3483
96.5862,	9.98365
96.9192,	7.1556
97.2523,	5.829
97.5853,	7.24411
97.9184,	9.81071
98.2515,	11.2964
98.5845,	11.1936
98.9176,	10.0786
99.2506,	8.90194
99.5837,	8.08149
99.9167,	7.24947
100.25,	5.97172
100.583,	4.83324
100.916,	4.92898
101.249,	6.60605
101.582,	8.59722
101.915,	9.3173
102.248,	8.41303
102.581,	7.42143
102.914,	7.63932
103.247,	8.71031
103.58,	9.08532
103.913,	8.05569
104.246,	6.5813
104.58,	5.32698
104.913,	4.47504
105.246,	4.06143
105.579,	3.75245
105.912,	3.82646
106.245,	4.52176
106.578,	5.23101
106.911,	5.4238
107.244,	4.76321
107.577,	3.90237
107.91,	3.81939
108.243,	4.57448
108.576,	5.53971
108.909,	5.73078
109.242,	5.37146
109.575,	5.50259
109.908,	6.02168
110.241,	6.10273
110.575,	5.25802
110.908,	3.86612
111.241,	3.31021
111.574,	4.1368
111.907,	5.35721
112.24,	5.94791
112.573,	5.71575
112.906,	4.88454
113.239,	3.99559
113.572,	3.57507
113.905,	3.43952
114.238,	3.64609
114.571,	4.20591
114.904,	4.59255
115.237,	4.32995
115.57,	3.50141
115.903,	2.80758
116.236,	2.86155
116.57,	3.34935
116.903,	3.55943
117.236,	3.41757
117.569,	3.24048
117.902,	3.16949
118.235,	3.10222
118.568,	2.96026
118.901,	3.10115
119.234,	3.82131
119.567,	4.54485
119.9,	4.60704
120.233,	3.91472
120.566,	2.90451
120.899,	2.67757
121.232,	3.33228
121.565,	3.82974
121.898,	3.54712
122.231,	2.49108
122.565,	1.53517
122.898,	1.45936
123.231,	1.98796
123.564,	2.68038
123.897,	3.17305
124.23,	3.0438
124.563,	2.44807
124.896,	1.94436
125.229,	1.82462
125.562,	1.90337
125.895,	1.74333
126.228,	1.25953
126.561,	0.99261
126.894,	1.24161
127.227,	1.64395
127.56,	2.00476
127.893,	2.53839
128.226,	3.16309
128.56,	3.47022
128.893,	3.07655
129.226,	2.17063
129.559,	1.71492
129.892,	2.19854
130.225,	3.31269
130.558,	4.49871
130.891,	4.99701
131.224,	4.63207
131.557,	3.91295
131.89,	3.08452
132.223,	2.52169
132.556,	2.48006
132.889,	2.59613
133.222,	2.57231
133.555,	2.30023
133.888,	1.87704
134.221,	1.62632
134.555,	1.67549
134.888,	1.75933
135.221,	1.72635
135.554,	1.86531
135.887,	2.16113
136.22,	2.27312
136.553,	2.264
136.886,	2.23662
137.219,	2.26708
137.552,	2.46259
137.885,	2.56424
138.218,	2.44212
138.551,	2.24571
138.884,	2.04518
139.217,	2.24735
139.55,	3.15113
139.883,	4.1348
140.216,	4.34467
140.55,	3.48278
140.883,	2.02351
141.216,	0.894945
141.549,	0.479775
141.882,	0.553076
142.215,	0.847098
142.548,	1.14976
142.881,	1.42143
143.214,	1.74698
143.547,	2.1765
143.88,	2.52746
144.213,	2.7951
144.546,	3.07724
144.879,	3.20519
145.212,	2.94296
145.545,	2.25286
145.878,	1.52263
146.211,	1.2547
146.545,	1.55769
146.878,	2.1563
147.211,	2.56363
147.544,	2.49331
147.877,	2.16481
148.21,	1.9419
148.543,	2.03852
148.876,	2.1406
149.209,	1.9007
149.542,	1.46563
149.875,	1.22874
150.208,	1.34614
150.541,	1.48983
150.874,	1.44006
151.207,	1.22922
151.54,	1.03287
151.873,	1.15929
152.206,	1.53486
152.54,	1.76149
152.873,	1.61216
153.206,	1.15736
153.539,	0.764961
153.872,	0.742722
154.205,	0.981332
154.538,	1.28886
154.871,	1.51636
155.204,	1.63771
155.537,	1.79044
155.87,	2.02151
156.203,	2.16493
156.536,	2.07193
156.869,	1.68369
157.202,	1.20677
157.535,	0.981516
157.868,	0.989044
158.201,	1.07758
158.535,	1.10643
158.868,	0.978887
159.201,	0.742812
159.534,	0.502296
159.867,	0.35207
160.2,	0.385396
160.533,	0.622583
160.866,	1.02814
161.199,	1.43879
161.532,	1.57627
161.865,	1.33119
162.198,	0.971079
162.531,	0.826352
162.864,	0.86558
163.197,	0.903577
163.53,	0.978707
163.863,	1.14237
164.197,	1.33918
164.53,	1.4075
164.863,	1.33995
165.196,	1.38123
165.529,	1.5765
165.862,	1.63721
166.195,	1.3696
166.528,	0.946405
166.861,	0.737796
167.194,	0.864936
167.527,	1.03647
167.86,	0.996774
168.193,	0.766358
168.526,	0.553267
168.859,	0.488596
169.192,	0.504418
169.525,	0.589292
169.858,	0.767159
170.192,	0.948651
170.525,	1.13983
170.858,	1.35539
171.191,	1.5205
171.524,	1.5252
171.857,	1.26315
172.19,	0.872812
172.523,	0.670454
172.856,	0.750773
173.189,	0.961425
173.522,	1.11593
173.855,	1.14317
174.188,	1.08983
174.521,	1.05179
174.854,	1.06058
175.187,	1.10131
175.52,	1.18898
175.853,	1.22964
176.187,	1.07285
176.52,	0.754631
176.853,	0.438822
177.186,	0.303539
177.519,	0.350073
177.852,	0.419956
178.185,	0.495971
178.518,	0.619986
178.851,	0.752399
179.184,	0.892674
179.517,	1.02086
179.85,	1.05392
180.183,	0.973903
180.516,	0.804501
180.849,	0.666137
181.182,	0.675312
181.515,	0.741696
181.848,	0.734047
182.182,	0.674482
182.515,	0.704976
182.848,	0.841883
183.181,	0.930432
183.514,	0.933023
183.847,	0.898
184.18,	0.892818
184.513,	0.920273
184.846,	0.842551
185.179,	0.700164
185.512,	0.675161
185.845,	0.777675
186.178,	0.895552
186.511,	0.887036
186.844,	0.741616
187.177,	0.589572
187.51,	0.50342
187.843,	0.467859
188.177,	0.415023
188.51,	0.358653
188.843,	0.3651
189.176,	0.442519
189.509,	0.529844
189.842,	0.566918
190.175,	0.572632
190.508,	0.62688
190.841,	0.733287
191.174,	0.829564
191.507,	0.895516
191.84,	0.923408
192.173,	0.865858
192.506,	0.735665
192.839,	0.67666
193.172,	0.752245
193.505,	0.860007
193.838,	0.857483
194.172,	0.69813
194.505,	0.524197
194.838,	0.499395
195.171,	0.577277
195.504,	0.631302
195.837,	0.600817
196.17,	0.460419
196.503,	0.358567
196.836,	0.425281
197.169,	0.567787
197.502,	0.682751
197.835,	0.721898
198.168,	0.662922
198.501,	0.556822
198.834,	0.468061
199.167,	0.457515
199.5,	0.596292
199.833,	0.800429
200.167,	0.910807
200.5,	0.877973
200.833,	0.750987
201.166,	0.588193
201.499,	0.435
201.832,	0.307437
202.165,	0.228771
202.498,	0.278805
202.831,	0.425067
203.164,	0.541954
203.497,	0.586692
203.83,	0.593657
204.163,	0.589144
204.496,	0.559187
204.829,	0.508812
205.162,	0.476889
205.495,	0.47711
205.828,	0.470964
206.162,	0.451544
206.495,	0.498511
206.828,	0.660183
207.161,	0.790276
207.494,	0.738486
207.827,	0.563758
208.16,	0.444528
208.493,	0.470024
208.826,	0.548478
209.159,	0.568516
209.492,	0.502408
209.825,	0.482644
210.158,	0.61973
210.491,	0.785787
210.824,	0.80832
211.157,	0.677223
211.49,	0.533048
211.823,	0.505278
212.157,	0.5443
212.49,	0.529998
212.823,	0.481623
213.156,	0.464811
213.489,	0.468649
213.822,	0.427922
214.155,	0.352729
214.488,	0.313965
214.821,	0.348475
215.154,	0.434798
215.487,	0.49881
215.82,	0.489112
216.153,	0.411429
216.486,	0.322443
216.819,	0.268872
217.152,	0.240062
217.485,	0.218177
217.818,	0.207309
218.152,	0.214057
218.485,	0.22877
218.818,	0.227328
219.151,	0.25693
219.484,	0.365486
219.817,	0.490155
220.15,	0.547372
220.483,	0.512938
220.816,	0.440454
221.149,	0.41741
221.482,	0.423873
221.815,	0.422432
222.148,	0.427905
222.481,	0.436704
222.814,	0.453074
223.147,	0.449386
223.48,	0.420158
223.813,	0.418916
224.147,	0.433005
224.48,	0.414573
224.813,	0.381067
225.146,	0.363576
225.479,	0.394391
225.812,	0.433546
226.145,	0.422486
226.478,	0.372518
226.811,	0.314815
227.144,	0.296611
227.477,	0.343282
227.81,	0.403487
228.143,	0.427073
228.476,	0.412105
228.809,	0.406912
229.142,	0.447723
229.475,	0.485296
229.808,	0.471906
230.142,	0.405638
230.475,	0.310492
230.808,	0.220584
231.141,	0.154026
231.474,	0.140603
231.807,	0.212943
232.14,	0.302538
232.473,	0.323828
232.806,	0.281833
233.139,	0.230074
233.472,	0.220462
233.805,	0.246369
234.138,	0.263753
234.471,	0.291326
234.804,	0.352386
235.137,	0.436173
235.47,	0.489006
235.803,	0.444453
236.137,	0.323119
236.47,	0.250242
236.803,	0.29463
237.136,	0.398403
237.469,	0.439343
237.802,	0.389373
238.135,	0.326801
238.468,	0.306898
238.801,	0.331159
239.134,	0.361326
239.467,	0.371898
239.8,	0.370052
240.133,	0.341271
240.466,	0.276404
240.799,	0.227806
241.132,	0.209735
241.465,	0.220319
241.799,	0.260655
242.132,	0.283428
242.465,	0.254581
242.798,	0.243314
243.131,	0.321857
243.464,	0.446632
243.797,	0.496559
244.13,	0.417963
244.463,	0.284546
244.796,	0.21525
245.129,	0.242929
245.462,	0.297541
245.795,	0.309291
246.128,	0.291717
246.461,	0.281821
246.794,	0.29395
247.127,	0.319986
247.46,	0.311788
247.794,	0.279259
248.127,	0.264354
248.46,	0.246174
248.793,	0.211864
249.126,	0.175977
249.459,	0.167722
249.792,	0.204964
250.125,	0.248469
250.458,	0.25727
250.791,	0.227641
251.124,	0.183241
251.457,	0.150328
251.79,	0.16346
252.123,	0.227228
252.456,	0.271289
252.789,	0.244962
253.122,	0.173826
253.455,	0.131554
253.789,	0.173649
254.122,	0.253906
254.455,	0.316892
254.788,	0.347536
255.121,	0.336207
255.454,	0.291137
255.787,	0.243915
256.12,	0.227931
256.453,	0.248797
256.786,	0.265674
257.119,	0.237931
257.452,	0.181719
257.785,	0.161159
258.118,	0.193212
258.451,	0.243109
258.784,	0.272028
259.117,	0.246589
259.45,	0.198697
259.784,	0.187711
260.117,	0.214959
260.45,	0.270991
260.783,	0.349875
261.116,	0.397966
261.449,	0.382834
261.782,	0.311345
262.115,	0.22186
262.448,	0.173388
262.781,	0.172071
263.114,	0.170583
263.447,	0.151007
263.78,	0.153063
264.113,	0.208392
264.446,	0.275631
264.779,	0.302806
265.112,	0.264543
265.445,	0.184428
265.779,	0.129782
266.112,	0.139374
266.445,	0.186925
266.778,	0.24086
267.111,	0.279378
