tm	deltaT	execTm	deltaTExecTm	CoMean	CoMax
1.199040799999999953e-08	1.199040799999999953e-08	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.636164400000000042e-08	1.437123699999999956e-08	2.006699999999999875e+02	2.006699999999999875e+02	4.053521300000000106e-07	8.595922799999999847e-06
4.358727199999999916e-08	1.722562799999999874e-08	2.208700000000000045e+02	2.020000000000001705e+01	1.064733900000000097e-06	2.221611199999999842e-05
6.424373000000000269e-08	2.065645800000000022e-08	2.416500000000000057e+02	2.078000000000000114e+01	2.109703100000000126e-06	4.308057100000000289e-05
8.902117699999999375e-08	2.477744700000000099e-08	2.636200000000000045e+02	2.196999999999999886e+01	3.709057700000000069e-06	7.425394999999999403e-05
1.186947700000000045e-07	2.967358899999999957e-08	2.840400000000000205e+02	2.042000000000001592e+01	6.128410400000000091e-06	1.199048099999999983e-04
1.542390300000000118e-07	3.554426299999999832e-08	3.043899999999999864e+02	2.034999999999996589e+01	9.731346599999999959e-06	1.852499800000000020e-04
1.968613699999999972e-07	4.262234199999999927e-08	3.249800000000000182e+02	2.059000000000003183e+01	1.505345999999999970e-05	2.777233500000000216e-04
2.479193900000000231e-07	5.105801399999999751e-08	3.456399999999999864e+02	2.065999999999996817e+01	2.288252200000000006e-05	4.086358700000000134e-04
3.088698900000000103e-07	6.095050400000000168e-08	3.662300000000000182e+02	2.059000000000003183e+01	3.426133300000000037e-05	5.990488400000000329e-04
3.817355300000000134e-07	7.286564000000000316e-08	3.871200000000000045e+02	2.088999999999998636e+01	5.053722299999999744e-05	8.595681600000000186e-04
4.691742999999999927e-07	8.743876799999999850e-08	4.077799999999999727e+02	2.065999999999996817e+01	7.399727200000000055e-05	1.234358000000000070e-03
5.739086499999999554e-07	1.047343500000000024e-07	4.287799999999999727e+02	2.100000000000000000e+01	1.080567000000000051e-04	1.798490999999999935e-03
6.995898600000000014e-07	1.256812200000000029e-07	4.492200000000000273e+02	2.044000000000005457e+01	1.565943100000000067e-04	2.589508600000000119e-03
8.495964800000000270e-07	1.500066199999999991e-07	4.700899999999999750e+02	2.086999999999994770e+01	2.263028899999999972e-04	3.701142299999999816e-03
1.029016199999999913e-06	1.794196800000000051e-07	4.907599999999999909e+02	2.067000000000001592e+01	3.236490300000000064e-04	5.211828299999999616e-03
1.242611000000000062e-06	2.135948500000000129e-07	5.114200000000000159e+02	2.066000000000002501e+01	4.619345699999999983e-04	7.360897100000000394e-03
1.492822100000000044e-06	2.502111100000000182e-07	5.323899999999999864e+02	2.096999999999997044e+01	6.531769599999999541e-04	1.027532899999999971e-02
1.786173099999999982e-06	2.933509600000000046e-07	5.532000000000000455e+02	2.081000000000005912e+01	9.027854699999999892e-04	1.396843400000000006e-02
2.128415899999999894e-06	3.422427899999999822e-07	5.738899999999999864e+02	2.068999999999994088e+01	1.241504100000000079e-03	1.882693699999999845e-02
2.521995100000000176e-06	3.935792100000000008e-07	5.946299999999999955e+02	2.074000000000000909e+01	1.688579900000000038e-03	2.501850200000000149e-02
